,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,84.0,270,84.0,31.5,8,13,7,12,14,14,5,11,8,7,10,14,9,13,10,16.899,6.452,11.701,0.562,0.249,0.75,0.332,6.201,10.952,0.566,3.749,4.876,0.769,2.525,9.224,11.749,0.475,0.724,2.025,1.65,2.225,6.0,3.514,12.149,0.15,3.75,0.023,0.051,0.451,6.049,10.474,0.578,0.125,0.426,0.293,60.941,60.804,7.925,3.825,9.274,0.427,0.275,0.648,0.424,3.55,8.625,0.412,0.35,0.924,0.379,2.827,7.026,0.402,0.376,0.677,0.555,1.9,3.1,5.0,0.61,0.064,0.417,8.8,32.0,20.4,2.9,1.2,6.0,10.6,22.9
1,75.0,185,81.25,26.5,12,13,18,14,6,8,9,16,10,8,15,13,6,9,11,11.031,3.818,8.848,0.55,2.09,5.001,0.418,1.728,3.848,0.449,1.304,1.788,0.729,0.91,1.847,2.757,1.212,0.396,0.0,0.757,0.85,1.242,16.003,2.061,1.212,1.575,0.242,0.363,0.667,0.789,1.788,0.441,0.698,1.698,0.411,49.665,49.685,7.424,3.09,7.544,0.492,1.243,4.121,0.302,1.848,3.424,0.54,0.211,0.273,0.773,0.424,0.576,0.736,1.212,2.578,0.47,-0.1,1.1,0.9,0.572,0.565,0.202,3.9,7.7,5.8,8.2,0.8,0.0,7.3,19.1
2,76.5,185,79.0,32.0,13,14,14,11,7,12,9,7,8,10,12,15,6,9,11,12.256,4.617,8.679,0.585,0.914,2.277,0.401,3.703,6.405,0.578,2.107,2.49,0.846,1.171,3.681,4.852,0.447,0.552,0.893,1.04,2.299,5.297,8.144,6.254,0.575,2.148,0.127,0.149,0.852,3.001,5.042,0.595,0.575,1.212,0.474,47.911,47.661,8.063,3.764,7.786,0.518,0.532,1.597,0.333,3.233,6.192,0.522,0.425,0.638,0.666,2.084,4.063,0.513,0.723,1.489,0.486,1.5,-1.5,0.0,0.627,0.262,0.287,5.7,16.1,11.2,2.9,1.2,3.6,9.6,20.5
3,77.0,215,81.0,32.0,6,14,11,13,10,10,14,9,11,14,11,13,18,14,11,20.276,7.075,15.574,0.539,2.649,7.801,0.34,4.425,7.775,0.569,3.475,4.625,0.751,0.852,3.122,3.974,3.6,2.276,0.276,2.226,1.701,11.15,11.886,5.351,3.4,3.151,2.026,2.526,0.802,0.649,1.325,0.49,1.75,3.926,0.446,65.057,64.589,8.175,3.349,9.576,0.427,1.475,5.147,0.287,1.875,4.426,0.424,0.574,0.726,0.791,0.425,0.875,0.486,0.876,2.825,0.31,2.2,2.5,4.8,0.576,0.501,0.297,2.9,10.1,6.6,18.7,3.5,0.8,11.2,27.5
4,79.5,235,82.0,29.0,8,12,9,10,12,9,13,9,11,6,15,13,6,15,11,8.17,3.097,7.023,0.45,0.122,0.488,0.25,2.978,6.537,0.456,1.854,2.291,0.809,1.779,6.758,8.537,0.951,0.756,1.512,1.559,2.879,2.049,5.56,4.828,0.0,2.123,0.05,0.096,0.521,2.367,5.367,0.441,0.561,1.072,0.523,51.163,50.814,7.902,3.831,8.536,0.463,0.246,0.442,0.557,3.583,8.099,0.442,0.317,0.512,0.619,3.147,7.267,0.433,0.121,0.318,0.381,-1.1,1.6,0.5,0.509,0.069,0.326,7.7,29.1,18.4,5.9,1.5,5.6,16.3,16.9
5,77.5,215,79.0,30.5,12,10,17,12,12,8,11,16,18,16,15,9,9,10,12,12.66,4.61,10.049,0.544,1.707,4.463,0.382,2.904,5.586,0.52,1.734,2.731,0.635,0.951,2.192,3.143,8.049,1.146,0.097,4.121,2.61,3.684,11.48,3.855,3.195,2.562,1.243,1.829,0.68,0.684,0.975,0.702,0.977,2.78,0.351,59.384,59.336,10.389,4.367,9.462,0.549,1.659,4.707,0.352,2.708,4.757,0.569,1.001,1.244,0.805,0.292,0.632,0.462,1.415,2.878,0.492,3.1,0.1,3.2,0.563,0.444,0.272,3.8,8.5,6.2,40.8,1.9,0.3,26.8,23.5
6,80.0,235,83.0,24.5,17,6,14,14,9,16,11,7,16,8,13,6,11,13,11,14.882,5.913,10.0,0.594,0.059,0.117,0.504,5.852,9.883,0.592,3.0,4.559,0.658,1.676,5.324,7.0,0.736,1.03,0.823,1.236,2.471,1.146,3.967,11.353,0.059,3.206,0.117,0.206,0.568,5.559,9.443,0.589,0.177,0.235,0.753,49.889,50.695,7.999,3.883,7.764,0.515,0.236,0.412,0.573,3.648,7.352,0.496,0.323,0.499,0.647,3.176,6.383,0.498,0.146,0.47,0.311,2.6,0.0,2.6,0.62,0.012,0.456,7.9,23.0,15.8,5.8,2.0,3.1,9.3,24.5
7,73.5,195,77.25,31.5,3,7,13,15,4,7,14,12,12,15,8,6,17,9,10,12.398,4.674,10.075,0.533,1.4,3.549,0.394,3.274,6.527,0.502,1.651,2.651,0.623,0.701,1.575,2.276,4.674,1.35,0.074,3.874,2.373,3.073,11.553,3.999,3.574,2.45,1.727,2.426,0.712,0.276,0.549,0.503,1.276,3.55,0.359,56.67,56.228,8.601,3.775,9.226,0.466,1.052,3.877,0.271,2.726,5.35,0.51,0.9,1.025,0.878,0.475,0.825,0.576,1.349,3.501,0.385,0.3,0.8,1.0,0.551,0.352,0.263,2.7,5.6,4.2,28.5,2.4,0.2,25.6,23.8
8,82.0,200,83.0,30.5,10,18,15,9,8,12,9,10,10,7,10,19,11,11,11,11.965,4.607,9.072,0.555,0.856,2.607,0.328,3.749,6.464,0.58,1.893,2.571,0.736,1.143,3.785,4.928,0.786,0.75,0.322,1.071,1.678,7.464,8.966,5.929,0.0,2.179,0.035,0.035,1.0,2.931,5.0,0.586,0.786,1.429,0.55,45.808,45.698,8.358,4.035,6.821,0.612,0.285,0.641,0.445,3.75,6.178,0.607,0.249,0.358,0.696,3.177,5.143,0.618,0.322,0.679,0.474,1.5,-2.3,-0.8,0.586,0.287,0.283,5.7,18.4,12.2,5.6,1.7,1.4,9.5,22.4
9,81.0,230,85.25,27.0,11,7,11,6,16,9,14,11,11,13,10,8,16,9,11,12.955,4.978,8.203,0.607,0.0,0.137,0.0,4.978,8.068,0.617,3.001,4.272,0.702,2.022,6.388,8.41,0.84,0.773,0.704,1.112,2.524,8.615,2.726,9.772,0.182,3.07,0.295,0.454,0.65,4.591,7.341,0.625,0.091,0.273,0.333,49.957,50.304,8.135,4.049,8.115,0.502,0.044,0.34,0.129,4.0,7.772,0.515,0.16,0.389,0.411,3.703,7.0,0.529,0.137,0.384,0.357,2.6,0.9,3.5,0.642,0.017,0.521,8.8,28.8,18.6,5.3,1.5,2.6,9.9,20.0
10,80.0,235,86.25,28.5,14,11,10,9,9,14,4,12,12,12,5,12,8,9,11,16.453,6.407,11.252,0.57,0.021,0.044,0.477,6.386,11.208,0.57,3.615,4.751,0.761,1.5,5.978,7.478,0.701,1.0,1.501,1.613,2.59,6.909,3.44,12.137,0.0,3.409,0.021,0.047,0.447,6.045,10.5,0.576,0.317,0.658,0.482,50.341,50.637,7.296,3.567,7.75,0.471,0.159,0.478,0.333,3.41,7.273,0.469,0.364,0.637,0.571,2.817,6.136,0.459,0.226,0.501,0.451,2.4,1.2,3.5,0.617,0.004,0.422,6.8,26.3,16.7,5.0,2.0,5.9,10.8,26.5
11,80.5,205,86.25,31.5,10,12,13,6,7,15,5,8,16,12,8,11,14,15,11,8.659,3.244,6.857,0.548,1.023,2.804,0.365,2.222,4.047,0.549,1.145,1.612,0.71,1.368,3.266,4.634,2.805,0.631,0.195,2.027,1.512,-3.804,9.324,3.512,0.755,1.586,0.317,0.389,0.815,1.44,2.366,0.609,0.462,1.294,0.357,47.002,46.498,7.536,3.293,7.218,0.522,0.952,2.731,0.349,2.341,4.488,0.522,0.341,0.439,0.777,1.22,2.269,0.538,0.781,1.78,0.439,-0.1,2.0,1.8,0.572,0.409,0.235,6.3,14.6,10.5,18.4,1.4,0.8,21.1,18.4
12,79.5,230,82.25,31.5,6,13,16,12,17,6,6,15,6,13,5,16,9,9,11,11.214,4.048,8.834,0.549,1.596,4.048,0.394,2.454,4.786,0.513,1.523,2.025,0.752,2.31,6.998,9.308,0.501,0.43,1.143,0.977,2.74,3.738,11.229,3.619,0.094,1.784,0.022,0.022,1.0,1.787,3.214,0.556,0.642,1.548,0.415,57.064,56.913,10.523,5.165,9.856,0.534,0.189,0.452,0.418,4.977,9.406,0.529,0.451,0.594,0.759,4.31,8.427,0.511,0.215,0.381,0.564,0.7,-0.1,0.7,0.577,0.458,0.229,8.4,26.3,17.2,2.7,0.8,3.6,9.1,16.6
13,81.0,225,86.0,33.0,13,12,14,10,8,15,9,9,8,8,9,12,3,13,12,15.512,6.365,11.002,0.595,0.365,0.854,0.427,5.999,10.146,0.591,2.415,3.682,0.656,1.827,5.466,7.293,0.389,1.025,1.757,1.341,2.608,4.195,4.963,11.171,0.0,2.706,0.074,0.074,1.0,5.512,9.292,0.593,0.414,0.78,0.531,55.777,56.058,7.611,3.706,9.245,0.411,0.195,0.854,0.228,3.511,8.391,0.418,0.266,0.462,0.576,2.902,7.073,0.41,0.341,0.853,0.4,1.7,1.0,2.7,0.614,0.078,0.335,7.5,21.3,14.6,2.4,1.8,5.9,9.6,22.5
14,76.0,215,82.0,28.5,12,11,7,10,9,6,13,8,11,10,12,11,8,9,10,10.39,4.109,9.834,0.45,0.639,2.639,0.242,3.473,7.194,0.483,1.528,2.167,0.705,1.556,3.972,5.528,1.277,1.361,0.111,1.944,2.166,-7.583,9.227,4.444,0.806,1.999,0.139,0.166,0.837,2.083,4.168,0.5,1.249,2.861,0.437,57.558,58.0,6.888,3.027,7.778,0.443,0.833,3.444,0.242,2.193,4.334,0.506,0.361,0.445,0.811,0.724,1.277,0.567,1.11,2.612,0.425,-1.0,1.7,0.7,0.482,0.268,0.22,5.8,15.3,10.4,7.6,2.3,0.4,15.3,19.7
15,75.0,195,81.0,29.0,12,18,11,8,7,11,11,15,10,19,18,18,6,15,12,15.154,5.252,12.078,0.51,1.822,5.566,0.327,3.437,6.513,0.528,2.821,3.001,0.94,0.845,3.258,4.103,1.897,1.387,0.052,1.077,1.897,3.924,12.313,4.102,0.975,2.36,0.719,1.231,0.584,1.334,2.129,0.627,1.385,3.153,0.439,61.607,61.333,8.024,3.309,8.975,0.447,1.411,4.563,0.309,1.899,4.412,0.43,0.333,0.384,0.867,0.668,0.925,0.722,0.899,3.103,0.29,2.1,0.7,2.8,0.566,0.461,0.248,3.1,11.7,7.4,9.6,2.3,0.2,7.4,21.2
16,76.5,190,84.0,32.0,13,8,11,8,6,9,13,12,14,13,12,7,15,13,11,11.612,4.072,8.659,0.527,0.975,3.194,0.305,3.099,5.463,0.567,2.488,3.976,0.626,0.755,1.488,2.243,3.757,1.537,0.099,3.585,1.928,5.413,10.151,3.803,3.585,2.854,1.512,1.977,0.765,0.39,0.586,0.666,1.194,2.904,0.411,47.363,48.515,6.437,2.583,6.683,0.482,1.27,3.706,0.343,1.317,2.975,0.443,0.438,0.658,0.666,0.244,0.368,0.663,0.634,1.949,0.325,0.4,1.2,1.7,0.558,0.369,0.459,4.1,6.2,5.3,28.2,3.2,0.4,25.6,26.9
17,82.0,230,89.0,28.0,15,12,8,6,17,11,12,12,9,12,13,13,13,14,12,18.099,7.172,12.439,0.577,0.022,0.073,0.301,7.146,12.367,0.578,3.733,5.367,0.696,2.538,9.046,11.584,0.856,1.293,1.024,1.608,2.658,-4.66,3.549,13.61,0.097,3.78,0.438,0.684,0.64,6.317,10.852,0.582,0.341,0.828,0.412,53.486,53.904,7.609,3.706,7.808,0.487,0.195,0.512,0.381,3.512,7.293,0.482,0.365,0.732,0.499,2.903,5.951,0.488,0.244,0.61,0.4,3.3,3.1,6.4,0.611,0.006,0.431,11.2,39.2,25.3,7.3,2.4,3.3,9.8,28.1
18,79.5,220,85.0,30.0,15,13,7,10,9,9,11,15,9,12,11,14,7,7,11,15.976,6.246,10.998,0.573,0.11,0.356,0.309,6.134,10.645,0.576,3.378,4.734,0.714,1.933,6.422,8.355,0.822,0.89,0.932,1.288,2.711,9.378,4.405,10.843,0.134,3.288,0.2,0.266,0.752,5.2,8.756,0.594,0.712,1.623,0.439,55.498,55.528,8.888,4.356,8.378,0.531,0.178,0.666,0.267,4.178,7.711,0.542,0.6,0.798,0.752,3.356,6.378,0.526,0.223,0.535,0.417,2.5,0.2,2.7,0.611,0.032,0.43,7.6,24.1,16.1,4.9,1.6,3.1,9.0,23.2
19,77.0,225,77.25,29.0,9,14,9,9,11,6,5,10,9,6,8,16,17,13,11,16.732,6.292,11.78,0.552,0.415,1.317,0.315,5.877,10.462,0.562,3.731,4.46,0.837,2.511,6.61,9.121,0.755,1.024,0.684,1.293,2.608,3.757,6.294,9.172,0.341,3.196,0.171,0.195,0.877,4.365,7.951,0.549,1.293,2.316,0.558,57.13,57.416,9.878,4.757,8.978,0.55,0.366,1.171,0.313,4.39,7.806,0.562,0.146,0.34,0.429,3.684,6.416,0.574,0.56,1.049,0.534,2.7,-0.2,2.5,0.609,0.112,0.379,10.1,25.1,17.8,4.4,1.8,2.2,8.6,23.7
20,79.0,225,82.0,29.5,14,17,6,13,10,14,5,8,6,7,11,18,11,11,10,15.675,5.724,10.474,0.548,0.024,0.051,0.471,5.7,10.425,0.547,4.2,5.075,0.828,1.1,5.001,6.101,0.475,1.001,0.999,1.548,2.549,-2.451,4.188,10.252,0.051,3.675,0.1,0.1,1.0,5.025,9.377,0.536,0.574,0.952,0.603,52.807,53.106,7.274,3.35,6.851,0.531,0.573,0.9,0.637,2.774,5.952,0.466,0.299,0.526,0.568,2.026,4.549,0.445,0.45,0.877,0.513,1.7,-0.2,1.5,0.617,0.005,0.485,5.1,21.3,13.5,3.5,1.9,3.6,10.9,24.7
21,71.5,190,76.0,26.5,10,6,14,13,7,5,12,14,11,8,8,5,18,17,10,12.347,4.419,10.978,0.476,1.606,5.396,0.298,2.814,5.582,0.504,1.907,2.953,0.646,1.139,1.698,2.837,3.93,1.51,0.069,2.605,2.164,1.208,12.897,3.071,1.349,2.28,0.767,1.116,0.687,0.766,1.651,0.464,1.28,2.814,0.455,57.069,57.221,8.419,3.535,8.605,0.489,1.349,4.395,0.307,2.186,4.21,0.519,0.419,0.626,0.669,0.603,0.905,0.666,1.162,2.675,0.434,0.5,0.8,1.4,0.503,0.492,0.269,4.0,6.6,5.3,22.9,2.6,0.2,17.5,23.1
22,76.0,205,79.0,31.5,8,9,15,9,8,11,15,19,19,15,13,7,6,14,13,9.975,3.563,8.642,0.501,1.538,4.103,0.375,2.027,4.539,0.447,1.31,1.822,0.719,0.539,2.05,2.589,7.18,1.435,0.129,3.719,2.949,-9.564,14.569,2.205,1.898,1.972,0.82,1.435,0.571,0.282,0.769,0.367,0.922,2.332,0.395,58.011,57.979,9.72,4.076,9.333,0.521,1.564,4.103,0.381,2.511,5.231,0.48,1.181,1.461,0.808,0.384,0.794,0.484,0.948,2.974,0.319,1.7,0.4,2.1,0.528,0.475,0.211,2.1,7.9,5.0,41.7,2.5,0.4,28.3,20.7
23,81.5,210,83.0,43.0,8,9,7,7,11,18,15,16,11,9,15,10,13,8,12,9.487,4.05,6.684,0.61,0.049,0.144,0.34,4.0,6.536,0.612,1.341,2.341,0.573,2.586,7.047,9.633,1.292,1.172,1.072,1.803,2.782,-3.56,3.96,7.22,0.194,2.342,0.171,0.319,0.536,3.415,5.269,0.648,0.389,0.952,0.409,59.847,59.778,6.17,2.977,6.757,0.457,0.22,0.902,0.244,2.757,5.853,0.471,0.318,0.487,0.653,2.144,4.733,0.453,0.292,0.635,0.46,0.1,2.1,2.2,0.615,0.022,0.35,9.0,26.2,17.4,7.4,2.0,3.6,18.9,14.2
24,79.0,220,84.0,27.5,15,11,12,5,13,8,13,10,4,11,13,12,4,8,10,14.094,5.469,10.344,0.529,0.0,0.0,,5.469,10.344,0.529,3.157,3.875,0.815,2.03,7.094,9.124,0.282,0.657,0.593,2.22,2.905,6.532,4.428,10.062,0.188,3.094,0.031,0.093,0.333,5.0,9.406,0.532,0.439,0.844,0.52,52.231,52.775,9.157,4.374,8.343,0.549,0.407,0.625,0.651,3.968,7.719,0.514,0.72,0.905,0.796,3.03,6.312,0.48,0.218,0.501,0.435,0.1,0.5,0.6,0.585,0.0,0.375,9.7,27.6,19.6,1.7,1.3,2.1,15.6,24.6
25,82.5,220,84.0,25.0,14,8,12,12,16,10,6,7,6,3,9,8,13,12,11,17.135,7.228,11.454,0.631,0.0,0.0,,7.228,11.454,0.631,2.683,4.862,0.552,2.296,9.317,11.613,0.25,0.819,1.477,1.635,3.022,6.798,3.424,14.044,0.136,3.795,0.069,0.069,1.0,6.955,11.0,0.632,0.204,0.386,0.528,62.651,62.991,10.089,4.977,10.297,0.49,0.137,0.409,0.335,4.841,9.886,0.49,0.318,0.705,0.451,4.295,8.657,0.496,0.227,0.523,0.434,1.8,1.9,3.6,0.63,0.0,0.424,7.9,31.4,19.8,1.3,1.3,4.2,10.7,21.5
