name,player_id,team_id,season_id,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,Primary_Position,adj_OEPM,adj_DEPM,adj_EPM,adj_OEPM_scaled,adj_DEPM_scaled,adj_EPM_scaled
Chad Kenyon,206413,900,2045,206413,2045,SG pg ,RS SO,73.0,195,77.0,29.0,8,8,8,14,6,3,9,18,9,11,7,8,7,8,124,10,2,SG,5.40159744012099,5.5429885344102,10.9445859745312,9.09680743368168,7.35358888514618,16.4503963188279
Ed Milton,202088,905,2045,202088,2045,C pf ,RS JR,82.0,245,87.0,34.5,18,10,6,10,13,14,6,7,9,9,7,11,7,9,136,11,3,C,6.91752420437996,3.12922955323575,10.0467537576157,11.6238573497014,4.18673710184531,15.8105944515467
Juan Carlos Portillo,207425,449,2046,207425,2046,C ,SR,83.5,265,87.0,35.5,13,9,3,10,5,13,9,17,6,6,3,16,12,11,133,11,2,C,6.50209168998725,3.55838443633371,10.060476126321,10.9313313482087,4.74978830846983,15.6811196566786
Martin Cassidy,216901,998,2045,216901,2045,SG SF pg ,FR,76.0,230,82.0,30.5,4,9,6,5,3,2,9,13,11,6,4,7,14,6,99,9,1,SG,6.76009817979328,2.93473440364717,9.69483258344045,11.3614281667154,3.93155946558509,15.2929876323005
Wes Hester,210140,997,2045,210140,2045,SG PG ,JR,72.5,175,77.0,30.0,10,10,12,9,8,4,10,13,12,11,10,9,15,7,140,11,3,SG,3.96600729664021,6.41653171145368,10.3825390080939,6.70367866449923,8.49967753342723,15.2033561979265
Ty Rogers,192948,75,2044,192948,2044,PF ,RS SR,77.5,220,84.25,34.0,8,15,17,12,14,14,9,15,7,14,7,16,10,19,177,13,3,PF,4.49598281067484,5.42344369909164,9.91942650976648,7.58714784639496,7.19674606120823,14.7838939076032
Deon Sutton,196678,367,2044,196678,2044,C pf ,SR,81.5,245,86.0,27.5,12,11,10,9,17,15,8,7,10,8,3,14,8,10,142,11,2,C,3.59343043400346,6.42909992249188,10.0225303564953,6.08259303448377,8.51616702630934,14.5987600607931
Elias Koussis,215650,980,2046,215650,2046,C ,RS SR,84.0,270,92.0,23.5,14,12,10,10,10,8,7,9,7,7,8,14,10,8,134,12,2,C,5.35234688342602,3.81063374474295,9.16298062816896,9.01470675567117,5.08073940110275,14.0954461567739
Grady David +4,208550,509,2046,208550,2046,PF c ,RS JR,79.0,235,82.0,32.0,9,4,9,9,11,15,8,16,9,13,13,9,13,12,150,12,2,PF,3.41383604313408,5.95894285655014,9.37277889968422,5.78320918490452,7.89932095579378,13.6825301406983
Jason Grant,209820,150,2046,209820,2046,PF PG SF sg ,SR,75.5,205,81.25,32.0,7,17,18,7,12,14,13,17,15,14,6,8,16,14,178,12,3,PF,5.60709058513514,3.12070348402868,8.72779406916382,9.43936450642028,4.17555089904563,13.6149154054659
Art Rice,208389,906,2046,208389,2046,PF sg sf ,SR,79.0,195,84.0,28.0,15,13,6,11,13,16,12,10,8,5,11,14,16,16,166,12,2,PF,2.43463801971382,7.04559286145309,9.48023088116691,4.15088607986294,9.32500576222646,13.4758918420894
Kendrick Fitzsimmons,208940,334,2046,208940,2046,C PF ,RS JR,81.5,235,82.0,29.5,16,13,8,10,5,13,6,16,11,10,5,14,8,11,146,12,3,C,5.73242849275217,2.65353910463366,8.38596759738583,9.64830279841787,3.56263123327936,13.2109340316972
Jacob Smiley,195837,509,2044,195837,2044,C ,RS SR,79.5,215,83.0,39.0,10,9,8,11,17,15,12,16,10,11,13,10,8,14,164,12,3,C,2.58942690050685,6.6186441667017,9.20807106720855,4.40891914414492,8.76484907471263,13.1737682188575
Allen Hamby,196421,654,2044,196421,2044,PF SF ,RS SR,75.5,195,79.0,27.5,6,8,7,10,11,11,13,12,12,7,15,8,12,17,149,10,2,PF,3.56507895719492,5.13637908474736,8.70145804194228,6.03533112264394,6.82011728718853,12.8554484098325
Phil Mundy,201665,114,2045,201665,2045,PF C ,RS JR,79.5,235,85.0,34.5,18,12,12,8,13,13,5,14,7,6,6,14,11,8,147,11,2,PF,4.22874511225611,4.2216509597358,8.45039607199191,7.14166260313094,5.61999398717337,12.7616565903043
Ryan Nagle ,195681,338,2044,195681,2044,PF C ,RS SR,78.0,240,84.25,26.0,15,10,16,10,16,15,12,8,9,10,13,10,12,9,165,12,3,PF,2.61093947177056,6.18789926855109,8.79883874032165,4.44478060044152,8.19971176833903,12.6444923687806
Anthony Sargent,198959,394,2044,198959,2044,PG sg ,RS JR,73.0,210,76.0,30.5,8,18,17,16,9,5,17,15,17,10,6,15,16,18,187,13,4,PG,4.52575417679884,3.6920812500942,8.21783542689304,7.63677671372366,4.92519852812359,12.5619752418473
Doug Hewitt,192230,467,2044,192230,2044,PF C ,RS SR,82.0,230,89.0,28.0,15,12,8,6,17,11,12,12,9,12,13,13,13,14,167,12,3,PF,4.06359591127832,4.25909411431248,8.3226900255908,6.86635888510097,5.66911940597797,12.5354782910789
Omar Tejeda,193313,422,2044,193313,2044,PF c ,RS SR,82.0,230,85.0,28.0,14,5,12,9,16,10,15,14,8,13,13,5,10,9,153,11,3,PF,4.7435128024975,3.38238151113516,8.12589431363266,7.99978034276333,4.51887247060932,12.5186528133727
Bryan Bond,200589,930,2044,200589,2044,C pf ,RS JR,81.0,240,89.25,30.0,11,12,14,13,16,10,9,18,13,11,7,13,16,9,172,13,4,C,3.36475202735585,5.09744697382546,8.46219900118131,5.7013861306022,6.769038357659,12.4704244882612
Lee Carter,202150,545,2046,202150,2046,PF c ,RS SR,81.0,245,89.0,30.5,18,6,12,5,14,15,6,7,8,10,9,11,14,6,141,10,1,PF,3.59111243673741,4.79789465952816,8.38900709626558,6.07872893304127,6.37602572130095,12.4547546543422
Jermaine Garrett,195200,34,2044,195200,2044,SF PF C ,RS SR,81.5,250,88.0,29.0,15,16,18,8,15,13,6,9,13,9,8,17,14,7,168,11,2,SF,4.6392134240995,3.42126136043503,8.06047478453453,7.82591327897387,4.56988283289076,12.3957961118646
Dirk Thrasher,200653,918,2044,200653,2044,C ,SR,82.5,260,86.0,29.5,5,7,14,4,14,10,7,12,7,8,7,7,9,12,123,10,1,C,2.87464011422039,5.53795902103183,8.41259913525221,4.88436957140538,7.34699016359376,12.2313597349991
Kenny Oliver,209965,324,2045,209965,2045,C ,JR,83.5,230,89.0,39.5,18,5,8,10,15,9,10,13,5,8,5,6,4,11,127,10,1,C,5.75440389716957,1.80510454780715,7.55950844497673,9.68493579758168,2.44948509472299,12.1344208923047
Trevor Taylor,198652,773,2044,198652,2044,C pf ,SR,82.5,265,88.25,33.0,13,7,9,8,11,14,4,18,4,8,12,8,8,13,137,11,2,C,3.70905713275063,4.38805997974388,8.09711711249451,6.2753427412953,5.83832262142397,12.1136653627193
Wayne Bloom,193303,751,2044,193303,2044,SG SF pf ,RS SR,76.5,215,76.0,31.5,11,16,12,10,6,14,17,7,7,14,9,15,16,14,168,11,3,SG,4.04718262157985,3.94676680428297,7.99394942586282,6.83899793117361,5.25934597521925,12.0983439063929
Bryan Little,195605,161,2044,195605,2044,PF C ,RS SR,80.0,235,82.25,42.0,9,16,15,7,16,14,8,19,14,4,15,17,16,9,179,12,3,PF,3.20245941249646,4.99869558989465,8.2011550023911,5.4308443416316,6.63947654194178,12.0703208835734
Harry Thatcher,197484,462,2045,197484,2045,PF sf c ,RS SR,80.0,240,86.0,30.0,15,14,17,9,15,17,12,6,10,6,14,15,10,15,175,12,3,PF,4.19776239972103,3.7133055098856,7.91106790960663,7.09001442133496,4.95304475696991,12.0430591783049
Fernando Palacios,208001,660,2046,208001,2046,C pf ,SR,79.5,200,87.0,30.0,14,5,10,9,9,12,9,16,8,14,6,15,8,12,147,12,3,C,3.15611191650225,5.01679242486782,8.17290434137007,5.35358306580925,6.66321958942658,12.0168026552358
Morgan Kennedy,205073,712,2046,205073,2046,SG SF pf ,RS SR,76.0,200,79.25,27.5,11,17,16,8,11,6,16,12,8,15,13,12,15,11,171,12,4,SG,4.05225838628304,3.87186340764641,7.92412179392945,6.84745923093382,5.1610727188321,12.0085319497659
Neal Crowley,208030,130,2046,208030,2046,PF C ,SR,81.5,220,85.25,30.5,14,13,12,6,10,7,11,8,11,11,9,12,7,11,142,10,2,PF,4.9728851774607,2.6877414048577,7.66062658231839,8.38214409182698,3.6075046511733,11.9896487430003
Deion Ward,203880,885,2044,203880,2044,C sg sf pf ,JR,78.5,220,80.25,29.5,5,11,7,5,11,8,6,14,3,3,6,11,14,9,113,11,2,C,4.13949371384985,3.74517813267033,7.88467184652018,6.9928805219877,4.99486163806348,11.9877421600512
Hunter Parker,195769,818,2044,195769,2044,PF sf c ,RS SR,79.0,225,85.0,30.5,14,17,16,7,17,14,13,17,8,8,12,17,16,11,187,12,4,PF,4.41047673402771,3.39593806005756,7.80641479408527,7.44460921662419,4.53665866279551,11.9812678794197
Theo Wayne,200432,555,2044,200432,2044,C PF ,SR,83.5,290,89.0,28.5,11,11,12,7,16,16,7,18,11,6,13,12,15,13,168,12,4,C,3.37932369072495,4.64623974198814,8.02556343271309,5.72567709343849,6.17705446948844,11.9027315629269
Vicente Almonte,193665,184,2044,193665,2044,SF ,RS SR,75.0,210,80.0,31.5,7,7,11,13,12,12,14,10,6,13,8,7,11,8,139,11,2,SF,3.59391076110596,4.25247505266174,7.8463858137677,6.08339373976364,5.6604351970922,11.7438289368558
Anibal Valenzuela,213039,488,2046,213039,2046,SG sf ,JR,72.5,195,78.0,30.0,8,9,14,5,8,4,9,18,7,8,10,5,15,7,127,11,2,SG,4.52732718672032,3.05988090961065,7.58720809633097,7.63939892126277,4.09575168140918,11.7351506026719
Jon Marino,196686,893,2045,196686,2045,PG ,RS SR,77.5,220,82.0,30.0,9,14,14,10,6,8,5,14,17,11,14,12,18,16,168,11,3,PG,4.61700377908366,2.91304170813743,7.53004548722109,7.78888980073246,3.90309864907631,11.6919884498088
Eugene Buffington,209704,983,2045,209704,2045,SF sg ,RS SO,75.0,205,78.0,29.5,10,12,14,5,8,5,9,13,7,6,11,11,15,11,137,11,3,SF,3.64782191331697,4.12027009647961,7.76809200979658,6.17326363049939,5.48698229458125,11.6602459250806
Tony Lee,200893,557,2044,200893,2044,SG SF pg ,SR,75.5,190,76.0,29.5,8,17,16,8,6,7,16,9,18,5,12,16,15,8,161,10,3,SG,3.36219227273929,4.48019568426597,7.84238795700526,5.6971190196564,5.95920466575695,11.6563236854134
Bryan Bond,200589,930,2045,200589,2045,C pf ,RS SR,81.0,240,89.25,30.0,11,12,14,14,16,10,9,18,13,12,7,13,16,9,174,13,4,C,3.33534439521238,4.49248656788648,7.82783096309886,5.65236360781904,5.97533030506707,11.6276939128861
Kelly Filippini,197105,464,2044,197105,2044,PF C sf ,SR,79.5,205,80.0,30.5,11,7,8,6,15,14,7,16,11,14,13,6,14,7,149,11,3,PF,4.4584357947479,3.06193644833683,7.52037224308474,7.52455697084476,4.09844854821793,11.6230055190627
Billie Mitchell,197041,551,2044,197041,2044,C sg pf ,SR,84.0,230,89.0,32.5,11,8,7,7,12,7,8,13,8,9,9,8,14,13,134,10,1,C,3.57657205423546,4.17423507394367,7.75080712817913,6.05449011541052,5.55778434501409,11.6122744604246
