team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
1,2044,College,opponent,6,16,41,200.609,73.245,26.438,56.976,0.522,6.659,18.878,0.353,19.78,38.099,0.519,13.708,18.243,0.751,5.66,25.12,30.78,14.636,6.242,4.391,15.242,15.317,-36.34,9.879,29.854,7.023,16.317,2.853,3.635,0.785,12.074,22.974,0.526,4.853,11.488,0.422,74.593,,,,,,,0.563,0.331,0.32,98.2,,19.0,0.241,,,,,75.31464,0.408
1,2045,College,opponent,6,19,42,200.0,67.047,24.498,56.094,0.497,6.763,20.477,0.33,17.738,35.62,0.498,11.286,15.453,0.73,6.618,21.384,28.002,11.905,7.952,2.715,14.334,16.142,-29.046,10.5,25.382,7.074,14.023,2.572,4.0,0.643,10.118,19.191,0.527,5.049,12.429,0.406,70.606,,,,,,,0.533,0.365,0.275,95.0,,18.6,0.201,,,,,71.22744,0.379
1,2046,College,opponent,6,14,44,201.704,71.023,25.93,56.637,0.521,7.182,19.864,0.362,18.75,36.771,0.51,11.976,16.502,0.726,6.501,22.068,28.569,12.841,6.978,3.546,15.295,16.752,-28.75,10.298,27.543,6.25,14.658,2.548,3.932,0.648,11.204,20.272,0.553,4.977,12.567,0.396,72.697,,,,,,,0.556,0.351,0.291,97.7,,19.3,0.211,,,,,73.35196,0.388
2,2044,College,opponent,11,30,41,200.0,82.413,30.245,62.098,0.54,6.539,18.683,0.35,23.707,43.416,0.546,15.389,20.999,0.733,9.39,25.733,35.123,15.194,8.999,3.123,11.05,15.292,69.389,8.61,36.83,8.635,15.999,3.756,5.17,0.726,14.61,25.828,0.566,5.294,12.417,0.426,72.999,,,,,,,0.578,0.301,0.338,112.9,,13.4,0.248,,,,,73.83752,0.447
2,2045,College,opponent,23,28,42,200.0,78.809,29.19,60.024,0.549,7.546,19.928,0.379,21.642,40.096,0.54,12.881,18.07,0.713,7.073,23.76,30.833,13.095,8.928,2.286,11.095,14.597,42.143,10.241,30.145,7.738,14.832,3.953,5.549,0.712,11.095,21.12,0.525,6.572,13.431,0.489,71.995,,,,,,,0.58,0.332,0.301,109.5,,14.0,0.215,,,,,72.7196,0.383
2,2046,College,opponent,46,8,46,200.543,65.499,24.436,58.783,0.463,5.585,18.412,0.303,18.848,40.369,0.467,11.045,15.327,0.721,7.63,23.85,31.48,10.955,5.827,2.063,14.763,14.718,-76.954,9.69,27.347,5.783,13.826,2.628,3.848,0.683,11.022,22.717,0.485,5.175,13.804,0.375,72.653,,,,,,,0.5,0.313,0.261,90.2,,18.4,0.188,,,,,73.27296,0.418
3,2044,College,opponent,8,23,41,200.609,79.44,28.878,63.927,0.514,8.023,23.66,0.339,20.853,40.268,0.518,13.66,19.098,0.715,8.684,24.754,33.438,14.244,7.876,2.729,11.242,15.951,18.416,10.369,30.098,8.123,15.684,2.705,3.927,0.689,12.317,22.488,0.548,5.804,13.853,0.419,74.889,,,,,,,0.549,0.37,0.299,106.1,,13.5,0.214,,,,,75.65204,0.379
3,2045,College,opponent,17,14,46,200.0,74.261,27.281,62.782,0.502,8.437,24.655,0.342,18.847,38.132,0.494,11.263,15.955,0.706,7.826,24.152,31.978,13.543,6.477,2.457,13.132,15.806,-46.63,11.079,26.216,7.307,14.824,3.197,4.609,0.694,9.868,20.327,0.485,5.738,13.194,0.435,75.113,,,,,,,0.532,0.393,0.254,98.9,,15.8,0.179,,,,,75.7464,0.353
3,2046,College,opponent,17,15,47,201.594,75.616,27.511,60.787,0.511,7.127,19.383,0.368,20.383,41.403,0.492,13.468,18.533,0.727,7.086,25.766,32.852,14.105,5.66,2.896,14.489,17.681,-43.083,9.947,30.042,7.0,15.34,2.702,4.363,0.619,12.297,23.704,0.519,5.362,13.339,0.402,76.346,,,,,,,0.548,0.319,0.305,99.0,,17.4,0.222,,,,,77.08584,0.397
4,2044,College,opponent,62,11,45,200.555,63.845,23.554,56.0,0.481,6.734,20.6,0.327,16.824,35.398,0.475,10.0,14.289,0.7,7.711,25.91,33.621,10.644,4.957,3.288,17.91,15.246,-68.777,11.074,23.111,5.045,14.2,2.245,3.022,0.743,9.311,19.533,0.477,5.265,12.846,0.41,72.488,,,,,,,0.513,0.368,0.255,88.1,,22.3,0.179,,,,,73.05772,0.362
