team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
1,2044,College,team,6,25,41,200.609,80.511,30.51,61.393,0.543,5.682,16.025,0.355,24.83,45.367,0.547,13.807,18.878,0.731,7.805,26.732,34.537,16.172,8.587,3.683,13.097,16.317,36.34,7.82,39.367,8.001,15.317,3.538,5.074,0.697,16.146,28.05,0.576,5.147,12.244,0.42,74.987,2.5,2.4,5.0,3.1,3.0,6.1,0.578,0.261,0.307,107.4,9.2,15.8,0.225,23.7,82.5,,,75.74644,0.489
1,2045,College,team,6,23,42,200.0,72.86,28.191,53.737,0.555,3.237,8.548,0.379,24.953,45.192,0.552,13.237,18.642,0.71,6.285,26.24,32.525,15.358,7.594,3.382,14.525,14.023,29.046,7.256,37.238,5.667,16.142,2.788,3.976,0.701,15.809,27.548,0.574,6.333,13.668,0.463,70.179,1.9,5.3,7.2,1.3,2.1,3.4,0.588,0.159,0.347,103.8,9.0,19.0,0.246,22.9,79.6,0.553,0.557,70.92516,0.511
1,2046,College,team,6,30,44,201.704,76.773,29.683,55.091,0.557,1.954,5.318,0.367,27.727,49.772,0.557,15.456,20.796,0.743,5.774,25.451,31.225,16.567,8.362,3.296,13.319,14.658,28.75,6.339,42.637,5.863,16.752,3.295,4.865,0.677,17.999,29.911,0.602,6.409,15.0,0.427,71.782,3.8,3.9,7.6,1.5,1.5,3.0,0.598,0.097,0.377,107.0,9.3,17.2,0.281,20.7,79.7,0.534,0.58,72.61808,0.555
2,2044,College,team,11,11,41,200.0,68.538,25.17,56.146,0.502,6.073,19.172,0.317,19.097,36.978,0.516,12.123,17.537,0.691,7.462,24.732,32.194,12.218,4.633,3.538,16.951,15.999,-69.389,9.494,29.22,6.295,15.292,2.562,3.609,0.71,12.048,22.439,0.537,4.488,10.928,0.411,73.351,-5.1,-5.8,-10.9,-2.8,-3.3,-6.1,0.537,0.341,0.312,93.4,-19.5,21.0,0.216,22.5,72.5,,,74.05276,0.426
2,2045,College,team,23,14,42,200.0,70.38,26.262,56.002,0.526,6.356,19.618,0.324,19.905,36.382,0.547,11.499,16.261,0.707,7.426,25.599,33.025,11.926,4.69,3.358,16.336,14.832,-42.143,9.135,32.332,4.571,14.597,1.359,1.904,0.714,14.785,25.262,0.585,3.738,9.214,0.406,72.066,-3.8,-3.9,-7.7,-0.4,-0.5,-0.9,0.557,0.35,0.29,97.7,-11.6,20.6,0.205,23.8,78.4,0.534,0.485,72.71728,0.459
2,2046,College,team,46,38,46,200.543,80.89,30.802,62.369,0.554,7.457,21.63,0.345,23.349,40.738,0.573,11.828,15.915,0.743,8.848,27.521,36.369,15.131,7.088,3.849,12.282,13.826,76.954,9.28,35.479,7.173,14.718,2.436,3.283,0.742,15.305,24.264,0.631,5.611,13.196,0.425,72.81,4.1,7.3,11.4,0.7,1.5,2.2,0.583,0.347,0.255,111.1,20.9,15.0,0.19,27.1,78.3,0.479,0.566,73.4422,0.439
3,2044,College,team,8,18,41,200.609,75.756,28.56,58.22,0.536,5.316,16.563,0.321,23.243,41.661,0.558,13.316,18.853,0.706,7.073,28.416,35.489,16.171,5.145,3.754,15.268,15.684,-18.416,8.066,36.634,6.195,15.951,2.464,3.389,0.727,15.804,26.925,0.587,4.926,11.341,0.434,74.711,0.2,-1.7,-1.5,0.9,-0.6,0.3,0.569,0.284,0.324,101.4,-4.7,18.7,0.229,22.2,76.6,,,75.46444,0.484
3,2045,College,team,17,32,46,200.0,83.587,31.719,61.913,0.566,6.628,18.021,0.368,25.086,43.89,0.572,13.522,18.783,0.72,8.155,29.279,37.434,14.459,5.913,4.173,13.218,14.824,46.63,8.203,40.868,7.892,15.806,3.414,4.738,0.721,17.022,27.392,0.621,4.654,11.76,0.396,75.239,3.5,2.4,5.9,1.0,0.8,1.8,0.596,0.291,0.303,111.1,12.6,15.8,0.218,25.3,79.1,0.511,0.564,75.99184,0.489
3,2046,College,team,17,32,47,201.594,84.235,31.597,62.895,0.555,6.574,18.0,0.365,25.023,44.895,0.557,14.469,21.213,0.682,8.212,27.554,35.766,13.532,6.363,3.913,12.062,15.34,43.083,8.772,38.597,6.893,17.681,4.065,5.405,0.752,15.213,26.659,0.571,5.725,12.83,0.446,76.079,4.5,1.4,5.9,1.3,0.5,1.8,0.583,0.286,0.337,110.7,11.7,14.3,0.23,24.2,79.5,0.512,0.561,76.92724,0.458
4,2044,College,team,62,34,45,200.555,77.599,29.578,60.889,0.537,6.245,17.399,0.359,23.334,43.488,0.537,12.2,18.867,0.647,8.221,25.867,34.088,13.022,10.491,3.577,11.622,14.2,68.777,8.513,37.201,7.511,15.246,4.064,5.376,0.756,14.489,25.155,0.576,4.734,12.955,0.365,72.596,2.0,10.9,12.8,0.3,6.9,7.2,0.561,0.286,0.31,106.9,18.8,14.4,0.2,24.1,77.0,,,73.34616,0.479
