,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,82.0,245,83.0,28.0,10,6,7,6,19,10,10,11,10,13,12,15,7,10,10,7.426,3.98189597605916,7.513664580911633,0.53,0.0,0.033240175104493855,0.0,3.98189597605916,7.4790393985111185,0.532,2.319887220834467,3.6370291593500363,0.638,3.185516780847328,8.499124213642531,11.684640994489861,1.0359854574233918,1.1397557666214384,1.2433699272233874,1.868374842331759,2.9730356482052556,-0.601,2.376,7.891771572725251,0.2077510944030866,3.704894516855044,0.24237627680360102,0.3448668167091238,0.703,3.7062795241510655,6.7893057650928705,0.546,0.03185516780847328,0.3448668167091238,0.092,40.433,40.535,8.635894905637107,4.282718638213891,8.876279758233627,0.486,0.07045762920932529,0.34399901319847054,0.205,4.212261009004565,8.530899222893797,0.494,0.4835327494757617,0.8302948069569509,0.582,3.4883434069322816,7.221216232885163,0.483,0.24176637473788085,0.4835327494757617,0.5,0.1,1.8,1.9,-0.3,2.6,2.3,0.564,0.004,0.484,12.0,34.7,22.9,5.8,2.0,4.0,17.0,17.1
1,81.0,205,86.25,31.5,15,8,17,15,13,7,9,14,11,11,7,14,16,13,12,15.163,5.85399073821847,11.241759738490876,0.54,0.44333968945791347,0.9982293652955598,0.444,5.409697630073551,10.243530373195316,0.528,2.307273222555162,4.2341323889948255,0.545,1.749523290656497,5.666968047902558,7.416491338559055,0.6435576137292293,0.8005595455398421,0.4212968491444754,1.2623263415962958,2.865964960166499,4.882,5.372,10.289294470171615,0.5320076273494961,3.3922636883682924,0.13347861618087717,0.1763824570961591,0.757,5.011168618904931,9.46935439934623,0.529,0.26695723236175434,0.5987469354399347,0.446,58.736,58.619,9.998396424367526,4.8215083846534394,8.553950084443612,0.584,0.35537965506064595,0.8894044593050036,0.4,4.4661287295927945,7.662634981831832,0.583,0.3783073747419779,0.64675275934424,0.585,3.844214333236664,6.37677203637046,0.603,0.24456234326754128,0.6438867943840736,0.38,1.1,-1.5,-0.4,2.6,-1.0,1.6,0.552,0.089,0.377,6.8,23.2,14.8,3.8,1.4,1.5,8.8,23.1
2,82.5,225,87.25,28.5,7,12,14,7,10,13,9,12,9,13,10,14,6,12,10,9.572,3.5269066229212913,7.8481778120878785,0.458,0.12789089388529706,1.0042137090289172,0.127,3.399015729035994,6.846666023352312,0.496,1.4419247965518351,1.8535173212390237,0.778,1.9300717295506453,6.07800555095681,8.008077280507456,1.15732252565216,0.285403580529451,1.324308970800669,1.3662710283379977,2.4150232912953857,0.629,6.001,5.145356878638748,0.0,2.2380906429926983,0.07655440831162148,0.10177233104956739,0.752,2.4956737109588603,4.914793013606099,0.508,0.8231850493743769,1.8264981183055102,0.451,62.178,61.611,8.205807404521922,4.050185843437049,8.179448475109966,0.502,0.10361786044699813,0.3108535813409944,0.333,3.9474769115904627,7.86859489376897,0.502,0.570807161058902,0.8825696710003086,0.647,3.1948840304491086,6.776971644673842,0.471,0.18087679148204056,0.2054178636931717,0.881,-1.1,0.0,-1.0,2.3,0.1,2.4,0.498,0.128,0.236,7.1,24.1,15.3,6.1,0.5,4.4,13.6,15.9
3,81.5,225,86.25,31.5,12,8,8,12,14,16,8,16,10,10,13,9,15,13,12,17.791,7.12237981674407,11.721350571105813,0.608,0.0,0.021086983808208865,0.0,7.12237981674407,11.698255303125395,0.609,3.619932220409188,6.259821764779717,0.578,1.8918036902221664,8.061305944335057,9.953109634557222,1.0734278900464416,1.4771610522767995,1.5486846540010288,1.0955190159407555,2.863924219041031,17.324,3.333,13.823019957323963,0.1867704280155642,4.298732270616293,0.2801556420233463,0.3735408560311284,0.75,6.633362620810845,10.859796661227564,0.611,0.20886155390987826,0.4659219279528054,0.448,55.769,56.373,5.8907633086761395,2.888758802973055,7.25567204158019,0.406,0.1152324694445923,0.3238429744735956,0.356,2.773526333528462,6.930835683749314,0.4,0.25529952282120877,0.6019903145122666,0.424,2.357298706827737,5.867915491458678,0.402,0.1619214872367978,0.4629166444929311,0.35,3.6,3.3,6.9,7.7,12.8,20.5,0.617,0.002,0.534,8.2,30.3,20.0,6.2,2.7,5.3,7.0,25.2
4,76.5,215,82.0,30.5,12,12,10,9,12,12,7,7,13,9,8,14,9,15,11,9.599,4.211810143307248,7.058766134769794,0.603,0.08423620286614494,0.25498526272995226,0.33,4.126435613375344,6.800365890842566,0.607,2.417806687671512,3.2430938103465805,0.746,2.619290578310804,6.81135693519454,9.430647513505345,0.6522614086797439,1.6742613249757727,1.5022165405472279,0.7387742656774063,2.2816140538980187,18.524,3.909,7.568736660229699,0.05805468035369448,2.788901311108853,0.026181522512450456,0.026181522512450456,1.0,3.7291594674255513,6.231202357963208,0.598,0.3414981197276146,0.5407053562353898,0.632,49.195,48.499,7.852862945627746,3.868120992185406,8.6588177075816,0.453,0.1131569723087074,0.3198416462195097,0.354,3.7538093568939566,8.341285387327575,0.45,0.40297738097692737,0.57964081733644,0.695,3.2319016886946126,7.417555001134044,0.436,0.11431163529144932,0.3452442318398317,0.331,1.9,1.3,3.2,11.9,11.5,23.4,0.644,0.036,0.459,10.1,28.6,18.9,3.4,3.0,5.1,8.0,14.8
5,83.5,280,88.0,29.5,12,13,13,5,5,15,15,7,10,11,6,12,9,16,11,20.929,8.156569724597695,14.944593922983328,0.558,0.3646895511645045,1.393497969186475,0.262,7.7918801734331895,13.55109595379685,0.575,3.4050487566622683,5.278401398433618,0.645,1.3704649449024011,5.443607481424546,6.8140724263269465,0.2735171633733784,1.0483559654966268,1.5964471773849178,2.056657126698771,2.892544196771714,0.285,3.862,15.172045037788557,0.09117238779112613,3.975116107693099,0.0,0.04606604856814794,0.0,7.584582954876524,12.999263080324246,0.583,0.2053777998663262,0.503847406214118,0.408,58.351,58.545,7.902843966179862,3.9160304039627643,8.699632761123922,0.454,0.06791357075753694,0.27165428303014777,0.25,3.8481168332052262,8.426065419762574,0.457,0.45530788282517726,0.9565291655991119,0.476,3.3229823212913145,7.219882141942096,0.46,0.06791357075753694,0.2506106413869673,0.271,1.6,0.2,1.8,-3.4,2.3,-1.1,0.582,0.093,0.353,5.5,20.6,13.2,2.2,1.9,5.4,10.6,31.9
6,82.5,235,85.25,34.0,10,13,10,10,12,16,7,10,7,8,5,6,6,10,10,13.87,6.253929767604332,10.857788645283252,0.589,0.2727104608872542,0.6996116464955721,0.39,5.977767275566607,10.155875644687368,0.589,3.1758686584338465,4.327696385641195,0.734,3.0009657468099538,7.87217131679193,10.873137063601883,0.4487640495613044,0.5258107690723773,1.5532173375887988,1.376209751988,2.5564089364768874,4.913,3.257,11.803645180512463,0.05178046725707358,2.9779522058068095,0.0,0.0,,5.904123944356546,9.882014506749954,0.597,0.07594468531037459,0.27386113793741135,0.277,48.667,48.565,7.092679913517967,3.4869556264799755,8.27229486255534,0.429,0.124534129517142,0.5500257387007105,0.226,3.3589622155873573,7.722269123854629,0.435,0.32401935550293426,0.8025532791104706,0.404,2.7339853804179968,6.464243796973129,0.423,0.30095747966642644,0.4520127663955525,0.666,2.4,2.4,4.7,2.6,4.9,7.5,0.625,0.064,0.399,12.5,28.4,21.0,2.6,0.9,5.5,9.7,22.8
7,79.0,205,84.25,34.0,11,11,14,13,7,9,7,14,7,13,6,5,14,10,10,15.628,5.580610355101055,9.670472662855305,0.591,0.27325871648280864,0.7133585634914245,0.383,5.306449794669459,8.956212255415089,0.592,2.663145180771399,3.879732667686609,0.686,2.1382720025766973,6.167885798988174,8.306157801564872,0.3571302037201064,1.08993651918925,1.3849772822479298,0.984813592076657,2.686043888763574,7.906,4.246,10.35857959578066,0.16684113052580726,2.8940172316611648,0.1046138980594251,0.12625815283034061,0.829,5.074675899830905,8.55759723005073,0.593,0.12625815283034061,0.27325871648280864,0.462,62.095,62.066,10.616956143460188,5.20246189540167,9.568523829471854,0.555,0.2102278219959398,0.37895143879096443,0.555,4.994940869397094,9.190474656011345,0.543,0.4610575838623401,0.8598588599233076,0.536,4.323655463538813,7.97241645989753,0.542,0.20932555666548514,0.35729707086005225,0.586,1.8,-1.1,0.7,7.1,1.9,9.0,0.619,0.074,0.401,7.5,23.7,15.3,2.1,1.9,4.5,8.0,19.3
8,83.0,260,82.0,25.0,15,9,10,8,13,18,8,9,7,4,13,10,5,10,10,12.758,6.54564907275321,11.179029957203994,0.597,0.2496433666191156,0.7476818830242512,0.334,6.294757489300999,10.427603423680456,0.604,2.58006419400856,3.772111269614836,0.684,2.108238231098431,7.643753629014249,9.75199186011268,0.5542082738944366,0.6940908481843765,1.555763991245701,1.695078459343795,3.084014471392202,8.111,3.933,12.37232524964337,0.112339514978602,2.994472182596291,0.056169757489301,0.112339514978602,0.5,6.128744650499288,10.039407988587731,0.61,0.11109129814550642,0.2771041369472183,0.401,44.864,44.778,7.14350797266515,3.504220822725446,8.061458752065747,0.443,0.1375675554960025,0.5277591674483005,0.261,3.361650810665952,7.526195899772211,0.447,0.5552726785475011,0.9454642904997992,0.587,2.643798293804994,5.976684979230873,0.442,0.16758229487694853,0.6102997007459021,0.275,1.5,2.1,3.6,-1.0,4.0,3.0,0.62,0.067,0.337,8.2,30.3,19.1,3.5,1.2,5.4,11.7,23.3
9,82.0,240,86.0,32.0,12,9,10,11,14,8,6,18,6,8,9,15,11,11,11,17.026,6.399262206889485,10.790087612931876,0.601,0.17119532731030007,0.588185063105221,0.291,6.22902327805578,10.200946151350061,0.611,3.310095127491333,4.536197974484656,0.73,3.2364524447936063,8.256191057737976,11.492643502531582,0.8091131111984016,1.1198860166904134,0.8757717619919941,0.9324885146790088,2.703304159033856,10.615,3.338,12.114699503014364,0.14728536539545373,3.2871415640530803,0.072686284221133,0.072686284221133,1.0,5.958362509179719,9.834645534814612,0.606,0.17119532731030007,0.2936143323143136,0.583,58.553,58.956,8.696926521473642,4.237329533889681,8.280887441481784,0.525,0.2184680100413868,0.6079109844629894,0.359,4.018861523848293,7.672026596105571,0.524,0.2669109166157813,0.46258226473980596,0.577,3.4831399687902844,6.648076531650722,0.524,0.2688106384422281,0.5613677997150417,0.479,3.7,1.3,5.0,7.9,5.5,13.5,0.637,0.055,0.42,12.5,30.5,21.7,5.0,2.0,2.9,6.8,21.9
