,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,79.0,205,84.0,29.0,14,18,15,5,14,8,5,18,6,12,13,8,10,14,11,19.317,6.790842976872303,13.14620668805321,0.552,0.9405599690958868,2.3391726431414703,0.402,5.84934244780732,10.80421236500445,0.541,3.6474915601538496,3.8751070726750534,0.941,3.0286031004887555,6.612431505698054,9.641034606186809,0.34424494868909455,1.101287524792416,0.6645376004302955,1.260350358588488,2.365414999831916,0.22,6.957,9.542921446446869,0.04702799845479435,2.8423722266077696,0.09311543694049279,0.2520700717176977,0.369,4.680226406221133,8.578847478123585,0.546,1.0788222845529822,1.9742353751322665,0.546,59.539,59.494,10.01042121894645,4.798601539651058,8.74723501529566,0.572,0.41510068242175685,1.0796382828520525,0.384,4.384442128618013,7.667596732443609,0.572,0.36615457020876063,0.5271119776784214,0.695,3.604128147376206,6.0599052005244225,0.595,0.4141594110330454,1.0796382828520525,0.384,3.3,-0.1,3.2,3.6,0.7,4.2,0.612,0.178,0.295,11.9,26.9,19.3,2.2,2.0,2.1,7.8,25.8
1,78.0,195,84.25,26.5,6,13,11,12,10,15,17,13,10,15,16,7,9,8,11,11.223,3.6253135434806922,8.498729849339364,0.478,0.8714351903628318,2.6626192264063526,0.327,2.7511942611557574,5.8379000175744125,0.471,1.9244939368279785,2.6384623987474236,0.729,1.6784521736351872,5.376324037611509,7.054776211246697,1.0960042178587979,0.7641887004741622,0.49505746202684253,1.0736367848412711,2.2952664148517234,-0.472,9.339,3.981403077119714,0.31224936492466965,2.144589477720439,0.3149334568867729,0.5135562620824081,0.613,1.6766627789937854,3.735361313926923,0.449,0.7604927225959004,1.5880877442443802,0.479,62.591,62.215,7.266543438077636,3.420397010367275,7.179233303865628,0.506,0.42754962629590937,1.1710359238125854,0.365,2.991047175118541,6.008197380053042,0.498,0.5625652977577755,0.9010045808888532,0.624,2.093643012135337,4.389809531463473,0.477,0.3375391786546653,0.7200835811299526,0.469,0.3,0.4,0.7,4.6,4.4,9.0,0.52,0.313,0.31,6.1,20.4,13.1,6.2,1.4,1.6,10.0,17.2
2,85.0,265,87.25,30.0,11,8,9,11,8,15,11,15,8,7,9,17,11,14,11,17.341,6.716852704706892,10.725282959956289,0.626,0.0,0.0,,6.716852704706892,10.725282959956289,0.626,1.7292639138240575,2.7503863866989304,0.629,1.726641167746468,6.973042362002569,8.699683529749036,0.5560221684489892,1.1975327968940797,0.8117974889633365,1.8551557255483568,2.2881117129528166,-2.172,3.734,12.66611505737257,0.04371243462649286,2.38757317929904,0.06382015455467957,0.06382015455467957,1.0,6.268363125439076,9.574771680586997,0.655,0.38554367340566703,1.0875653735071422,0.355,64.055,63.878,6.7556279157143315,3.185822975046182,6.370769278937976,0.53,0.38485863677635496,1.0493753718024987,0.367,2.802717680578603,5.32490059175303,0.526,0.12711731738626758,0.23319452706722196,0.545,2.1592410532577726,4.149284573718651,0.52,0.5119759541626225,0.9406681486583801,0.544,1.2,1.6,2.8,-1.0,3.0,2.0,0.635,0.0,0.256,7.5,26.5,17.6,3.6,2.1,2.8,13.5,22.5
3,76.5,210,80.0,33.0,7,13,16,12,15,10,7,18,8,11,7,11,6,13,11,15.075,4.844253003854002,10.61346633416459,0.558,2.1455452278394924,5.332124234867377,0.402,2.697800952165042,5.2876898662434835,0.51,1.834504647472229,2.475629109045568,0.741,1.9687145771933803,7.984759671746777,9.953474248940156,0.6855588301972343,0.5115279406017977,1.2665103556076596,1.0845613239628202,2.180148495506057,8.098,13.539,3.7161641351167543,0.08796191339832239,2.1899795964633872,0.0199501246882793,0.06619814101110859,0.301,1.835411471321696,3.4713216957605986,0.529,0.8406257084561325,1.7465427340739064,0.481,61.754,61.416,8.429725153054578,3.98098215448743,8.896574182623421,0.474,0.46684902956884206,1.1342972515305458,0.412,3.5168685684512186,7.760453302071122,0.453,0.3565194737527681,0.5334114888628371,0.668,2.780122443662889,6.180278754721897,0.45,0.3793148365246841,1.0449394294646348,0.363,1.7,2.3,3.9,1.5,3.4,4.9,0.584,0.502,0.233,7.3,29.0,18.3,4.0,0.9,4.0,8.5,20.4
4,79.5,240,83.0,28.5,9,17,18,11,11,13,9,16,12,13,8,12,13,13,12,16.25,4.752441005918042,10.293755496921724,0.56,2.016844804197785,4.940268026176528,0.408,2.7364309884769615,5.355157044258607,0.511,2.0410536201422116,2.6203956292950523,0.779,1.252180135056572,6.5670608939464,7.8192410290029715,0.8105779407599542,1.1609073690176133,1.508344394565331,0.7888734850856403,2.5523258415236163,6.78,12.817,3.569548171667934,0.09182654323748193,1.8799397760982663,0.04591327161874097,0.11603535918190899,0.396,1.7380260274585215,3.5236349000491933,0.493,0.9499873291295857,1.7171563585409122,0.553,67.083,67.051,8.467107127410479,4.1057702345975455,8.630803418293537,0.491,0.2564018433729549,0.6021684986055391,0.426,3.8510387615397237,8.027799734530431,0.48,0.30066665672398624,0.48691294686134434,0.617,3.340740630266514,7.053138655650178,0.474,0.20712591907652383,0.48691294686134434,0.425,1.8,1.1,2.9,6.1,7.2,13.3,0.593,0.48,0.255,4.9,26.9,15.7,4.5,2.1,5.1,6.4,20.0
5,79.0,220,81.0,37.0,7,11,13,11,14,14,12,17,6,9,7,10,6,11,11,6.752,2.9607125478663767,5.517422303086721,0.607,0.7760170943787421,1.7795079019188862,0.436,2.182325935642203,3.737914401167834,0.584,1.297311020373622,1.8885057228087248,0.687,2.332790318827089,6.687608190838084,9.02039850966517,0.7783866122241734,1.0344099641123077,1.106523115896137,1.7783231429961706,2.4388431496727896,1.562,9.734,3.406181902807455,0.0,2.1858802124103494,0.037912285526900374,0.037912285526900374,1.0,1.665771045338185,2.8161719592950685,0.592,0.4786426047771173,0.8885691920367276,0.539,47.267,47.37,8.903018788262614,4.2865948912814025,9.04960945746253,0.492,0.33337555414819503,0.8866371120962636,0.376,3.953219337133207,8.164154528182396,0.484,0.477601857715854,0.7376820772640913,0.647,3.1753430441207517,6.797551192738021,0.467,0.2967278868482162,0.6277390753641546,0.473,-0.2,1.0,0.8,-0.9,1.4,0.6,0.63,0.323,0.342,8.4,28.6,17.7,4.3,1.9,3.8,21.9,13.0
6,79.0,230,83.0,28.5,13,6,10,8,15,12,13,7,11,8,13,16,8,7,11,12.117,4.738270170522504,8.278577042681885,0.574,0.02009363359874244,0.045928305368554155,0.438,4.7172196972285825,8.232648737313331,0.573,2.0935652530499267,3.6053719714315005,0.581,2.137579879028124,6.461283951450904,8.598863830479027,0.7358097255920447,1.407586218538463,0.701429801313324,1.5118067183815742,2.725366734752444,11.14,3.432,8.989508936199297,0.045928305368554155,2.7135973755254073,0.11195024433585074,0.1320438779345932,0.848,4.383282643611387,7.6327102484365925,0.574,0.22294364897652325,0.4669377712469671,0.477,58.526,59.239,7.957730549131485,3.8682624622292745,7.386755346984251,0.539,0.21931497830820915,0.6588902581069904,0.333,3.6498928071034293,6.7269197656948965,0.543,0.5719205253295971,0.8366110163912288,0.684,2.703624301558095,5.166191191613633,0.523,0.3752933033980993,0.7250628808723983,0.518,0.8,0.8,1.6,3.1,4.2,7.3,0.588,0.006,0.436,8.9,25.4,17.5,3.7,2.5,2.3,13.3,18.3
7,82.5,230,84.0,32.0,8,12,12,6,7,18,5,11,7,11,8,16,8,7,10,5.25,3.598582354038427,7.635888826711437,0.536,0.9888702356525524,2.2963377479325997,0.431,2.6114530871106143,5.339551078778836,0.489,0.952309892433004,1.4223714481129146,0.67,1.5041969781757139,5.514538717578346,7.01873569575406,0.3551576198470435,1.9589273378132264,1.0392513973497457,1.2674252316110182,2.1558751491553103,7.931,10.382,3.565503948268359,0.0,1.5442392588447433,0.08182553006279923,0.11664490455760745,0.701,1.70092644407138,3.44537710626127,0.494,0.8304420817011753,1.7792700366846987,0.467,32.166,31.846,7.035608867675689,3.312943540790052,7.4717075927903025,0.47,0.3974125478867048,0.837028198203856,0.475,2.9172894555046165,6.634679394586448,0.44,0.5574326446021479,0.9179174778622119,0.607,1.91672423538278,4.874458330716574,0.393,0.44137411291841994,0.8387866608051247,0.526,-0.7,1.0,0.3,5.1,10.3,15.5,0.553,0.301,0.186,6.2,21.5,14.0,1.7,3.5,3.7,13.3,15.2
8,79.0,235,82.25,29.0,12,9,9,5,7,9,12,14,6,11,13,11,13,11,11,15.954,6.578929023499845,11.373410871200308,0.581,0.05033846379629799,0.09656766524187779,0.521,6.529617875291226,11.275815890370753,0.579,3.1785144282805304,5.184861771018694,0.613,1.5635743244482767,5.703675386379772,7.2672497108280485,0.9297206068499937,1.2385997487848837,0.6065570786230499,1.4413237695144099,3.155116232501411,-1.405,3.809,12.180880923116435,0.0,3.863733925262791,0.41709012859789774,0.9060923483333639,0.46,5.67591862192952,9.514996973088,0.597,0.4396910715268478,0.857808515712425,0.513,54.511,54.933,9.66005861686054,4.70871789270566,8.180874883949539,0.59,0.24160340778766862,0.6554894143775146,0.369,4.468133908579543,7.523346622248922,0.594,0.3150019114193654,0.4607794950212077,0.684,3.8595379826333907,6.433582728050535,0.6,0.2925745908652359,0.6320426701618337,0.463,2.4,-0.8,1.6,2.9,0.5,3.5,0.6,0.008,0.456,6.7,23.1,15.1,6.2,2.2,2.0,9.5,24.7
9,79.5,245,83.0,30.5,9,15,9,7,10,8,9,16,10,11,13,12,18,11,12,17.076,5.819224305532673,12.161597521995585,0.546,1.6331103568721785,4.353115629222,0.375,4.1870366098790655,7.807559231555014,0.536,2.482881339176854,2.7689063169341286,0.897,1.6321876956536066,5.948006932409012,7.5801946280626185,1.3018749794048836,1.327325245522819,0.16637781629116116,1.1367186212805218,2.7720392836510697,0.306,10.363,5.442778528355357,0.18822288858865785,2.6960160806669524,0.40135763007875574,0.66247075493459,0.606,2.315879658615349,3.9757471908261115,0.583,1.4661086763106732,3.1702639470128844,0.462,60.694,60.585,9.527902946273832,4.620681686886193,8.69786250722126,0.548,0.28469093009820917,0.9714615829000579,0.293,4.335990756787984,7.726400924321202,0.561,0.18856152512998267,0.30779896013864827,0.613,3.887694974003467,6.80207972270364,0.572,0.2606585788561525,0.616522241478914,0.423,2.6,-0.2,2.4,3.3,3.6,6.9,0.589,0.358,0.228,6.4,23.8,15.0,8.0,2.4,0.5,7.8,23.4
