,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,78.5,215,85.25,25.5,14,16,10,15,9,13,12,8,17,9,16,5,15,8,12,18.238,6.705405157382767,13.996659631091129,0.55,1.9816096173258697,5.800936037441498,0.342,4.722767734238782,8.19777920528586,0.576,3.353730384509498,4.38050839680646,0.766,0.6588235294117648,1.8059887253825317,2.4648122547942966,7.270698357346059,1.414452009663958,0.2193425580203529,3.4010094521427923,2.4886155648290504,12.381,12.234,5.482316233825824,2.2992016151234287,3.3280352390566215,1.933302743874461,2.4955125263834086,0.775,0.8078553730384511,1.2744792144626964,0.634,1.9826374231439847,4.4318986877122155,0.447,54.485,54.636,8.883373599824292,3.659125851087195,9.177538619225421,0.484,1.5610220367523244,4.78043780657442,0.327,2.098103814334871,4.391975986529029,0.478,0.6098543085145326,0.927593528076726,0.657,0.392561680942968,0.707226004831979,0.555,1.0977377553261587,2.7571564536203237,0.398,4.6,0.9,5.6,4.7,4.1,8.8,0.589,0.414,0.313,2.8,6.8,4.9,41.5,2.5,0.7,17.6,31.4
1,77.5,220,82.0,30.0,9,14,14,10,6,8,5,14,17,11,14,6,18,16,11,19.569,5.827291558777836,11.719834282755048,0.583,2.019161056447437,5.087778353184879,0.397,3.811755567063698,6.6311496633868465,0.575,4.056447436561367,4.6554893837389955,0.871,0.9669860176074572,1.938914979757085,2.9059009973645424,8.075737959606421,2.0196275303643723,0.10247773279352226,2.6780165717244957,2.1438704453441293,10.434,13.058,4.119886069394097,3.171931641636458,3.4601242879337133,1.731874676333506,2.03909891248058,0.849,0.32988089073019167,0.6380113930605903,0.517,1.7509062661833248,3.954945624029001,0.443,61.792,61.75,9.315497975708503,3.771724696356275,8.759578947368423,0.532,1.7720485829959516,4.719417004048583,0.375,2.000582995951417,4.0392550607287445,0.495,0.6810688259109313,0.9077894736842105,0.75,0.14419433198380566,0.22672064777327935,0.636,1.174412955465587,2.9065587044534413,0.404,6.0,0.6,6.6,10.8,7.3,18.1,0.644,0.434,0.397,3.8,7.5,5.7,46.4,3.6,0.3,16.3,26.5
2,79.0,210,87.0,34.5,12,12,10,7,11,6,9,8,13,17,13,7,13,10,10,18.868,6.364647755934077,13.97533082265142,0.526,1.960957744532357,5.85675292816916,0.335,4.403690011401721,8.120512731921362,0.542,3.564937981549943,5.1679507998479774,0.69,1.0186919116884912,2.315568904100021,3.3342608157885123,4.3282313512766475,2.1102186212195297,0.12712160368792344,2.6739453408423453,2.1346650834672065,13.867,11.542,5.550081194071106,4.506236395674256,3.6413640603945687,2.1379953702104135,2.9796496562208477,0.718,0.636561517465363,1.017724492968939,0.625,1.628165705006392,4.124106001451128,0.395,57.886,57.268,8.593420409303626,3.4733533561500316,8.209122022770133,0.523,1.646713697003562,4.373961025354474,0.376,1.8276175176363765,3.834183138925753,0.477,0.43808060347838235,0.4889292449535517,0.896,0.28260110358315293,0.5388000279388141,0.525,1.105957952084934,2.8035202905636654,0.394,2.7,1.3,4.0,5.4,8.1,13.4,0.562,0.419,0.37,3.8,9.6,6.5,25.6,3.8,0.5,14.1,30.3
3,75.5,170,81.0,28.5,11,11,13,14,12,12,12,12,9,17,13,9,17,9,12,18.927,6.924379415095357,15.220750274117881,0.525,2.134991821400967,5.5010515341613795,0.388,4.78536120647817,9.721711933564611,0.492,3.0681070587600887,4.075710459619291,0.753,0.5143709668721802,2.277377495788078,2.7917484626602582,5.2534287203638135,1.1030576764526652,0.2208122737211887,3.6348210594431367,2.887622324981181,-1.072,11.491,5.40341164416803,1.9397120414142683,2.919130731759927,2.210486581705103,3.3882048424496256,0.652,0.4912192403789118,1.0065968040551472,0.488,2.0866751748063197,5.327916883863894,0.392,55.633,55.794,9.03423307165645,3.794960031544611,8.027529841918486,0.563,1.4443130085672298,3.5249668423127942,0.41,2.3496433308241036,4.50457038391225,0.522,0.8320607950675701,1.1261425959780624,0.739,0.3422590242678425,0.6122522134996596,0.559,1.1743198193354125,2.7641681901279713,0.425,2.5,0.8,3.3,-0.7,-0.9,-1.6,0.56,0.361,0.268,2.1,9.1,5.7,34.5,2.0,0.7,17.6,33.6
4,72.5,200,76.0,31.5,11,18,8,9,11,6,8,16,11,14,10,5,10,10,10,17.78,5.108949709718767,12.7892633642464,0.495,2.451451406167534,7.435421850260123,0.33,2.657498303551233,5.3538415139862785,0.496,2.34758350297821,2.7191434818668485,0.863,1.0302344869184952,2.330797101449276,3.3610315883677715,6.529322174470332,1.1759661835748794,0.0422705314009662,3.480841438588555,2.041666666666667,-2.05,14.84,2.761366206740557,2.5958531252356183,2.2656714167232153,0.7844982281535099,1.0944130287265326,0.717,0.5961848752167684,1.1949031139259598,0.499,1.2776596546784287,3.068747643821157,0.416,66.315,66.24,12.083454106280195,5.071618357487923,9.936956521739132,0.608,1.9385265700483096,4.845048309178745,0.4,3.1339371980676334,5.093599033816427,0.615,1.0711352657004831,1.279106280193237,0.837,0.741425120772947,0.9899758454106283,0.749,1.3188405797101452,2.82536231884058,0.467,2.4,-0.9,1.6,2.4,-4.9,-2.5,0.537,0.581,0.213,3.9,9.5,6.6,38.6,2.1,0.1,19.9,27.8
5,73.5,200,77.0,31.5,5,10,8,16,8,4,12,10,16,16,11,5,10,17,11,7.175,2.9817333851535173,6.709677419354839,0.45,0.0777302759424796,0.4145614716932246,0.187,2.9019303018525715,6.294079543982382,0.461,1.3970721596061668,1.9183832102603966,0.728,0.726518979142376,2.0170422406714716,2.7435612198138477,4.637906464567949,0.535425599854028,0.10115865340753583,4.664852960228009,3.3453881945078012,-19.249,9.784,2.2293043140303146,1.8655266226195106,2.2013214146910225,0.8539966316880425,1.0623137712138877,0.804,0.2580645161290323,0.6726259878222568,0.384,1.787796346677031,4.558103381267004,0.392,54.033,54.805,12.900282820910503,5.492199616823283,11.647550405984855,0.554,1.9169053918438101,5.211203357357905,0.368,3.5773378341392212,6.437368853206825,0.556,1.5327068698111488,1.7626129002828212,0.87,0.689718091415017,1.0728948088678043,0.643,1.3538910683331815,3.602882948636074,0.376,-2.8,-1.3,-4.1,-7.8,-9.8,-17.6,0.492,0.062,0.286,3.0,7.6,5.5,30.5,1.0,0.3,38.2,19.9
6,76.0,195,78.25,31.0,9,16,9,15,8,7,9,18,14,15,14,10,12,9,12,12.561,4.394226741307743,10.141589550249439,0.521,1.7700597890247152,4.239613085037511,0.418,2.624166952283027,5.903042766289654,0.445,2.833161963517271,3.3524505883697024,0.845,0.8583723675692145,2.3796845115230942,3.238056879092309,5.721771583076278,1.2407445982540193,0.0,3.5870368254693634,2.4316473194841595,0.39,14.193,2.4428957690696524,2.9643169960775353,2.784112113941887,0.8828972923569062,1.3776609924216463,0.641,0.33588483948360565,0.6749685822003884,0.498,1.4064511215202407,3.849346890589893,0.365,52.518,52.807,12.699073986403318,5.14749938455129,11.48484102486413,0.553,2.4051356827693295,6.673509193856875,0.36,2.7413032363133674,4.810271365538659,0.57,1.0339538318783494,1.268316700437442,0.815,0.30965591682920823,0.414641998219933,0.747,1.39769348760581,3.128373132349878,0.447,1.4,-0.8,0.5,0.9,-4.0,-3.1,0.576,0.418,0.331,3.3,9.1,6.2,34.2,2.2,0.0,23.6,24.5
7,75.5,215,83.0,26.0,13,8,15,9,8,7,9,15,11,14,9,11,15,9,11,8.56,4.775847855132616,10.597606390539273,0.537,1.8243738806606589,4.541831310231117,0.402,2.9514739744719565,6.0573670295932,0.487,2.2542001876225948,3.9209710890638774,0.575,0.971089063876965,2.370479872640437,3.3415689365174024,4.078574068283253,1.4375710711848988,0.11780759608824197,3.417915114989908,2.679326813736639,1.95,13.351,3.183898570088411,2.0583904255621572,3.185490519373454,1.2847030730306737,1.9039713449128692,0.675,0.31202205986866416,0.8532848167836941,0.366,1.3611166387127953,3.3001108678966373,0.412,35.177,35.176,9.163520582215147,4.000682283375029,8.892881510120537,0.515,1.163748010006823,3.6886513531953606,0.315,2.83375028428474,5.202638162383443,0.545,0.70047759836252,0.9711166704571299,0.721,0.7768933363657039,0.9679326813736638,0.803,1.3579713440982488,3.2619968160109165,0.416,0.2,1.1,1.3,-0.5,2.2,1.8,0.553,0.429,0.37,3.8,9.4,6.6,25.6,2.6,0.4,21.7,25.7
8,71.0,180,75.0,32.0,11,13,10,15,10,5,17,14,11,15,10,4,16,12,12,15.283,5.199366216588592,10.044778175806007,0.598,1.6144943510608984,3.5636538991457707,0.453,3.583907412510334,6.480159823642877,0.553,2.7245797740424362,3.710250757784514,0.734,0.8815100578671811,2.3035019455252916,3.185012003392473,5.536924772664647,2.200389105058366,0.06322957198443581,3.62537889225682,2.41147859922179,17.173,11.429,4.528106916505925,3.8365941030586943,2.7467621934417195,1.9057591623036652,2.494075502893359,0.764,0.35491871038853684,0.6066409479195372,0.585,1.323229539818132,3.3755855607605407,0.392,58.064,57.568,8.26945525291829,3.532101167315175,8.22762645914397,0.503,1.2052529182879381,4.230544747081713,0.285,2.3258754863813236,3.9970817120622573,0.582,0.6760700389105059,0.742217898832685,0.911,0.4854085603112841,0.7178988326848249,0.676,1.1643968871595334,2.538910505836576,0.459,1.7,1.6,3.3,2.5,7.0,9.4,0.631,0.355,0.369,3.6,9.0,6.4,29.4,3.9,0.2,23.7,24.6
9,76.5,190,84.0,26.5,11,11,16,14,12,7,5,8,13,9,9,6,17,9,11,15.744,5.008385605810498,11.371937933311326,0.542,2.3008253549026083,6.470782436447673,0.356,2.710333443380654,4.900231099372731,0.553,2.235193133047211,3.416573126444372,0.654,0.644305051172004,2.568326297287974,3.2126313484599778,5.805216242984485,1.69075348653843,0.1913366295973849,3.3315285572796305,2.1810535998817286,5.185,14.245,3.1411026741498853,2.7731924727632884,2.431165401122483,1.0528887421591286,1.355166721690327,0.777,0.5167381974248928,0.9447342357213604,0.547,1.1397821063057119,2.602178936942886,0.438,60.58,60.877,10.609984066231913,4.2130854017116475,9.775645974670237,0.543,2.181973487524024,5.391461471491697,0.405,2.0311119141876244,4.386024278463131,0.463,0.6613992148101911,0.9419649457102026,0.702,0.38727269740624537,0.5344547201734646,0.725,0.9842797772557781,2.910524500221759,0.338,1.9,0.4,2.3,3.0,1.0,4.0,0.565,0.569,0.3,2.5,9.3,6.0,33.5,3.0,0.7,20.6,25.8
