,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,75.0,185,81.25,26.5,12,13,18,14,6,8,9,16,10,8,15,13,6,9,11,11.031,3.818,8.848,0.55,2.09,5.001,0.418,1.728,3.848,0.449,1.304,1.788,0.729,0.91,1.847,2.757,1.212,0.396,0.0,0.757,0.85,1.242,16.003,2.061,1.212,1.575,0.242,0.363,0.667,0.789,1.788,0.441,0.698,1.698,0.411,49.665,49.685,7.424,3.09,7.544,0.492,1.243,4.121,0.302,1.848,3.424,0.54,0.211,0.273,0.773,0.424,0.576,0.736,1.212,2.578,0.47,-0.1,1.1,0.9,0.572,0.565,0.202,3.9,7.7,5.8,8.2,0.8,0.0,7.3,19.1
1,77.0,215,81.0,32.0,6,14,11,13,10,10,14,9,11,14,11,13,18,14,11,20.276,7.075,15.574,0.539,2.649,7.801,0.34,4.425,7.775,0.569,3.475,4.625,0.751,0.852,3.122,3.974,3.6,2.276,0.276,2.226,1.701,11.15,11.886,5.351,3.4,3.151,2.026,2.526,0.802,0.649,1.325,0.49,1.75,3.926,0.446,65.057,64.589,8.175,3.349,9.576,0.427,1.475,5.147,0.287,1.875,4.426,0.424,0.574,0.726,0.791,0.425,0.875,0.486,0.876,2.825,0.31,2.2,2.5,4.8,0.576,0.501,0.297,2.9,10.1,6.6,18.7,3.5,0.8,11.2,27.5
2,77.5,215,79.0,30.5,12,10,17,12,12,8,11,16,18,16,15,9,9,10,12,12.66,4.61,10.049,0.544,1.707,4.463,0.382,2.904,5.586,0.52,1.734,2.731,0.635,0.951,2.192,3.143,8.049,1.146,0.097,4.121,2.61,3.684,11.48,3.855,3.195,2.562,1.243,1.829,0.68,0.684,0.975,0.702,0.977,2.78,0.351,59.384,59.336,10.389,4.367,9.462,0.549,1.659,4.707,0.352,2.708,4.757,0.569,1.001,1.244,0.805,0.292,0.632,0.462,1.415,2.878,0.492,3.1,0.1,3.2,0.563,0.444,0.272,3.8,8.5,6.2,40.8,1.9,0.3,26.8,23.5
3,73.5,195,77.25,31.5,3,7,13,15,4,7,14,12,12,15,8,6,17,9,10,12.398,4.674,10.075,0.533,1.4,3.549,0.394,3.274,6.527,0.502,1.651,2.651,0.623,0.701,1.575,2.276,4.674,1.35,0.074,3.874,2.373,3.073,11.553,3.999,3.574,2.45,1.727,2.426,0.712,0.276,0.549,0.503,1.276,3.55,0.359,56.67,56.228,8.601,3.775,9.226,0.466,1.052,3.877,0.271,2.726,5.35,0.51,0.9,1.025,0.878,0.475,0.825,0.576,1.349,3.501,0.385,0.3,0.8,1.0,0.551,0.352,0.263,2.7,5.6,4.2,28.5,2.4,0.2,25.6,23.8
4,76.0,215,82.0,28.5,12,11,7,10,9,6,13,8,11,10,12,11,8,9,10,10.39,4.109,9.834,0.45,0.639,2.639,0.242,3.473,7.194,0.483,1.528,2.167,0.705,1.556,3.972,5.528,1.277,1.361,0.111,1.944,2.166,-7.583,9.227,4.444,0.806,1.999,0.139,0.166,0.837,2.083,4.168,0.5,1.249,2.861,0.437,57.558,58.0,6.888,3.027,7.778,0.443,0.833,3.444,0.242,2.193,4.334,0.506,0.361,0.445,0.811,0.724,1.277,0.567,1.11,2.612,0.425,-1.0,1.7,0.7,0.482,0.268,0.22,5.8,15.3,10.4,7.6,2.3,0.4,15.3,19.7
5,75.0,195,81.0,29.0,12,18,11,8,7,11,11,15,10,19,18,18,6,15,12,15.154,5.252,12.078,0.51,1.822,5.566,0.327,3.437,6.513,0.528,2.821,3.001,0.94,0.845,3.258,4.103,1.897,1.387,0.052,1.077,1.897,3.924,12.313,4.102,0.975,2.36,0.719,1.231,0.584,1.334,2.129,0.627,1.385,3.153,0.439,61.607,61.333,8.024,3.309,8.975,0.447,1.411,4.563,0.309,1.899,4.412,0.43,0.333,0.384,0.867,0.668,0.925,0.722,0.899,3.103,0.29,2.1,0.7,2.8,0.566,0.461,0.248,3.1,11.7,7.4,9.6,2.3,0.2,7.4,21.2
6,76.5,190,84.0,32.0,13,8,11,8,6,9,13,12,14,13,12,7,15,13,11,11.612,4.072,8.659,0.527,0.975,3.194,0.305,3.099,5.463,0.567,2.488,3.976,0.626,0.755,1.488,2.243,3.757,1.537,0.099,3.585,1.928,5.413,10.151,3.803,3.585,2.854,1.512,1.977,0.765,0.39,0.586,0.666,1.194,2.904,0.411,47.363,48.515,6.437,2.583,6.683,0.482,1.27,3.706,0.343,1.317,2.975,0.443,0.438,0.658,0.666,0.244,0.368,0.663,0.634,1.949,0.325,0.4,1.2,1.7,0.558,0.369,0.459,4.1,6.2,5.3,28.2,3.2,0.4,25.6,26.9
7,71.5,190,76.0,26.5,10,6,14,13,7,5,12,14,11,8,8,5,18,17,10,12.347,4.419,10.978,0.476,1.606,5.396,0.298,2.814,5.582,0.504,1.907,2.953,0.646,1.139,1.698,2.837,3.93,1.51,0.069,2.605,2.164,1.208,12.897,3.071,1.349,2.28,0.767,1.116,0.687,0.766,1.651,0.464,1.28,2.814,0.455,57.069,57.221,8.419,3.535,8.605,0.489,1.349,4.395,0.307,2.186,4.21,0.519,0.419,0.626,0.669,0.603,0.905,0.666,1.162,2.675,0.434,0.5,0.8,1.4,0.503,0.492,0.269,4.0,6.6,5.3,22.9,2.6,0.2,17.5,23.1
8,76.0,205,79.0,31.5,8,9,15,9,8,11,15,19,19,15,13,7,6,14,13,9.975,3.563,8.642,0.501,1.538,4.103,0.375,2.027,4.539,0.447,1.31,1.822,0.719,0.539,2.05,2.589,7.18,1.435,0.129,3.719,2.949,-9.564,14.569,2.205,1.898,1.972,0.82,1.435,0.571,0.282,0.769,0.367,0.922,2.332,0.395,58.011,57.979,9.72,4.076,9.333,0.521,1.564,4.103,0.381,2.511,5.231,0.48,1.181,1.461,0.808,0.384,0.794,0.484,0.948,2.974,0.319,1.7,0.4,2.1,0.528,0.475,0.211,2.1,7.9,5.0,41.7,2.5,0.4,28.3,20.7
9,75.5,210,79.0,29.0,6,5,18,11,10,12,14,12,18,5,15,5,10,12,12,8.777,3.157,7.444,0.52,1.423,3.557,0.4,1.735,3.89,0.446,1.044,1.71,0.611,1.711,2.978,4.689,1.691,1.689,0.155,1.69,1.821,9.845,12.635,2.488,0.935,1.465,0.267,0.4,0.667,0.979,2.022,0.484,0.488,1.466,0.333,52.944,52.878,6.134,2.488,6.713,0.457,1.155,3.355,0.344,1.334,3.355,0.398,0.134,0.223,0.601,0.489,0.957,0.511,0.711,2.177,0.327,0.0,1.0,1.1,0.535,0.478,0.23,6.9,12.9,9.8,9.1,3.2,0.6,17.1,16.5
