,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,75.0,185,81.25,26.5,12,13,18,14,6,8,9,16,10,8,15,13,6,9,11,11.031,3.818,8.848,0.55,2.09,5.001,0.418,1.728,3.848,0.449,1.304,1.788,0.729,0.91,1.847,2.757,1.212,0.396,0.0,0.757,0.85,1.242,16.003,2.061,1.212,1.575,0.242,0.363,0.667,0.789,1.788,0.441,0.698,1.698,0.411,49.665,49.685,7.424,3.09,7.544,0.492,1.243,4.121,0.302,1.848,3.424,0.54,0.211,0.273,0.773,0.424,0.576,0.736,1.212,2.578,0.47,1.8,-0.8,1.0,4.8,-0.4,4.4,0.572,0.565,0.202,3.9,7.7,5.8,8.2,0.8,0.0,7.3,19.1
1,76.0,215,82.0,28.5,12,11,7,10,9,6,13,8,11,10,12,11,8,9,10,10.39,4.109,9.834,0.45,0.639,2.639,0.242,3.473,7.194,0.483,1.528,2.167,0.705,1.556,3.972,5.528,1.277,1.361,0.111,1.944,2.166,-7.583,9.227,4.444,0.806,1.999,0.139,0.166,0.837,2.083,4.168,0.5,1.249,2.861,0.437,57.558,58.0,6.888,3.027,7.778,0.443,0.833,3.444,0.242,2.193,4.334,0.506,0.361,0.445,0.811,0.724,1.277,0.567,1.11,2.612,0.425,-1.0,1.7,0.7,-2.8,4.4,1.6,0.482,0.268,0.22,5.8,15.3,10.4,7.6,2.3,0.4,15.3,19.7
2,75.0,195,81.0,29.0,12,18,11,8,7,11,11,15,10,19,18,18,6,15,12,15.154,5.252,12.078,0.51,1.822,5.566,0.327,3.437,6.513,0.528,2.821,3.001,0.94,0.845,3.258,4.103,1.897,1.387,0.052,1.077,1.897,3.924,12.313,4.102,0.975,2.36,0.719,1.231,0.584,1.334,2.129,0.627,1.385,3.153,0.439,61.607,61.333,8.024,3.309,8.975,0.447,1.411,4.563,0.309,1.899,4.412,0.43,0.333,0.384,0.867,0.668,0.925,0.722,0.899,3.103,0.29,2.1,0.7,2.8,5.6,5.6,11.2,0.566,0.461,0.248,3.1,11.7,7.4,9.6,2.3,0.2,7.4,21.2
3,75.5,210,79.0,29.0,6,5,18,11,10,12,14,12,18,5,15,5,10,12,12,8.777,3.157,7.444,0.52,1.423,3.557,0.4,1.735,3.89,0.446,1.044,1.71,0.611,1.711,2.978,4.689,1.691,1.689,0.155,1.69,1.821,9.845,12.635,2.488,0.935,1.465,0.267,0.4,0.667,0.979,2.022,0.484,0.488,1.466,0.333,52.944,52.878,6.134,2.488,6.713,0.457,1.155,3.355,0.344,1.334,3.355,0.398,0.134,0.223,0.601,0.489,0.957,0.511,0.711,2.177,0.327,0.0,1.0,1.1,2.0,6.6,8.5,0.535,0.478,0.23,6.9,12.9,9.8,9.1,3.2,0.6,17.1,16.5
4,77.5,215,81.25,35.5,9,7,17,10,16,10,16,10,15,13,11,7,13,14,13,6.001,2.439,4.732,0.526,0.097,0.318,0.305,2.342,4.416,0.53,1.025,1.732,0.592,1.144,4.419,5.563,2.488,1.195,0.463,1.389,1.317,0.585,7.563,2.779,1.073,1.634,0.366,0.44,0.832,1.023,1.732,0.591,0.952,2.244,0.424,53.887,54.055,6.683,2.783,7.802,0.429,1.121,3.586,0.313,1.659,4.22,0.393,0.219,0.317,0.691,0.512,1.097,0.467,0.926,2.804,0.33,0.4,2.4,2.8,7.7,6.4,14.1,0.546,0.067,0.366,4.8,17.6,11.3,13.7,2.2,1.6,20.2,11.5
5,72.5,195,75.0,31.0,13,12,13,10,7,10,12,11,5,9,14,14,19,15,12,14.427,5.126,10.55,0.564,1.651,4.075,0.405,3.473,6.476,0.536,2.526,3.149,0.802,0.849,2.973,3.822,0.851,1.973,0.098,1.675,2.075,9.1,13.025,4.051,2.124,2.448,0.775,1.175,0.66,1.25,2.749,0.455,1.451,2.551,0.569,60.253,59.932,8.627,3.676,8.15,0.529,1.275,3.5,0.364,2.398,4.65,0.516,0.35,0.374,0.936,1.126,1.901,0.592,0.926,2.374,0.39,0.6,-0.3,0.3,-0.1,3.7,3.6,0.604,0.386,0.298,3.2,11.7,7.3,4.7,3.3,0.3,12.3,20.4
6,71.0,160,75.0,30.5,9,15,16,12,10,8,17,18,8,7,14,14,19,11,12,17.656,6.026,13.763,0.55,3.08,7.893,0.39,2.947,5.87,0.502,2.525,3.052,0.827,0.842,3.104,3.946,1.106,1.185,0.106,1.238,2.238,6.027,15.465,2.421,1.527,2.133,0.315,0.579,0.544,0.895,1.895,0.472,1.736,3.396,0.511,64.488,64.27,9.395,3.972,8.631,0.544,1.447,4.288,0.337,2.525,4.342,0.582,0.342,0.394,0.868,1.052,1.394,0.755,1.132,2.552,0.444,1.7,-0.6,1.1,2.1,0.5,2.6,0.584,0.573,0.222,2.8,10.8,6.7,5.6,1.8,0.3,7.6,22.6
7,75.5,165,77.25,30.5,10,19,9,16,13,6,15,14,8,13,11,19,17,18,12,18.561,6.733,14.073,0.567,2.491,6.658,0.374,4.245,7.415,0.572,2.61,2.757,0.947,1.269,5.146,6.415,0.755,1.464,0.194,1.294,2.121,-3.952,13.428,4.439,1.148,1.951,0.51,0.684,0.746,1.707,3.22,0.53,2.022,3.51,0.576,57.204,56.903,7.732,3.295,7.634,0.507,1.147,3.537,0.324,2.148,4.099,0.524,0.269,0.341,0.789,0.902,1.488,0.606,0.976,2.268,0.43,2.3,2.0,4.2,1.3,5.0,6.3,0.607,0.473,0.196,4.6,20.7,12.2,5.1,2.6,0.6,7.8,25.9
8,75.5,215,79.0,27.5,11,9,11,7,12,9,11,10,13,12,9,8,8,10,10,10.195,3.879,9.194,0.502,1.464,3.95,0.371,2.413,5.244,0.46,0.975,1.635,0.596,1.024,3.78,4.804,1.392,0.805,0.146,1.316,1.682,3.026,11.933,3.902,1.172,1.683,0.195,0.316,0.617,1.756,3.292,0.533,0.464,1.634,0.284,60.904,60.655,9.562,4.049,9.416,0.508,1.463,4.244,0.345,2.583,5.172,0.499,0.364,0.535,0.68,0.878,1.709,0.514,1.341,2.926,0.458,-0.1,0.2,0.1,2.4,-0.4,2.0,0.514,0.43,0.178,3.8,13.7,8.8,6.9,1.3,0.4,11.7,16.4
9,82.0,200,88.0,29.5,14,15,12,8,9,10,14,19,10,10,11,15,14,12,12,15.605,5.791,11.262,0.598,1.895,4.709,0.402,3.896,6.554,0.594,2.131,2.921,0.73,1.054,4.866,5.92,1.0,1.368,0.341,0.788,1.71,10.104,10.65,5.42,0.816,2.077,0.183,0.236,0.775,2.526,4.106,0.615,1.184,2.211,0.536,56.956,56.884,8.053,3.368,7.895,0.51,1.315,3.344,0.393,2.053,4.552,0.451,0.185,0.316,0.585,1.182,2.368,0.499,0.684,1.869,0.366,2.7,1.6,4.3,7.2,5.7,12.9,0.622,0.418,0.259,4.2,17.7,11.2,5.7,2.4,1.1,5.9,21.2
