,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,69.0,175,70.0,29.0,7,15,9,14,6,3,11,9,11,11,15,4,6,15,10,12.072,4.7574931880108995,11.111716621253406,0.507,1.755858310626703,4.917711171662125,0.357,3.001634877384196,6.19182561307902,0.485,1.8877384196185287,2.4741144414168934,0.763,0.9046321525885558,2.7076755579749596,3.6123077105635155,1.356948228882834,0.9036472509526402,0.07947740881872618,2.1275204359673023,2.0435492651061518,-5.513,14.038,3.2948228882833788,1.0114441416893734,2.0185286103542235,0.4534059945504087,0.7193460490463216,0.63,1.1978201634877386,2.5536784741144416,0.469,1.356948228882834,2.9242506811989104,0.464,51.38,51.436,9.79858464888405,4.1437125748503,9.267283614589005,0.529,1.513336962438759,4.35383777898748,0.348,2.6271094175285787,4.911268372346217,0.535,0.5040827436037018,0.6902558519324986,0.73,0.8230811105062602,1.4077299945563417,0.585,1.3010342950462712,2.8143712574850297,0.462,-0.4,-0.9,-1.3,-6.1,-4.8,-11.0,0.539,0.443,0.223,3.4,10.4,6.9,8.4,1.6,0.3,14.8,23.1
1,75.0,210,76.0,29.0,7,8,7,7,6,13,15,18,11,9,14,10,5,12,10,2.975,1.876078240796987,5.102660673065242,0.427,0.6106183938768073,2.527517920058316,0.242,1.263758960029158,2.5751427530069253,0.491,0.6990645122099381,1.132790669420484,0.617,0.6106183938768073,2.1706608569353665,2.7812792508121738,1.4831733689709636,0.7811667877027355,0.0,1.177013728587049,1.6538368433793271,-2.693,10.852,1.7451099501883127,0.9593002065362655,1.3096829060867454,0.13096829060867454,0.13096829060867454,1.0,0.7432875713765036,1.4831733689709636,0.501,0.3912039849350019,0.9575993196452437,0.409,32.924,33.048,9.03679496489954,3.8668603243766646,8.084483175986446,0.559,1.301379811183733,3.5635439360929566,0.365,2.560396998305495,4.51924473493101,0.567,0.21689663519728883,0.21689663519728883,1.0,0.7845557976276931,1.0438150568869524,0.752,1.5674170902929074,3.2568385378842897,0.481,-1.5,-1.5,-3.0,3.0,-2.5,0.5,0.452,0.495,0.222,2.5,8.4,5.6,7.5,1.4,0.0,17.4,11.1
2,72.0,185,76.0,30.0,8,14,10,6,9,3,10,17,8,16,10,7,7,11,11,14.171,5.185328988421271,12.310060320321709,0.513,2.2490466615821956,6.7238438605005895,0.334,2.9343409831519103,5.586216459821119,0.525,1.1376274006794702,1.444359703251751,0.788,0.971642515426749,3.031646118365153,4.003288633791902,0.8046869583304445,1.2313027796563147,0.021363297438831953,1.9879359356583237,2.3208309490367447,-10.513,14.207,3.2197185051653614,0.8998127990015948,1.3269084101781876,0.3562365665950219,0.4261249393330098,0.836,1.2541080219094505,2.2480759897386124,0.558,1.3269084101781876,2.911044858905915,0.456,57.692,57.669,9.758171634673742,4.1444797031334,9.28429485512147,0.525,1.4682411694324509,4.1221453467200755,0.356,2.6752674747264567,5.166033744299365,0.518,0.40396053338882243,0.4486292462154711,0.9,0.8283133052419845,1.2798557283809329,0.647,1.443964695070142,3.4356066517539756,0.42,-0.7,-0.6,-1.2,-6.1,-2.6,-8.7,0.531,0.546,0.117,3.7,11.4,7.6,5.4,2.2,0.1,13.3,23.9
3,76.0,195,77.0,28.0,7,9,15,6,10,10,10,15,7,9,12,14,10,14,11,12.902,3.860327938996624,10.080838643622306,0.466,1.6678738978285126,5.19702318189459,0.321,2.190742523571571,4.885526979324257,0.448,1.6490472042665691,2.2951450969605283,0.718,1.3974541175751467,3.2304385210662088,4.627892638641356,0.543406836901542,1.5528804815133277,0.23043852106620813,1.2100429407539848,1.971625107480654,-5.368,13.801,2.8394076926603407,1.0003820351777992,2.025581075505433,0.24902581029661214,0.45954247467106785,0.542,1.168966518437018,2.4192301227096995,0.483,0.7718944360396708,2.004187105548679,0.385,65.439,65.128,7.298366294067068,3.104901117798797,7.403267411865864,0.493,1.0902837489251935,2.893379191745486,0.377,2.013757523645744,4.5090283748925195,0.447,0.22871883061049017,0.4196044711951849,0.545,0.7970765262252796,1.3860705073086848,0.575,0.9845227858985384,2.705932932072227,0.364,-0.2,0.6,0.4,2.1,5.3,7.4,0.498,0.516,0.228,4.9,12.5,8.5,3.4,2.8,0.7,9.8,19.6
4,77.5,220,80.0,27.0,10,5,13,15,12,10,10,13,11,5,13,10,17,12,11,6.999,3.1603664502357023,6.925909454771859,0.535,1.0933024993329183,2.9150582584719387,0.375,2.0645735124077205,4.009605977052389,0.515,1.3062349906608555,2.0969492128435476,0.623,0.9999110557680335,4.024534482379582,5.024445538147615,1.0920572800853865,1.8319080176753797,0.02708466155165212,1.1530730232144446,1.6521643546507796,3.073,11.327,3.4019389842568715,0.6699279551721072,1.9711820688428356,0.33247353909099003,0.45575024459663793,0.73,1.3373654718491508,2.338521746864716,0.572,0.3648492395268167,1.2153339855910346,0.3,44.972,45.487,6.63451095917515,2.8254226482291642,7.900103326225076,0.42,0.9910523885945436,3.93343152988766,0.252,1.8319080176753797,3.9629784333985536,0.462,0.11941873502319346,0.17974366302460043,0.664,0.6623430870358564,0.9011805570822433,0.735,1.052608437575571,2.8808230923120894,0.365,0.1,2.1,2.2,4.8,10.2,15.0,0.555,0.421,0.303,4.0,14.9,9.6,5.9,3.3,0.1,12.8,14.9
5,77.5,240,81.0,31.0,7,12,12,14,12,9,16,10,5,10,16,13,10,15,11,10.667,3.952953303024168,8.540852951462387,0.562,1.6935338401222186,3.9271843766680785,0.431,2.2583887058477057,4.614699331848553,0.489,1.3997680796627954,1.8141324154687186,0.772,1.128678974396731,4.660592763378082,5.789271737774813,0.515378527121795,1.9096351939310552,0.19679446655014693,0.6122696902206923,1.6597374586292815,8.237,13.681,2.4542325461539876,1.9120543356218593,1.5203666550092956,0.2710891052660642,0.44219477627050013,0.613,0.9318043770362054,2.304772773288668,0.404,1.0297262971893464,1.8646395111266543,0.552,54.329,53.782,6.7691049049868,2.9769067717823807,7.585437506972594,0.446,0.8194563236770669,3.445465025473207,0.238,2.1564092075415573,4.1410137220631436,0.521,0.1988769476776617,0.2467740136105017,0.806,0.7923840690193747,1.5379123126696668,0.515,1.1651481908445205,2.356327395782976,0.494,1.3,2.4,3.7,8.8,11.8,20.6,0.589,0.46,0.212,4.2,18.2,11.1,2.8,3.4,0.6,6.2,16.1
6,76.0,220,77.25,32.5,13,19,13,18,7,4,9,10,15,16,11,11,9,15,12,15.869,4.882266526757609,10.11710388247639,0.576,1.8996852046169992,4.9695697796432325,0.382,2.9834207764952785,5.147534102833159,0.58,1.6562434417628544,1.8333683105981118,0.903,1.0384050367261284,2.685820985423443,3.7242260221495713,0.8831059811122771,0.842428623057463,0.044693410432478015,0.9066107030430224,2.0204794603059875,8.526,13.141,3.579433368310599,1.8988457502623297,1.7443861490031483,0.26526757607555096,0.3307450157397692,0.802,1.525288562434418,2.7609653725078704,0.552,1.193704092339979,2.054144805876181,0.581,66.71,66.408,11.31839537405132,4.616070352969522,9.71955186122154,0.582,2.0862546681122756,5.105168052041924,0.409,2.528972412962294,4.616070352969522,0.548,0.3322491266112517,0.37778580893868213,0.879,1.0878207444886159,1.575231899771112,0.691,1.110589085652331,2.6630526442597278,0.417,1.8,-1.8,0.0,2.7,-4.5,-1.8,0.61,0.491,0.181,4.1,10.4,7.3,4.9,1.5,0.2,7.7,19.0
7,74.5,190,80.25,34.5,12,14,17,11,8,13,12,13,5,6,15,12,9,13,11,13.001,4.081129089558505,10.093853954720151,0.506,2.05186835900914,6.232471013790654,0.329,2.0283564254109745,3.859574330652715,0.526,1.5391273455414527,1.9804282530762523,0.777,0.7315828569583052,2.8783770603725745,3.609959917330879,0.46390853599457427,1.254397087031438,0.14746903345362336,1.1502761360333302,1.9689846874085635,-0.568,14.532,2.296030746374705,1.0752188095468787,1.7841940380454093,0.17181797629428672,0.1962342150308433,0.876,0.9784581597390435,1.9306914704647482,0.507,0.8798888996544262,1.7344572554339048,0.507,61.926,61.518,9.88861796547352,4.058129328001561,8.020676875060959,0.616,1.7714490067947593,3.9607269417081183,0.447,2.28850092655808,4.0590396306772,0.564,0.3932507558763289,0.44240710036087005,0.889,0.7127669950258462,1.2562176923827173,0.567,1.180662570304626,2.3631457459605323,0.5,-0.1,-1.5,-1.6,1.0,-2.2,-1.2,0.536,0.617,0.196,2.8,12.0,7.2,2.7,2.2,0.5,9.5,19.6
8,75.5,180,83.25,34.0,9,18,11,7,12,10,9,11,18,14,15,11,8,10,11,15.977,5.033689081274722,11.798492424807822,0.501,1.7469960444809314,5.8896335547428915,0.297,3.287528920068662,5.908022986790058,0.556,1.538861109037988,1.9375774311515785,0.794,0.9487275169788791,3.781966622643775,4.730694139622654,1.5012463616687812,0.5925081042141913,0.1722895905871053,0.9119486528845436,1.4867331012126306,12.251,12.356,3.420434360773192,0.57090827673707,1.4627957310247033,0.24658556608702142,0.4179416374356295,0.59,1.4627957310247033,2.6221658332711395,0.558,1.577311739682066,2.8687513993581613,0.55,66.995,66.632,7.94465121863369,3.3247688798175052,8.36571016928803,0.475,1.2993156441349503,3.8584463921239047,0.337,2.0246127986553004,4.507263777164125,0.449,0.21010925681354306,0.3050786408932645,0.689,0.6689878736943211,1.2598151038540042,0.531,1.1463561051746909,2.9423700324168567,0.39,1.6,0.9,2.5,5.1,1.8,6.9,0.528,0.499,0.164,3.6,13.7,8.8,8.3,1.1,0.6,6.7,21.4
9,78.0,195,84.0,27.0,10,13,5,10,14,15,13,10,14,15,13,9,15,14,12,9.9,3.4882538391131908,8.187667378555206,0.477,0.8305366283602835,2.9168446388013156,0.285,2.658666395471033,5.267975185599513,0.505,1.587986033424862,2.0160683412997056,0.788,1.090613241126818,3.8059353793173307,4.896548620444149,1.827180582392624,2.1969681623282353,0.18812248894290828,1.1143428590799689,1.1599311252911984,8.248,9.835,3.372453303501814,1.6126648360961393,1.8755890030170517,0.47459235906301916,0.7574494050645786,0.627,1.2121088850469508,2.325502559408794,0.521,0.9719651513610633,2.1821756669717622,0.445,58.998,59.238,6.902866403322192,2.717850028697796,7.256423241838011,0.476,1.4662210067861847,4.1112799216719,0.357,1.253519700192444,3.143252641885277,0.399,0.1418008710624937,0.2117559674533239,0.67,0.5445153448799758,0.8980721833957933,0.606,0.5662581451095581,2.0324791518957426,0.279,0.7,1.4,2.1,9.3,10.7,20.0,0.518,0.356,0.246,4.5,15.9,10.2,9.3,3.9,0.7,10.9,16.6
