,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,77.0,215,81.0,32.0,6,14,11,13,10,10,14,9,11,14,11,13,18,14,11,20.276,7.075,15.574,0.539,2.649,7.801,0.34,4.425,7.775,0.569,3.475,4.625,0.751,0.852,3.122,3.974,3.6,2.276,0.276,2.226,1.701,11.15,11.886,5.351,3.4,3.151,2.026,2.526,0.802,0.649,1.325,0.49,1.75,3.926,0.446,65.057,64.589,8.175,3.349,9.576,0.427,1.475,5.147,0.287,1.875,4.426,0.424,0.574,0.726,0.791,0.425,0.875,0.486,0.876,2.825,0.31,2.9,2.3,5.2,6.8,10.0,16.8,0.576,0.501,0.297,2.9,10.1,6.6,18.7,3.5,0.8,11.2,27.5
1,71.5,190,76.0,26.5,10,6,14,13,7,5,12,14,11,8,8,5,18,17,10,12.347,4.419,10.978,0.476,1.606,5.396,0.298,2.814,5.582,0.504,1.907,2.953,0.646,1.139,1.698,2.837,3.93,1.51,0.069,2.605,2.164,1.208,12.897,3.071,1.349,2.28,0.767,1.116,0.687,0.766,1.651,0.464,1.28,2.814,0.455,57.069,57.221,8.419,3.535,8.605,0.489,1.349,4.395,0.307,2.186,4.21,0.519,0.419,0.626,0.669,0.603,0.905,0.666,1.162,2.675,0.434,1.4,0.6,2.0,1.7,3.4,5.0,0.503,0.492,0.269,4.0,6.6,5.3,22.9,2.6,0.2,17.5,23.1
2,77.5,220,85.25,28.5,13,15,12,11,4,6,14,7,12,7,11,15,13,10,11,8.308,2.858,6.668,0.504,1.002,3.169,0.316,1.857,3.501,0.53,1.596,2.0,0.798,0.334,1.215,1.549,2.05,0.858,0.072,1.525,1.405,-1.143,12.78,2.381,0.977,2.095,0.643,0.904,0.711,0.548,0.833,0.658,0.667,1.762,0.379,43.216,43.11,6.117,2.547,6.165,0.496,1.024,3.334,0.307,1.524,2.834,0.538,0.239,0.31,0.771,0.594,0.836,0.711,0.689,1.691,0.407,0.2,0.6,0.8,2.9,3.4,6.3,0.55,0.475,0.3,1.7,6.2,4.0,15.2,2.0,0.3,16.8,19.1
3,72.5,200,76.0,33.0,11,9,11,16,9,7,15,6,6,10,13,9,14,6,10,9.45,3.576,8.575,0.418,0.024,0.298,0.081,3.551,8.275,0.429,2.275,3.5,0.65,0.576,1.699,2.275,1.951,1.074,0.075,2.251,2.325,-4.425,8.471,3.701,1.501,2.748,0.977,1.276,0.766,0.875,2.174,0.402,1.699,4.824,0.352,57.227,57.54,8.55,3.475,8.027,0.533,1.602,4.4,0.364,1.875,3.623,0.518,0.351,0.4,0.877,0.5,0.748,0.668,1.027,2.476,0.415,-1.6,0.2,-1.4,-0.5,1.1,0.6,0.467,0.035,0.408,2.2,6.6,4.3,11.3,1.9,0.2,18.2,19.3
4,75.5,210,81.0,30.5,8,9,10,11,10,14,16,12,18,6,10,9,14,15,11,8.215,2.953,6.238,0.542,0.858,2.286,0.375,2.095,3.951,0.53,1.454,2.358,0.617,0.809,2.048,2.857,5.691,1.762,0.239,3.381,1.714,2.072,10.961,2.856,1.952,2.356,0.975,1.307,0.746,0.451,0.738,0.611,0.664,1.905,0.349,60.112,60.724,7.167,2.977,8.335,0.43,1.215,4.357,0.279,1.762,3.976,0.443,0.452,0.738,0.612,0.43,0.619,0.695,0.881,2.62,0.336,1.5,1.8,3.3,2.8,5.1,7.9,0.565,0.366,0.378,3.1,7.3,5.3,28.0,2.9,0.7,31.7,15.9
5,78.0,235,79.25,32.0,8,8,13,9,10,6,13,16,13,11,10,7,15,12,12,5.593,1.918,4.648,0.485,0.675,2.187,0.309,1.241,2.459,0.505,1.081,1.65,0.655,0.623,1.459,2.082,2.405,0.729,0.108,1.163,1.325,5.376,9.776,1.785,1.269,1.352,0.514,0.756,0.68,0.379,0.81,0.468,0.35,0.89,0.393,31.989,31.954,5.188,2.216,5.434,0.477,0.757,2.674,0.283,1.46,2.757,0.53,0.378,0.593,0.637,0.486,0.621,0.783,0.595,1.539,0.387,1.6,1.1,2.7,4.6,2.8,7.3,0.52,0.471,0.355,4.2,10.3,7.2,21.9,2.3,0.6,17.8,18.1
6,72.0,155,78.0,34.5,9,17,19,5,6,10,15,6,12,12,14,15,15,8,11,20.952,6.899,15.95,0.542,3.501,9.974,0.351,3.4,5.977,0.569,3.649,4.577,0.797,1.0,1.601,2.601,3.076,1.601,0.098,2.348,2.426,6.675,14.254,4.502,2.099,3.475,1.377,1.95,0.706,0.877,1.575,0.557,1.148,2.45,0.469,61.722,61.506,9.674,3.927,8.824,0.548,1.825,4.876,0.374,2.099,3.95,0.531,0.449,0.6,0.748,0.749,1.076,0.696,0.899,2.276,0.395,3.0,-0.2,2.8,3.0,2.8,5.8,0.583,0.625,0.287,3.4,5.9,4.6,17.0,2.6,0.3,11.6,29.4
7,78.0,210,79.0,28.0,15,16,9,7,8,12,12,13,15,11,12,15,14,15,12,14.827,5.171,11.073,0.554,1.929,5.049,0.382,3.245,6.024,0.539,2.563,3.757,0.682,1.123,2.56,3.683,3.707,1.463,0.171,2.098,2.001,8.855,12.988,3.854,1.707,2.853,0.902,1.293,0.698,1.022,1.902,0.537,1.317,2.829,0.466,62.497,62.494,8.853,3.537,9.294,0.476,1.781,5.293,0.336,1.754,4.0,0.439,0.292,0.391,0.747,0.635,1.244,0.51,0.83,2.367,0.351,2.0,1.3,3.3,5.0,4.8,9.8,0.583,0.456,0.339,4.0,8.9,6.5,18.5,2.3,0.5,14.2,21.4
8,76.0,195,77.25,32.0,13,14,18,17,12,10,15,10,14,12,15,13,17,6,13,21.956,7.371,15.76,0.573,3.304,8.608,0.384,4.065,7.152,0.568,3.913,4.871,0.803,1.086,2.567,3.653,2.849,2.219,0.087,1.888,2.174,16.217,14.238,4.738,1.632,3.455,1.305,1.955,0.668,1.067,1.848,0.577,1.695,3.348,0.506,62.603,62.426,9.413,3.913,10.197,0.462,1.586,5.458,0.291,2.326,4.738,0.491,0.434,0.565,0.768,0.326,0.524,0.622,1.564,3.652,0.428,3.3,1.3,4.6,6.1,8.9,15.0,0.613,0.546,0.309,3.7,9.2,6.4,15.7,3.6,0.3,9.5,28.4
9,77.5,215,81.25,41.5,7,19,15,16,11,7,14,7,7,18,8,18,11,12,11,20.382,6.787,15.071,0.57,3.595,10.001,0.359,3.191,5.071,0.629,3.214,3.953,0.813,0.834,3.023,3.857,1.808,1.74,0.286,1.454,1.358,15.333,13.098,4.952,4.498,2.977,1.929,2.119,0.91,0.548,1.072,0.511,0.715,1.881,0.38,60.801,60.61,9.76,4.023,9.358,0.521,1.714,4.666,0.367,2.307,4.69,0.492,0.429,0.521,0.823,0.5,0.832,0.601,1.381,3.332,0.414,2.1,1.0,3.1,6.3,5.6,12.0,0.606,0.664,0.262,3.1,11.0,7.2,8.9,2.9,0.9,8.0,27.1
