,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
0,68.5,160,70.0,30.5,5,13,11,13,8,7,15,14,9,8,8,4,13,10,11,16.5,5.180719674210563,11.866212697776888,0.536,2.3581013418786307,6.785499699579412,0.348,2.8244876159957277,5.078843714533682,0.556,2.7039188196808865,3.514253287936445,0.769,1.0570799118766274,1.3820234099751207,2.439103321851748,2.864677214767341,1.6251398420411094,0.059844044816243384,1.7692769877828962,2.2160997846015134,9.564,13.549,3.6151946057814275,2.9263635756726085,2.398290940650244,1.322518192135657,1.5842179050670944,0.835,0.4869483944188532,1.1383937512517528,0.428,1.015021029441218,2.3571667000467325,0.431,59.916,59.889,8.537127018317221,3.759889128220542,7.500141929235753,0.569,1.019218888276645,3.476564978543639,0.293,2.7444104927449113,4.024512013892368,0.682,0.7910634674147172,0.9135567466479653,0.866,0.9752709178647163,1.299737848352786,0.75,0.9752709178647163,1.807477166090601,0.54,2.1,-0.3,1.8,4.8,4.7,9.6,0.575,0.572,0.296,3.8,6.1,4.8,16.0,2.9,0.2,11.7,23.8
1,72.5,160,75.0,29.0,7,14,10,6,8,8,11,14,8,10,4,8,9,12,9,10.649,4.695602286016902,13.960767007215516,0.426,2.5034974293342747,8.927822767492664,0.28,2.1933405414947376,5.036651294159182,0.435,1.2678126172245638,1.7954500319954105,0.706,0.7426465720779365,1.8869444014248102,2.629590973502747,1.7299587369535956,1.5487068297971198,0.06318723865572248,2.531918180012798,2.5398792008672757,-9.424,15.73,2.4095853836139365,1.0182042851784021,1.7620865420684482,0.5276374147708467,0.620313775679075,0.851,0.680862331472451,1.5433703303250295,0.441,0.9873121648756594,2.8729671881550787,0.344,45.319,45.199,8.920551339631409,3.7168963915130866,8.579835837076043,0.52,1.4855195911413972,4.457797738888029,0.333,2.2301378349078522,4.1207991327241755,0.541,0.6826699705745704,0.8053275514945022,0.848,0.5587734241908009,1.0209075422022613,0.547,0.9911723710701567,2.2945640390274127,0.432,-1.3,0.3,-0.9,-4.3,2.3,-1.9,0.446,0.639,0.129,2.7,8.0,5.2,12.2,2.8,0.2,14.7,27.4
2,77.5,210,82.0,33.0,9,13,10,13,10,9,13,13,11,6,12,12,18,12,13,17.296,5.490306661966868,11.984490659146987,0.554,2.306661966866409,6.108800375984021,0.378,3.1845846551521566,5.874750323111268,0.542,2.9693338033133596,3.523910233815063,0.843,0.6636117964986489,2.288979646716752,2.952591443215401,2.5200328986018095,1.7967360795979763,0.10541353636195566,1.6242509693338036,1.7110875813038875,10.613,13.7,3.632945599812009,1.9870755492891552,2.755962871577958,1.259546469275056,1.6016919280930562,0.786,0.5555163905534015,1.0048172952649512,0.553,1.3676418752203032,3.2682410997532605,0.418,59.577,59.499,8.130018991915831,3.251819358308543,8.085782954335366,0.503,1.6273214675876906,4.513017025496228,0.361,1.6254390830097987,3.570883544261248,0.455,0.38494764617892735,0.4696549521840703,0.82,0.36424141582211467,0.7284828316442293,0.5,0.8781324055866485,2.3736869527218944,0.37,2.2,1.0,3.2,6.2,7.4,13.6,0.601,0.51,0.294,2.6,10.1,6.1,13.7,3.2,0.4,10.7,24.3
3,74.0,205,77.0,44.0,10,14,15,10,10,5,15,15,11,7,11,9,7,13,12,15.044,5.18524254660103,13.421538801924886,0.481,2.5471910319523574,8.3746519903387,0.304,2.6401165256190424,5.0468868115861865,0.523,2.615336393974593,3.2575548057599053,0.803,0.9406124970038905,2.5577969426657297,3.49840943966962,2.7072293821560924,1.797090720657364,0.0,2.15690395855228,1.934929858977681,6.956,14.981,2.9364455998672496,1.5817984033040176,2.4325829230967786,0.802256761989048,0.9178973763298117,0.874,0.6432509172704981,1.4661577889632538,0.439,1.1698287147150468,2.659734129837565,0.44,54.237,54.034,7.645408446533665,3.1340267239145723,7.922123107672948,0.483,1.3835733056964137,4.282340748417663,0.323,1.750453418218159,3.639782359255284,0.481,0.27567827664063377,0.36688011252174557,0.751,0.4124810304623016,0.7368693785394382,0.56,1.0602213421179258,2.5329237146981534,0.419,1.4,1.6,3.0,2.1,6.6,8.6,0.523,0.624,0.243,3.7,9.9,6.8,16.2,3.2,0.0,12.7,27.2
4,74.5,180,77.0,30.5,10,13,18,10,9,4,18,11,12,15,15,7,14,9,11,13.772,4.651247803163446,10.847662565905098,0.51,1.7675922671353255,5.188611599297014,0.341,2.886608084358524,5.658066783831283,0.51,2.483093145869948,3.1985940246045703,0.776,0.671212653778559,1.6595519491973894,2.330764602975948,3.6001405975395437,2.1544540483330397,0.043464455812312584,1.9910017574692447,2.1109895925207267,7.228,13.381,3.4456239015817225,1.7439718804920916,2.5716695957820743,1.3443936731107209,1.834516695957821,0.733,0.3808787346221442,1.0304393673110719,0.37,1.163304042179262,2.796063268892795,0.416,56.9,56.69,8.732404304110073,3.5680366907743877,8.442970541541719,0.517,1.592379608396543,4.625013229846535,0.344,1.974669253836656,3.8169694831539953,0.517,0.4504498147821487,0.5403422120303406,0.834,0.7853236902451932,1.0796965955194922,0.727,0.7418592344328807,2.19989416122773,0.337,2.2,0.3,2.4,6.4,7.7,14.1,0.553,0.478,0.295,2.6,6.4,4.5,20.8,3.9,0.1,14.0,23.2
5,76.5,200,77.0,34.0,10,16,18,15,13,11,15,7,8,14,10,10,12,15,12,18.954,6.65358002406739,12.970216606498196,0.638,3.231498194945849,6.822051744885681,0.474,3.422081829121541,6.151323706377858,0.556,3.4210288808664266,3.8537906137184126,0.888,0.7918170878459688,2.4822825414095187,3.2740996292554874,2.104843561973526,1.2647770545311299,0.21534825264026713,2.2522563176895307,1.7658556716501905,10.411,13.859,3.9243381468110714,2.633423586040915,3.0388086642599283,1.268802647412756,1.6520758122743682,0.768,0.6959987966305657,1.3404031287605294,0.519,1.4604392298435622,3.1577918170878467,0.462,53.184,53.309,7.639085332683037,3.127276820049148,7.902755632257219,0.483,1.384531692584742,4.392053874580278,0.315,1.7416946481832338,3.508600799114596,0.496,0.4044345232512334,0.45275657018514703,0.893,0.33405241141270714,0.6197827758915005,0.539,1.0032077135192932,2.437111932319121,0.412,2.6,1.5,4.1,0.8,3.4,4.2,0.68,0.526,0.297,3.5,9.8,6.8,12.6,2.3,0.7,13.3,27.2
6,76.0,215,76.0,30.0,4,13,17,8,7,13,11,13,14,15,10,9,15,14,12,16.781,5.429319198277291,13.302898790790127,0.515,2.849627298326984,8.281729335762797,0.344,2.578764286897466,5.022097068080173,0.513,1.8542984926287895,2.826436972005964,0.656,0.8135166473413948,1.8329633924134505,2.6464800397548456,3.4609243001490806,0.9508033791618353,0.24860029816133844,1.8329633924134505,1.9257246976975322,-1.22,15.055,2.942388603611066,2.1038264038429686,2.148351830379328,1.0611893324498924,1.5611727679310918,0.68,0.40629451714427706,0.9044227265197946,0.449,1.1075699850919332,2.556501573629286,0.433,60.37,60.37,8.663905913533213,3.5750207056485013,9.48020540003313,0.457,1.515719728341892,5.384793771740931,0.281,2.0593009773066098,4.095411628292199,0.503,0.3385787642868975,0.5658439622328972,0.598,0.316316051018718,0.5862514493953952,0.54,1.4034785489481532,2.941460990558224,0.477,2.5,0.8,3.4,4.7,2.9,7.7,0.535,0.623,0.212,3.0,7.0,5.0,20.7,1.7,0.7,11.2,26.4
7,70.5,170,72.0,28.0,6,11,17,12,8,6,16,11,8,8,12,6,15,15,11,17.301,5.226258107085957,12.617281169029726,0.535,3.0416659961053805,8.607689460385922,0.353,2.1854933453497916,4.011394177382236,0.545,2.096271142797367,3.312036306870303,0.633,0.7894813074335744,1.8037750434838629,2.593256350917437,2.004345237137294,1.6901372157443795,0.09018875217419314,1.9827156122760998,1.8046769310056046,2.099,15.737,2.6126784363583697,2.1845921109805753,2.7496660604792638,0.8561726507555885,1.1256417271512948,0.761,0.4506171846082045,0.9688269469076395,0.465,0.8787035099859988,1.914221800215653,0.459,62.137,62.092,7.442375829414419,3.0438703858790186,8.432648328287058,0.441,1.3528312826128972,4.666366037492754,0.29,1.6910391032661214,3.767184178316047,0.449,0.38420408426206276,0.47439283643625596,0.81,0.47349094891451404,0.6998647168717389,0.677,0.8342459576112866,2.5929266250080527,0.322,0.9,1.4,2.3,2.4,8.1,10.6,0.554,0.682,0.263,2.9,6.8,4.8,12.7,3.0,0.3,12.3,25.8
8,72.0,190,77.0,32.5,9,12,10,11,4,5,8,9,7,13,8,6,16,12,10,13.301,5.171020693627351,10.260254247747564,0.593,1.820051836919406,4.204550129592299,0.433,3.34981692516559,6.056856049697618,0.553,3.1620520837618797,4.15386514172872,0.761,0.6704241576500597,1.3739346297062474,2.044358787356307,2.5711112025342504,2.588001654944146,0.24327678940835745,1.9813222528489738,1.911460488208523,15.419,11.91,4.2863372690994375,3.187394577693669,2.866005677376888,1.7405685604969763,2.19903731435389,0.792,0.4031760398239191,0.991813057966841,0.407,1.206072324844695,2.866005677376888,0.421,48.614,48.34,8.784609019445593,3.6097641704592474,9.161108812577577,0.479,1.5639222176251553,4.39056681836988,0.356,2.0470004137360363,4.768225072403806,0.429,0.37649979313198184,0.5108812577575507,0.737,0.5386843194042201,0.9140256516342574,0.589,1.1318163011998346,3.3386843194042206,0.339,1.8,0.3,2.1,6.8,11.1,17.9,0.634,0.41,0.405,2.6,5.4,4.0,13.6,4.6,0.8,14.1,22.6
9,77.0,210,79.0,25.5,11,8,11,12,6,6,13,9,12,9,8,13,14,8,10,10.293,3.4815365551425033,7.61734820322181,0.554,1.4741016109045852,3.553903345724907,0.415,2.008426270136307,4.064436183395292,0.494,1.76456009913259,2.368277571251549,0.745,0.6770755885997523,1.58492423443378,2.2619998230335323,2.8044609665427513,0.9844249903315403,0.04922124951657702,2.4674101610904584,1.8497345568329642,-0.049,12.862,2.6597273853779426,1.4513011152416357,2.055018587360595,0.653283767038414,0.7970260223048328,0.82,0.6780669144981414,1.3769516728624536,0.492,0.6780669144981414,1.883519206939281,0.36,56.49,56.886,9.627676405442463,3.8412263122736703,9.051787786098513,0.532,1.9452237808951236,5.258798298351088,0.37,1.8960025313785467,3.7939739127377563,0.5,0.5512779945856626,0.6251098688605281,0.882,0.4065675210069261,0.7186302429420244,0.566,0.9371725907956263,2.4482649509545413,0.383,-0.2,-0.2,-0.5,-0.5,-1.5,-2.0,0.589,0.467,0.311,2.8,6.1,4.5,15.8,1.8,0.2,22.2,18.0
