name,Primary_Position,team_id,conference_id,SOS,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,player_id.1,season_id.1,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P,OPM+,DPM+,EPM+
D.J. McConnell,C,564,1,0.558,197076,2045,C PF sf ,RS SR,81.0,235,83.25,41.5,11,13,11,10,16,13,13,15,10,16,13,15,10,7,171,12,4,197076,2045,College,38,42,0.0,0.0,0.214,4.761,19.024,24.0,11.737,10.890912337082662,17.054990180324943,0.664,0.8502945902517408,1.8077129084092127,0.47,10.045081235493662,15.249509016247098,0.659,3.55963220853419,5.048205677557579,0.705,3.93010176754151,13.695902292238252,17.62600405977976,1.8054811640778436,1.896185503141871,2.635188954774759,2.33663631494376,4.951765642977255,6.761,4.878,18.699785752544187,0.6382788787716478,4.356364934833065,0.3704695590073201,0.5289234065345474,0.7,8.98053918943046,13.071326548830568,0.687,0.6873772540617747,1.6470273165506155,0.417,44.808,45.196,15.118594565890788,7.429861049650412,15.592087795380122,0.485,0.2610850517744933,0.5774847331622268,0.452,7.164350827506858,15.014603062217896,0.477,0.5796973183467563,1.108505177449332,0.523,6.37224533144526,13.169307018320206,0.484,0.2146207628993716,0.7367908664483583,0.291,2.5,1.3,3.8,1.5,1.3,2.8,3.8,4.8,8.6,0.679,0.106,0.296,9.7,31.0,20.8,5.8,1.9,5.0,10.8,19.6,3.3,2.2,5.5
Gordon Cain,C,564,1,0.558,207309,2045,C ,RS SO,82.0,240,84.0,30.0,5,13,11,9,10,13,4,10,8,8,5,8,5,7,123,11,2,207309,2045,College,7,44,0.0,0.0,0.0,1.477,15.273,16.773,4.272,4.724711907810499,10.332906530089629,0.489,0.649807938540333,1.7445582586427657,0.372,4.074903969270166,8.588348271446863,0.474,3.562740076824584,4.654289372599232,0.765,2.618437900128041,10.51731238318497,13.135750283313012,1.7445582586427657,2.0115943865429085,3.741248772452245,3.6331626120358513,4.751797763487186,2.956,11.1,4.366197183098592,0.1504481434058898,3.924455825864277,0.0,0.0,,2.183098591549296,4.727912932138285,0.462,1.8886043533930856,3.8572343149807935,0.49,31.24,31.567,15.33246745018532,7.4888332752558044,15.978711946019574,0.48,0.357968764849368,0.7222732600500522,0.496,7.124528780055122,15.2659422814965,0.467,0.6494123610099154,1.0105489910349417,0.643,5.689485855481991,13.244844299426616,0.43,0.7887984287388728,1.0042132606836254,0.785,-2.2,0.1,-2.1,0.4,1.0,1.4,-1.7,1.3,-0.4,0.552,0.169,0.45,6.4,23.8,15.5,4.7,2.0,7.0,22.7,14.5,-2.8,1.7,-1.1
Brad Irwin,C,689,1,0.592,199584,2045,C ,RS SR,84.5,255,86.0,41.5,18,12,18,13,11,11,8,8,12,12,7,10,11,5,159,11,3,199584,2045,College,43,43,0.0,0.0,0.0,0.0,24.441,24.441,15.954,12.916759561401731,22.294736415411744,0.58,0.0425626786112406,0.0932325341008127,0.457,12.870143294351324,22.197450292871764,0.58,6.459393177810657,8.769938588135147,0.737,3.390826729362168,12.852158831951924,16.242985561314093,1.2241837086280631,1.6455925948333232,2.8636537802246558,2.924664058858104,5.672857805473209,-2.373,2.989,25.450455015302296,0.283751190741604,6.410750116540667,0.3283406635724275,0.4681894647236466,0.701,12.349257179918522,21.11716897383409,0.585,0.141875595370802,0.6141186485336143,0.231,49.339,49.587,17.399721701252343,8.582894710307137,16.976223606993766,0.512,0.2319156230463629,0.6554137173049388,0.354,8.344929114485652,16.320809889688828,0.511,0.6130639078790812,0.9841289047532618,0.623,7.407183334341662,14.53405126343598,0.51,0.3266985298566156,0.796579748724464,0.41,2.4,0.2,2.7,2.0,1.5,3.5,0.7,0.6,1.3,0.618,0.004,0.393,7.6,29.3,18.4,4.9,1.6,5.4,10.1,26.5,0.2,0.2,0.4
Alfonso Gaytan,C,689,1,0.592,218871,2045,C pf ,FR,83.0,245,87.0,29.5,11,11,6,5,12,11,6,15,6,5,9,10,12,9,128,13,4,218871,2045,College,1,44,0.0,0.0,1.248,1.295,15.706,18.251,9.16,9.665709486915532,19.025302053421463,0.508,0.0,0.1273229668960286,0.0,9.665709486915532,18.90339708511676,0.511,5.47759657582489,7.449748063065503,0.735,2.5247873435552908,11.334591534106227,13.859378877661518,0.6122338408192014,2.3914801833378267,1.4127797249932597,2.649401311155659,4.044216770018873,-0.41,4.182,18.469957197811127,0.1273229668960286,6.100666413826732,0.0568889852088638,0.0568889852088638,1.0,9.115782629896517,17.852305358400606,0.511,0.4307308880099691,0.9860757436203066,0.437,36.914,37.09,15.257481801024534,7.5896468050687504,14.707468320301968,0.518,0.0566190347802642,0.6147209490428687,0.092,7.533027770288486,14.095443515772445,0.534,0.6713399838231329,1.1620382852520894,0.578,6.4950121326503085,12.377999460771097,0.525,0.3666756538150445,0.5500134807225667,0.667,0.3,0.2,0.4,1.5,1.5,3.0,2.7,3.7,6.5,0.556,0.007,0.392,5.7,25.9,15.8,2.2,2.4,2.7,10.6,22.8,-1.8,3.0,1.2
Don Reis,C,30,1,0.569,201673,2045,C ,RS JR,84.0,280,86.0,28.5,18,15,10,12,14,11,4,12,10,10,4,9,8,12,157,11,2,201673,2045,College,48,48,0.0,0.0,0.0,0.0,26.584,26.584,17.124,12.663675487592712,18.657632084973905,0.682,0.1153740499954216,0.4193755150627232,0.275,12.5501327717242,18.232762567530447,0.688,5.913377895797089,7.898544089369105,0.749,3.0162073070231665,12.258099884874731,15.2743071918979,1.448585294386961,1.520384481844928,3.426347239734664,2.2104202911821265,5.138607167004733,15.249,2.545,24.41717791411043,0.1520007325336508,5.84012453072063,0.040289350792052,0.040289350792052,1.0,12.13075725666148,17.35921618899368,0.699,0.3442908158593535,0.8387510301254465,0.41,54.605,54.723,18.125833744495004,8.946877912395154,18.27385194525154,0.496,0.2302505345101694,0.6048644993878259,0.381,8.71845476307951,17.66167790508561,0.494,0.8387698042870458,1.6775396085740917,0.5,7.461213749246204,15.18922573689308,0.491,0.4148164391572099,0.8003947152020175,0.518,3.5,0.0,3.5,1.9,1.1,3.0,4.8,2.0,6.8,0.708,0.022,0.423,7.5,28.0,18.1,4.7,1.5,6.3,9.1,22.1,4.7,0.7,5.4
Graham Shaw,C,766,1,0.563,205923,2045,C pf ,JR,85.0,250,89.25,29.5,9,10,11,9,10,10,10,8,6,6,7,10,7,12,126,10,2,205923,2045,College,29,41,0.0,0.0,0.0,5.487,18.828,24.317,10.488,7.987954074910595,14.184076792772442,0.573,0.2747976661020139,1.1029550159984942,0.249,7.709392057218143,13.08300395256917,0.589,3.491436100131752,5.780161867118389,0.604,2.8477319781667605,12.053781892926512,14.901513871093272,0.6888763410502541,1.4218635086462124,3.5904882234249182,2.01957462827028,5.474363084350072,-0.292,3.104,14.780726519856954,0.0,4.180312441182006,0.0941087897609636,0.1392810088462262,0.676,7.299077733860343,11.846414455110104,0.616,0.3218520609824958,1.1010728402032748,0.292,53.13,53.029,18.77086122687586,9.24211280620038,17.984499047690885,0.521,0.2734352901242716,0.8731071677761225,0.313,8.964905994833014,17.109506119293215,0.524,0.6411586113258783,1.1936864734390615,0.537,7.820249297554168,15.040826717456484,0.52,0.5016123253314224,0.8749929283976691,0.573,0.1,-0.5,-0.4,1.0,0.9,1.9,4.9,1.2,6.0,0.59,0.078,0.408,6.4,27.9,16.9,2.2,1.4,6.4,10.8,17.3,1.3,-0.6,0.7
Quincy Cherry,C,38,1,0.588,213824,2045,C ,RS FR,84.0,255,93.0,23.5,14,6,11,10,15,8,8,18,3,10,6,12,7,5,128,11,3,213824,2045,College,17,40,0.0,0.0,0.0,4.725,15.55,20.301,10.225,10.772508795401611,19.94202467667608,0.54,0.0,0.0569842921559883,0.0,10.772508795401611,19.88256280660027,0.542,3.778306327734007,5.445716267776621,0.694,2.8492146077994147,11.672844082036075,14.522058689835491,0.6788563500322085,0.990857425253274,1.784037558685446,3.5280709578316234,6.856931060044477,-2.951,3.186,20.930578266686485,0.2428026361429067,4.52157970368168,0.0,0.0594618700758138,0.0,10.465289133343244,19.255735592884395,0.543,0.3096972399781973,0.552499876121104,0.561,40.362,40.47,16.2416604892513,8.089943167778602,15.196441808747222,0.534,0.0593031875463306,0.3657029898690387,0.162,8.028169014084508,14.825796886582657,0.541,1.1119347664936992,1.418334568816407,0.784,6.612305411415864,12.540153199901164,0.527,0.3063998023227082,0.8623671855695576,0.355,-0.3,-0.2,-0.6,1.3,1.3,2.6,-5.0,-2.5,-7.5,0.567,0.003,0.273,6.4,26.1,16.3,2.3,1.0,3.1,13.6,23.8,-3.8,-3.1,-6.9
Damon Strong,C,347,1,0.565,201697,2045,C PF ,RS JR,82.0,280,85.0,27.5,15,14,9,7,11,12,5,8,12,10,12,7,9,12,152,11,2,201697,2045,College,41,41,0.0,0.0,0.0,0.048,27.341,27.393,13.536,10.24102160949514,17.820643107779034,0.588,0.4659367629858301,0.9817268421759056,0.475,9.777002281747937,16.83508139512588,0.581,4.998753667094894,5.986232814986674,0.835,3.133089179912949,11.253613062537086,14.386702242450037,1.6854255747512128,1.1695794490917095,2.7985681744223885,2.8953272103234715,6.770544208571812,3.122,3.374,19.36034360439476,0.1840737829079823,5.288286388127241,0.0421835752497459,0.0958717619312407,0.44,9.633194638851071,16.227254424481814,0.594,0.0939543266926159,0.5157900791900755,0.182,52.153,52.241,20.499224746846345,10.084033613445378,18.112210715721368,0.566,0.3273291093202657,0.7924810015122222,0.413,9.758618709442777,17.319729714209146,0.563,0.8862770620776785,1.494994353094313,0.593,8.357420416913918,14.988227637296378,0.558,0.5110928198158534,0.8403361344537815,0.608,1.5,-1.6,-0.1,1.4,0.7,2.1,-0.5,-3.8,-4.3,0.634,0.055,0.336,6.9,25.8,16.2,6.0,1.2,5.0,12.4,21.2,0.3,-3.8,-3.5
Deron Butts,C,723,1,0.553,209187,2045,C pf ,RS SO,83.5,265,90.0,30.5,10,12,10,7,9,10,11,13,13,10,10,15,5,11,144,11,3,209187,2045,College,10,35,0.0,0.0,0.0,4.828,15.542,20.344,7.572,8.459198087580138,15.28577637726828,0.561,0.2336194719113332,0.8556992285124416,0.273,8.225578615668805,14.438226665217863,0.57,3.4173639030750844,5.43572748016951,0.629,3.3413017494295336,10.78620539717912,14.127507146608652,1.7059654460502012,1.9403755740957145,2.171372666249966,2.950124959252418,5.511318857515559,-2.284,3.826,14.897316092578508,0.1548408127784418,4.267630120612844,0.0760621536455503,0.0760621536455503,1.0,7.372595892643703,13.041942844724549,0.565,0.774204063892209,1.320221666847767,0.586,36.812,36.797,16.229583933472842,7.921841454466397,15.995869228469711,0.507,0.385901024540044,0.6196157295431693,0.623,7.53322281707748,15.376253498926545,0.49,0.3098078647715847,0.8560480473951683,0.362,6.674457156833438,12.886920129358373,0.518,0.54352256977471,1.627850096475256,0.334,0.0,-0.2,-0.3,0.8,0.8,1.6,1.0,1.8,2.9,0.582,0.056,0.356,7.6,23.8,15.8,5.8,2.0,4.0,14.3,18.9,-0.7,0.2,-0.5
Blake Roy,C,409,1,0.568,203576,2045,C SF PF ,SR,81.5,235,86.0,30.5,18,13,7,6,10,11,13,16,10,15,9,16,10,14,165,12,4,203576,2045,College,47,47,0.0,0.0,0.0,0.638,28.767,29.405,14.787,9.936180148394126,17.738113768830317,0.562,0.076099552050364,0.1106902575278022,0.688,9.865269202165376,17.629153046576384,0.56,5.63136685172694,7.068610664314498,0.797,2.8692990193534995,12.077110768858049,14.946409788211549,1.0290734879537866,2.355200996763978,1.803173724194023,1.947456718379771,5.302230605499507,9.96,3.051,18.914197755063213,0.1470104982791124,6.330099102371192,0.1106902575278022,0.2594302910807866,0.427,9.310088379252496,16.67272004012522,0.558,0.4047112540860271,0.7004617859181238,0.578,57.819,57.787,17.08342706837178,8.46903282745254,16.418917749666882,0.52,0.148822399501618,0.6627788256874384,0.225,8.320210427950924,15.761330403031826,0.528,0.441275719452472,0.59009811895409,0.748,7.435928496028518,14.2090781663696,0.523,0.441275719452472,0.9569626386557532,0.461,1.8,0.0,1.8,1.5,1.1,2.6,6.0,4.8,10.8,0.613,0.006,0.398,6.7,27.6,17.3,3.4,2.4,3.3,8.5,20.9,1.9,1.7,3.6
