name,Primary_Position,team_id,conference_id,SOS,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,player_id.1,season_id.1,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P,OPM+,DPM+,EPM+
Dan Egan,PF,564,1,0.558,204199,2045,PF C ,RS JR,83.5,275,88.0,32.0,19,14,8,4,15,10,12,10,13,10,13,16,16,14,174,13,4,204199,2045,College,42,42,0.0,0.0,0.0,24.071,5.094,29.166,19.547,14.660668099522786,22.16130559906743,0.664,0.0874285089796364,0.1293213361990455,0.676,14.57323959054315,22.03380569013879,0.661,6.198317001202143,7.54617318130487,0.821,3.207533423190412,13.349005424954791,16.556538848145205,1.4298204072711378,2.2839059674502717,2.7142857142857144,2.2567483880368657,4.864376130198915,12.046,3.421,26.71487377509016,0.1766784452296819,5.509817492987504,0.3916068631379548,0.5628210265564095,0.696,12.964919310771922,18.9100579213872,0.686,1.2167134166332738,2.5591053149247758,0.475,54.902,55.3,16.2748643761302,7.963833634719711,15.62748643761302,0.521,0.3435804701627487,1.1211573236889694,0.306,7.618444846292947,14.50994575045208,0.525,0.6871609403254973,0.9041591320072332,0.76,6.200723327305606,12.227848101265822,0.507,0.7341772151898734,1.3815551537070525,0.531,4.2,1.3,5.5,1.9,1.1,3.0,5.2,4.3,9.5,0.699,0.006,0.341,8.0,30.4,19.7,5.3,2.3,5.1,8.1,25.3,5.9,2.3,8.2
Bill Diehl,PF,689,1,0.592,206604,2045,PF C ,JR,82.5,260,84.0,30.5,15,14,11,9,13,14,7,17,11,9,9,14,7,11,166,13,4,206604,2045,College,43,43,0.0,0.0,0.0,28.0,0.0,28.0,13.534,9.72031178358551,18.53595739427926,0.524,0.0,0.0828836454696152,0.0,9.72031178358551,18.45483723062815,0.527,4.429866328078157,5.535569428279194,0.8,3.116072373293831,10.814890218860242,13.930962592154073,1.3561175184283851,1.7550941608017272,2.6098250171121684,3.160159418756393,5.105568913772224,0.467,3.912,17.551934539554896,0.1640038091207279,4.059535146192643,0.0370331181885514,0.1640038091207279,0.226,8.730998483405635,16.652558812118645,0.524,0.9434627728988114,1.6382746093887772,0.576,56.706,56.977,14.69364831423206,7.14498832862383,14.89899433104586,0.493,0.4089369394668025,0.8599961387928463,0.476,6.736051389157029,14.038998192253011,0.48,0.7757516190743634,1.2671779840988469,0.612,5.630342067851941,11.79774294890921,0.477,0.3264475139091212,0.9740772592449586,0.335,0.4,0.7,1.2,1.4,1.5,2.9,0.0,2.0,2.0,0.569,0.004,0.299,7.0,24.7,15.9,4.8,1.8,5.0,13.1,22.1,-1.3,1.0,-0.3
Anthony Lindquist,PF,30,1,0.569,206904,2045,PF C ,RS SO,84.0,250,87.0,32.0,13,12,13,13,12,14,7,17,7,5,6,11,12,9,154,11,3,206904,2045,College,46,46,0.0,0.108,0.0,21.631,3.088,24.782,15.366,11.702190586982669,19.374174339964902,0.644,1.5478044837036893,3.2158842202811684,0.481,10.158329554192877,16.158290119683734,0.629,5.359149791982965,6.597393378945917,0.812,2.9989944200169565,11.912336514669494,14.91133093468645,1.0272689630695822,1.1959467420761165,2.474372569812654,2.1018593371059016,4.226071246219709,11.15,6.566,17.40047715756058,0.1695683892974742,5.1836662263146485,0.1281621547015793,0.1281621547015793,1.0,8.527712601297397,13.37421377447404,0.638,1.453161661770215,2.661829366878956,0.546,50.717,50.922,16.350496838301716,7.894426770354659,17.37755783354935,0.47,0.553788146577118,1.4924786929028713,0.371,7.342602411531361,15.88115156513884,0.462,0.5145123915007267,0.9818938769097836,0.524,6.272338085699698,13.75044185224461,0.456,0.5577157220847571,1.1507796237382664,0.485,3.1,1.1,4.2,1.8,1.2,3.0,3.4,2.9,6.2,0.68,0.166,0.341,7.4,27.1,17.7,3.2,1.2,4.6,8.6,22.1,5.0,1.8,6.8
Thomas Bailey,PF,38,1,0.588,202261,2045,PF C ,RS JR,80.5,230,84.0,34.0,16,15,16,10,15,15,9,13,14,8,13,10,10,14,185,13,3,202261,2045,College,36,41,0.0,0.0,0.0,25.877,1.582,27.439,16.659,11.994789660043663,22.331076742436757,0.557,0.8952978516520814,2.460234465298035,0.364,11.099491808391583,19.86717302364834,0.559,5.683673656594566,7.022951180582311,0.809,3.355532316950117,14.59327508993466,17.948807406884775,1.7483992881648227,1.2957932604067248,2.5970927244695687,2.2786064175243546,4.025034872623155,0.025,5.118,20.58451208101712,0.1761241675381143,5.014034894600695,0.2238244629130203,0.3559175885666061,0.629,10.022565908965822,17.31704184783606,0.579,0.8035665143926469,2.1960482139908635,0.366,54.507,54.484,15.622935173628957,7.609573452756773,16.028558842963072,0.487,0.4019528668967036,1.0737097129432494,0.374,7.209455987078775,14.949342926363702,0.482,0.5799867851112253,1.0296600836942955,0.563,6.1779605021657735,12.93774319066148,0.478,0.4460024961456574,0.9856104544453416,0.453,2.8,2.2,5.0,2.0,1.8,3.8,3.3,2.9,6.2,0.601,0.11,0.314,7.6,32.5,20.1,6.2,1.3,4.5,8.2,25.5,2.0,2.4,4.4
Bo Phelps,PF,347,1,0.565,200429,2045,PF c ,RS SR,81.0,235,85.0,30.5,8,11,6,7,16,13,10,16,13,14,12,13,7,14,159,11,3,200429,2045,College,30,37,0.0,0.0,0.0,26.216,0.296,26.513,6.729,5.1250642114829885,9.02319516339353,0.58,0.2153554352550677,0.5334492432923698,0.404,4.9116845141660415,8.491721658039278,0.578,2.8292567273876794,4.376259532935552,0.647,4.05618998696013,13.618118137814331,17.674308124774463,2.5072114434741373,1.6488922120341585,2.7114241863759787,3.313312522227052,4.838455786863957,-0.351,4.233,8.545066582368516,0.0,3.684751254593591,0.0533449243292369,0.1066898486584739,0.5,4.164855573556723,6.8874224522859295,0.605,0.6401390919508437,1.495633619156755,0.428,50.614,50.822,14.944315453937271,7.390500177088661,15.097792294675532,0.495,0.159379796151273,0.6355515328007556,0.251,7.233088032741726,14.460273110070442,0.5,0.7437723820392743,0.8539608830821298,0.871,6.434221400181024,13.187202392664592,0.488,0.0511589469127543,0.4269804415410649,0.12,-0.2,1.9,1.7,0.8,1.4,2.2,-0.3,1.4,1.1,0.607,0.059,0.485,9.0,31.4,20.0,7.5,1.7,4.9,23.2,13.0,1.0,1.8,2.8
Bruce Blanchard,PF,347,1,0.565,209725,2045,PF sf c ,RS SO,79.0,230,84.0,29.5,10,10,7,12,13,11,8,10,9,8,7,12,11,13,141,11,3,209725,2045,College,11,41,0.0,0.0,0.0,15.438,0.0,15.438,4.586,5.630837154015961,11.020546782136186,0.541,0.6588554932925794,0.8286636101205638,0.795,4.968585498386823,10.191883172015622,0.488,3.6440821871285447,4.887077602309391,0.746,2.570894888775684,11.2663132137031,13.837208102478783,0.9950755646119884,1.74347471451876,1.240483958673192,2.0716590253014093,4.397770527460577,0.292,6.673,9.11190354898964,0.1698081168279843,4.469349634912549,0.0781117337408728,0.1698081168279843,0.46,4.472745797249108,8.616063847851926,0.519,0.4143318050602819,1.41280353200883,0.293,29.445,29.424,17.740619902120716,8.703779227841219,15.83061446438282,0.56,0.3296628602501359,1.2438825448613375,0.265,8.370717781402936,14.586731919521478,0.574,0.5777596519847744,0.9142196846112018,0.632,7.205002718868951,12.26889613920609,0.587,0.5777596519847744,1.4104132680804784,0.41,0.0,-0.2,-0.2,0.9,0.8,1.7,4.2,1.0,5.2,0.591,0.075,0.443,5.7,25.9,15.6,3.0,1.7,2.2,13.6,13.8,2.1,0.2,2.3
Brett Griffin,PF,409,1,0.568,202976,2045,PF C ,RS JR,82.5,245,90.25,35.0,14,13,15,5,6,16,7,15,7,4,9,19,13,5,145,11,3,202976,2045,College,50,50,0.0,0.0,0.0,25.299,1.02,26.32,12.7,9.617984472169647,17.768164085132682,0.562,0.7377650739696396,2.3929081849434124,0.308,8.884082042566341,15.373324578006104,0.578,4.557920352273166,5.91177720267295,0.771,2.2055699331762524,9.380613013500202,11.586182946676455,0.5813279771331453,3.012920794947564,2.5841589895127184,2.0858279578199235,4.519381192421345,8.0,5.045,15.91409478929275,0.152574452470161,4.521225230793002,0.0772528873266638,0.0772528873266638,1.0,7.877863185136544,12.978485070879524,0.607,0.9251033257367992,2.3156552976167486,0.399,51.778,51.777,14.40601039071402,7.030148521544315,15.682639009598857,0.459,0.3437819881414527,1.1568843308805068,0.297,6.680572454951041,14.527686038202292,0.46,0.4654576356297197,0.8111709832551132,0.574,5.641501052590918,12.555768005098788,0.449,0.5832705641501053,1.158815690364447,0.503,1.1,0.5,1.7,1.3,1.1,2.4,6.4,8.9,15.3,0.602,0.135,0.333,5.2,21.5,13.4,1.9,3.0,4.7,9.3,20.6,1.7,4.5,6.2
Demetrius Garnett,PF,720,1,0.572,209811,2045,PF pg sf ,RS SO,77.0,220,81.0,31.5,16,9,15,10,13,11,13,12,14,8,12,6,19,11,172,13,5,209811,2045,College,41,41,1.904,0.145,0.097,32.365,0.391,34.901,10.684,6.12209667294413,13.81983678593848,0.479,0.9981167608286252,2.3367859384808543,0.427,5.130257376020088,11.483050847457628,0.447,3.5232266164469555,5.169491525423729,0.682,3.2140615191462647,10.405568239472348,13.619629758618611,2.565913370998117,1.430111618467783,1.5839041095890412,2.2567482736974265,4.796106037544393,2.096,6.218,9.720652856246078,0.3060263653483993,4.439736346516008,0.3044569993722536,0.3829252981795354,0.795,4.5166352793471445,9.951349654739486,0.454,0.268361581920904,1.1472065285624606,0.234,63.72,63.072,19.41273465246068,9.549403855910704,17.129629629629626,0.567,0.3107559614408929,1.0036149162861492,0.31,9.241818873668189,16.12760020294267,0.573,0.8894596651445967,1.6980593607305934,0.524,8.119292237442922,13.882546930492136,0.585,0.2314814814814814,0.5406519533231863,0.428,0.3,-0.9,-0.6,1.1,0.8,1.9,3.7,-1.5,2.3,0.521,0.169,0.374,6.9,22.5,14.6,7.8,1.4,2.7,12.3,16.8,0.6,-1.4,-0.8
Lucas Slater,PF,310,1,0.572,212512,2045,PF C ,RS FR,80.5,250,88.25,30.0,11,10,11,4,11,8,3,7,8,4,7,7,4,7,106,11,2,212512,2045,College,10,39,0.0,0.052,0.0,17.051,2.975,20.102,8.025,7.781042815163805,16.00407994754353,0.488,0.058284964907594,0.1238555504286373,0.471,7.722757850256211,15.877795856910412,0.486,3.8613789251281054,6.16363503897807,0.626,2.7442504310658857,10.855751673767497,13.600002104833385,0.998130024042548,0.6232501521606817,2.9969567863664026,3.489812273842194,6.181375532562386,-9.127,3.584,14.69509677732715,0.1262840906331204,5.04650654491585,0.0607135051120771,0.0607135051120771,1.0,7.285620613449256,14.818952327755785,0.492,0.3739951914903951,0.9957014838380648,0.376,41.177,41.075,21.3511868533171,10.42726719415703,19.856360316494214,0.538,0.4966524650030431,1.248934875228241,0.398,9.930614729153984,18.602556299452218,0.534,0.9397443700547778,1.4339622641509433,0.655,8.309190505173463,16.231284236153375,0.512,0.6816798539257456,0.9373097991479,0.727,-1.0,-0.9,-1.9,0.8,0.8,1.6,-3.9,-6.7,-10.7,0.521,0.008,0.385,6.1,24.3,15.2,3.4,0.6,5.3,15.7,20.6,-3.1,-3.6,-6.7
Ethan Willson,PF,829,1,0.561,215633,2045,PF C pg ,FR,82.5,225,89.0,30.0,17,17,11,7,12,10,8,18,6,10,7,15,17,11,167,14,5,215633,2045,College,41,41,0.0,0.0,1.928,24.877,0.219,26.977,14.829,10.237582583411546,19.43539630836048,0.545,0.7177165571688843,2.7365244115644383,0.262,9.518025727378127,16.695191299066966,0.57,6.104271333664587,7.092511823920206,0.861,3.275731978873369,10.78288734599164,14.058619324865008,0.4030254513332965,2.02213668760014,1.3941324886277833,1.4814405859511586,4.760676992209801,5.999,5.775,15.263438782458271,0.3606985774489777,5.073703969524651,0.1785089898599532,0.2245164614733432,0.795,7.447689504775576,13.06428163933823,0.57,1.884466037284455,3.413754393713539,0.552,54.339,54.299,16.57489088196836,7.952264314259931,15.628280447153726,0.53,0.6758872170758209,1.9337372695629755,0.35,7.27821875172655,13.700068141218072,0.531,0.5359214718503102,0.987126834748338,0.543,6.199009189856168,10.781045691449195,0.575,0.5377631263927513,1.9300539604780933,0.279,2.4,0.1,2.4,1.5,0.9,2.4,7.6,4.8,12.4,0.605,0.141,0.365,7.4,25.2,16.1,1.3,2.0,2.6,6.2,21.6,3.4,1.0,4.4
