name,Primary_Position,team_id,conference_id,SOS,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,player_id.1,season_id.1,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P,OPM+,DPM+,EPM+
Deandre Ford,PG,564,1,0.558,197550,2045,PG SG sf ,RS SR,78.0,225,82.0,27.0,9,13,15,9,8,10,12,16,14,12,6,7,14,15,166,12,3,197550,2045,College,34,35,29.743,0.0,0.113,0.0,0.0,29.857,11.086,6.297686384380892,13.390072421631338,0.604,3.575267396169231,8.90909411287907,0.401,2.7188948212366304,4.4809783087522685,0.607,3.372627795104932,4.077461190111188,0.827,1.4607672111504644,2.8448185533163355,4.3055857644668,14.951278391570192,2.7959205057455203,0.3475254095211484,6.392838892706737,3.8926338584052256,12.171,14.25,4.130323694736656,7.548765660516995,3.2739511198040567,1.4079047065249952,1.7638455710031542,0.798,0.6554950573558175,0.9057109125830384,0.724,0.6537329738683019,1.814945992141108,0.36,56.751,57.262,17.964793405749013,7.435995948447487,15.717229576333343,0.572,3.0962942265376685,7.636827215256191,0.405,4.339701721909818,8.085641437602598,0.537,1.7463588418148162,2.345359924557298,0.745,0.2497293143795187,0.8976284446928156,0.278,2.347106283399113,4.837413991827041,0.485,2.9,-0.3,2.7,1.6,0.8,2.4,6.0,1.4,7.4,0.643,0.665,0.305,3.7,6.6,5.2,42.7,2.8,0.7,29.6,19.9,2.8,1.3,4.1
Chris Beckman,PG,689,1,0.592,213737,2045,PG SG ,SO,75.0,205,82.25,28.0,3,10,14,11,8,4,10,13,13,11,12,7,16,12,143,14,4,213737,2045,College,43,43,30.511,0.0,0.0,0.0,0.0,30.511,10.745,5.743523105660684,12.541216600341103,0.535,1.92966783074799,5.139283683911314,0.375,3.813855274912694,7.406805814992285,0.515,4.042881507349955,5.628197839681637,0.718,1.2068545439779097,3.0458247156153053,4.252679259593215,9.06359132624056,2.5546147880041365,0.4508143743536712,7.250873060992448,3.608130816959669,-3.441,11.21,4.835539673515797,5.702915617639894,4.535044262161943,2.113213676601965,3.1316494761634046,0.675,0.3021197108746853,0.5652562332494112,0.534,1.39527328839438,3.7001543084544792,0.377,61.565,61.888,18.30241726990693,7.329369183040331,17.922699069286455,0.511,3.648526370217167,10.258854705274045,0.356,3.682458634953465,7.66384436401241,0.48,1.0874482936918304,1.4300025853154086,0.76,0.751357290589452,1.1294596690796277,0.665,1.8404214064115825,5.110845398138573,0.36,-0.8,0.1,-0.7,1.2,1.4,2.6,-0.8,0.3,-0.5,0.581,0.41,0.449,2.7,6.9,4.8,28.1,2.6,0.9,32.6,20.3,-0.1,2.8,2.7
Ryan Mahan,PG,30,1,0.569,203168,2045,PG sg ,SR,72.5,180,72.25,30.0,13,20,8,12,9,9,19,16,20,13,9,9,18,19,201,14,5,203168,2045,College,47,47,34.425,0.787,0.126,0.0,0.0,35.382,16.659,8.151679664893765,16.97439854493345,0.536,1.907019042632348,5.450987957119629,0.35,6.244660622261415,11.522032683881282,0.542,4.751012759390416,5.158872323421612,0.921,1.1422823600738556,2.575024733428603,3.717307093502459,14.659519938269902,2.484335495218204,0.2624491590634275,4.749634855457878,2.7783884797185885,16.812,12.173,5.043128393088434,6.3934742469755,3.60873039931656,1.4095957229861933,1.907019042632348,0.739,1.1119684735580238,2.285942624080249,0.486,3.7244743296497367,7.329071017168682,0.508,72.574,72.776,13.10047268330219,5.438606133890294,13.361547762998793,0.49,2.219138177421128,6.840167088051007,0.324,3.215345718368693,6.520006595580961,0.493,1.1391117950972849,1.4029350335275363,0.812,0.4081015719467957,0.555128064196988,0.735,1.665384192590964,4.561943497856436,0.365,4.1,1.4,5.5,2.1,1.4,3.5,10.7,7.6,18.4,0.596,0.321,0.304,2.8,5.9,4.4,41.3,2.5,0.5,19.8,21.8,4.7,4.0,8.7
Graham Burroughs,PG,766,1,0.563,203385,2045,PG ,SR,73.0,210,73.0,26.0,13,12,17,11,9,9,13,20,19,16,20,14,20,20,210,15,5,203385,2045,College,37,37,34.325,0.0,0.0,0.0,0.0,34.325,22.487,10.61794375041753,21.63137150110228,0.548,2.4918164206025786,6.6443984234083775,0.375,8.127463424410449,14.984300888502904,0.542,6.319727436702519,8.233014897454739,0.768,1.5512058253724366,3.1764894384062803,4.727695263778717,13.071013427750684,2.922797553876145,0.1081528560365316,4.911483733048301,4.5103746628568375,1.243,10.226,9.3165876144031,7.006480058788162,5.669049368695305,3.826574921504442,5.20008016567573,0.736,0.8310508383993587,1.7689892444385062,0.47,3.4671654753156527,8.013895383793173,0.433,74.845,74.894,17.213661975592167,7.0032312334766464,14.579272037813444,0.591,3.213875610863353,8.155526477421422,0.394,3.789355622613293,6.42374556039202,0.59,1.2631185408710977,1.5515261569685153,0.814,0.7917857238230032,1.0828637808102115,0.731,1.7344513579191922,3.792026063503084,0.457,4.7,0.0,4.7,2.1,0.9,3.0,8.5,3.8,12.3,0.595,0.307,0.381,3.5,7.3,5.4,44.8,2.9,0.2,16.3,27.8,4.8,0.9,5.7
Vernon Braxton,PG,38,1,0.588,198916,2045,PG sf ,RS SR,76.5,205,80.0,28.5,10,7,20,18,12,8,7,12,17,13,18,8,15,11,174,13,3,198916,2045,College,36,37,27.947,0.0,0.0,0.0,0.0,27.947,12.648,8.389674795297644,18.41518454430312,0.537,2.989813939383128,7.95975524912143,0.376,5.401644754446367,10.462564889309096,0.516,2.793585100879462,5.836915996218135,0.479,1.2041315089997682,3.476351170389416,4.680482679389184,13.500544089052212,1.1605692145624655,0.191047547627975,6.992882244857912,5.352902315781956,-1.459,11.916,6.946500883029773,5.448026116274505,4.966373512674598,2.8453181583031557,4.097614927662915,0.694,0.5797670228517402,1.2505128708279072,0.464,1.92839431293148,5.110869293754571,0.377,56.057,56.007,20.17069294909565,8.44715839091542,18.628028639277236,0.542,3.27994714946346,9.025657507097328,0.363,5.158283785955327,9.60594211437856,0.537,2.0247469066366706,2.7978645526452053,0.724,0.4338743371364293,0.7713321549092078,0.562,2.699662542182228,6.031388933526167,0.448,2.3,-0.5,1.8,1.9,1.2,3.1,0.6,-5.2,-4.7,0.538,0.432,0.317,2.7,7.8,5.3,42.7,1.2,0.3,25.0,26.0,-0.5,-3.3,-3.8
Sandy McBride,PG,723,1,0.553,202124,2045,PG SG sf ,RS JR,74.5,190,79.0,32.5,9,11,14,9,4,9,17,9,10,16,15,11,16,8,156,11,3,202124,2045,College,8,41,14.34,4.658,0.0,0.0,0.0,18.999,7.098,7.427609818371729,17.266291417628963,0.467,1.2708176173620378,3.96332617652179,0.321,6.150989380839087,13.30296524110718,0.462,4.46236871119364,5.872454012650148,0.76,0.7050426507282539,2.752851270769409,3.4578939214976625,4.035861428654326,2.3996989521218084,0.2807850402362067,6.368595137236696,4.663347420830197,-3.56,9.198,7.784483258863807,3.322114547670168,5.100678929959961,3.1161144316137643,4.529101143155573,0.688,0.7775779028607903,1.3433528694945744,0.579,2.263099866535136,7.430511228457029,0.305,34.466,34.546,18.49997105308864,7.830139524112778,17.512881375557228,0.528,2.828113240317258,8.397498986858102,0.337,5.013605048341343,9.109593006426216,0.55,1.7628669021015455,2.1218086030220578,0.831,0.7063046372952007,1.1347189254906502,0.622,2.5444335089445955,5.861749551322873,0.434,-2.4,-0.2,-2.7,0.2,0.7,0.9,-2.7,1.3,-1.4,0.519,0.23,0.34,1.6,6.1,3.9,13.3,2.4,0.5,24.3,24.0,-1.4,0.0,-1.4
Ned McMahon,PG,723,1,0.553,211673,2045,PG sg ,RS FR,73.0,190,79.0,38.0,7,14,12,5,4,6,6,16,15,15,14,8,11,12,148,13,3,211673,2045,College,33,41,25.584,1.512,0.0,0.0,0.0,27.1,9.68,6.965848847244484,16.53926766120084,0.48,1.9520815353634984,5.663091275222948,0.345,5.0096576665433785,10.87617638597789,0.461,4.0069042041671805,4.711708379566844,0.85,0.9513828956561048,3.314871625934237,4.266254521590343,10.420005753503473,1.0088739731104202,0.5023780600794745,7.169276291456048,4.922893203483703,-1.807,12.044,5.712407019274236,3.106891875231168,4.058274770887273,2.1061932355237745,3.3082644967739285,0.637,0.7500102741133441,1.352073316072823,0.555,2.1575638022438666,6.211728927793532,0.347,48.666,48.569,21.23988552368795,8.736025036545945,19.135662665486212,0.555,3.767835450596059,9.5904795239762,0.393,4.972307438901356,9.54312421503428,0.521,1.5071341802384235,1.9580390784245087,0.77,0.6012065309147809,1.206530914781033,0.498,2.861907801272416,6.376495295353002,0.449,0.1,-0.9,-0.9,0.8,0.6,1.4,-2.3,-6.9,-9.2,0.534,0.342,0.285,2.1,7.2,4.7,33.4,1.0,0.9,27.8,23.4,-1.2,-3.2,-4.4
Alberto Estrella,PG,409,1,0.568,205485,2045,PG SG sf ,SR,75.0,170,81.0,32.0,8,16,16,12,9,8,15,15,20,9,15,5,18,13,187,13,4,205485,2045,College,50,50,30.779,0.0,0.0,0.0,0.0,30.779,18.86,10.308307448284976,22.272156499900863,0.584,5.382988566519066,12.922146586478087,0.417,4.922014407507765,9.35331438768092,0.526,5.159936554094244,6.047187892406318,0.853,1.389531425550195,3.9673220989267226,5.356853524476918,13.48390721036283,3.0081529378689904,0.2960194479816104,5.186372348159408,3.472853859002133,8.702,15.004,5.287158813032847,5.847267199788514,4.53043420791752,1.982684554887317,2.774106139713172,0.715,0.6608948516291059,1.8818980900138789,0.351,2.281739475249488,4.690701209437578,0.486,60.524,60.469,15.611304966181017,6.481006796871124,14.291620499760208,0.546,2.645983892573054,7.33764408209165,0.361,3.836676644230928,6.945707718004266,0.552,1.587590335543832,2.0208701979526698,0.786,0.4613934412674263,0.8930195637434057,0.517,1.7860391274868117,4.035125436173908,0.443,4.9,1.0,5.9,2.2,1.3,3.5,8.0,4.5,12.5,0.625,0.58,0.272,3.3,9.1,6.2,45.6,3.0,0.5,17.2,27.6,4.5,2.9,7.4
Rodrick Irwin,PG,720,1,0.572,203159,2045,PG sg ,RS JR,73.5,180,76.25,28.5,6,14,9,16,10,8,13,16,18,13,16,8,14,16,181,13,4,203159,2045,College,38,38,36.157,0.527,0.0,0.0,0.0,36.709,14.763,8.24742268041237,17.435158501440924,0.536,2.188122047594997,5.359636352832824,0.408,6.059300632817374,12.079978608990166,0.502,3.2443031581449246,5.003119522267447,0.648,1.3681333372946314,3.9567047504509927,5.324838087745624,12.19287560533587,1.5844858689116057,0.0390859891761876,5.745862919278648,3.600420926037282,1.843,11.403,6.332630202917495,3.20419501470632,4.377729581984016,2.504530734721768,3.753825128494608,0.667,0.6669835705160582,1.0948037671945097,0.609,2.8907573011675924,7.234320686889093,0.4,67.318,66.52,18.238123872519544,7.478953698135898,16.85207456404089,0.541,3.28322309079976,8.546301864101022,0.384,4.191220685508118,8.308779314491883,0.504,1.4236319903788337,1.582982561635598,0.899,0.514131088394468,0.9891761876127482,0.52,2.253457606734817,5.736620565243536,0.393,2.2,0.3,2.5,1.6,1.2,2.8,3.9,-2.0,1.9,0.558,0.307,0.287,2.9,8.6,5.7,40.0,1.6,0.1,22.6,23.3,1.5,0.2,1.7
Chuck Pope,PG,310,1,0.572,203713,2045,PG SF sg ,SR,76.5,190,82.0,30.0,12,15,15,16,10,7,13,18,16,18,17,7,16,7,192,14,5,203713,2045,College,34,39,20.514,5.23,0.102,0.0,0.0,25.795,15.001,10.026580596164798,23.223846591987847,0.505,3.406113537117904,9.882285931270172,0.345,6.620467059046896,13.339662046705904,0.496,5.014239605088285,6.912853616859692,0.725,1.4087715967343837,4.0503297664075415,5.459101363141925,10.854376305297132,2.240891034535191,0.2908026533366278,5.502183406113537,4.5806169577860985,-6.36,10.384,8.372887791911904,5.8420353142206185,5.355990127207138,3.21245490791722,4.820580975887602,0.666,0.9739889880387316,1.900512625783178,0.512,2.435921777102714,6.620467059046896,0.368,52.67,52.613,15.937125805409307,6.528804668047821,14.766312508315435,0.539,2.8738144565031454,7.942903845057306,0.362,3.656890882481516,6.825309334194972,0.536,1.6117689544409175,1.999505825556421,0.806,0.2927033242734685,0.5835059776100964,0.502,1.7543192747039706,4.240396860091613,0.414,2.9,1.0,3.8,1.8,1.3,3.1,3.6,1.9,5.5,0.542,0.426,0.298,3.2,9.0,6.1,39.8,2.2,0.5,17.3,29.5,1.4,0.4,1.8
