name,Primary_Position,team_id,conference_id,SOS,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,player_id.1,season_id.1,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P,OPM+,DPM+,EPM+
Raymond Bolden,SF,564,1,0.558,204787,2045,SF sg ,RS JR,78.5,200,84.0,34.5,7,15,8,14,5,10,14,11,9,8,10,9,10,10,145,11,2,204787,2045,College,33,43,0.0,0.0,23.839,0.979,0.0,24.791,8.114,6.711365707590157,15.288807880918284,0.518,2.4215596927483407,7.466475719307382,0.324,4.291975871197327,7.822332161610901,0.549,1.7640932170290324,2.217593195330469,0.795,1.6143731284988934,4.96209510682288,6.576468235321773,2.269669747862692,2.4616643694004137,0.3510509993108201,2.673263029987415,2.8062543073742243,7.978,12.372,3.834136180184872,3.174499848110055,2.519203228746257,0.3016100334157879,0.5012368181226403,0.602,1.612203272143384,3.0811960248231567,0.523,2.373822852927137,4.237729462309595,0.56,46.086,46.432,12.519383184011026,5.410062026188835,13.27748104755341,0.472,1.703566505858029,5.459596829772571,0.312,3.7064955203308063,7.813576843556167,0.474,0.4501206064782908,0.6977946243969676,0.645,1.8500172294968984,2.853635423845623,0.648,1.4020503101309445,4.255685733976568,0.329,-0.3,0.4,0.1,0.8,1.0,1.8,1.9,4.4,6.3,0.541,0.488,0.145,4.0,11.2,7.7,6.4,2.4,0.7,14.1,17.1,-0.3,1.0,0.7
Darryl Grimes,SF,564,1,0.558,207009,2045,SF SG pg ,RS SO,79.0,200,85.0,28.0,8,11,13,5,3,7,13,10,10,11,9,9,13,11,133,12,3,207009,2045,College,16,33,0.0,3.604,18.211,0.061,0.0,21.94,8.576,7.046365480726409,15.67123558810431,0.55,3.1495868177544657,8.251274184769162,0.382,3.899252808154783,7.422435548517988,0.525,3.975951308822802,4.4979959424019,0.884,1.276658914345094,3.53868229686018,4.815341211205274,2.24899797120095,1.8410876279884236,0.3672446919765547,3.525656885546044,3.609212734392101,4.123,14.797,4.799841654708299,3.2980355287248257,3.825028452669603,0.7496659904003167,0.7496659904003167,1.0,1.6527289821366715,3.075362462269286,0.537,1.4968578356177942,3.599881241031224,0.416,40.418,41.117,14.667898922586764,6.265048520076855,14.222827540919813,0.516,2.137801882433057,6.041296787216967,0.354,4.124814553590972,8.176666585597198,0.504,0.4402072135613006,0.5131697351460467,0.858,1.98944475521074,2.6534037016319285,0.75,1.6951625848189311,5.012525232872048,0.338,-0.1,-1.0,-1.1,0.8,0.6,1.4,-4.1,-2.0,-6.2,0.601,0.527,0.287,3.1,8.0,5.6,6.3,1.8,0.7,16.6,18.9,-0.8,-2.2,-3.0
Dwight Crist,SF,689,1,0.592,198092,2045,SF PF c ,RS SR,81.0,200,85.25,29.5,7,12,12,8,14,9,11,9,12,13,11,9,8,11,150,13,3,198092,2045,College,43,44,0.0,0.0,29.569,0.046,0.0,29.591,8.478,4.984684398172171,12.327804094203506,0.5,2.3601091341245,6.81083976365432,0.347,2.6262491003130077,5.515290494283849,0.476,1.8646535995848887,2.8923890665015146,0.645,1.5985136333963812,7.079439641530491,8.677953274926871,2.32161090002176,2.158812653040828,0.1116052837605983,2.1692917998761363,3.138273949327869,-1.136,13.78,3.120030798587282,1.9399762315250324,2.435431766064644,0.3046382002912475,0.5339537686423513,0.571,1.2553771990023936,2.281438829653683,0.55,1.0612121922233568,2.7032455685184877,0.393,59.743,60.033,16.24106741292289,6.398147685439676,14.691919444305633,0.553,3.443106291539653,8.140522712508119,0.423,2.9517098928922425,6.548065230789732,0.451,0.4181033764762714,0.4913963986474106,0.851,0.7196042176802758,1.3226059000882848,0.544,1.818999550247364,4.732397181550148,0.384,-0.4,0.2,-0.2,1.3,1.4,2.7,3.6,0.7,4.3,0.522,0.552,0.235,3.6,16.1,9.9,7.0,2.2,0.2,13.8,14.4,1.2,1.2,2.4
Stacy Myrick +1,SF,30,1,0.569,205133,2045,SF PF c ,RS JR,78.5,215,84.0,39.5,16,12,10,9,14,14,11,17,16,10,15,16,10,12,178,13,4,205133,2045,College,45,45,0.0,0.088,25.733,1.955,0.2,27.889,12.378,7.857690431388946,15.213603735451947,0.609,2.8277231862847585,6.312286570492717,0.448,5.036936371872605,8.903059446651335,0.566,3.0228587358004044,3.986340511533904,0.758,2.284131298348317,8.507047155037412,10.79117845338573,2.4757822844797546,2.549156081433792,0.4263093788063337,1.6307756638093247,2.2411693057247257,8.51,11.029,7.044044881176388,3.136107045787163,3.0960345668687714,0.3118684228866122,0.3467140567286919,0.899,3.214509721931841,5.263432991846122,0.611,1.514042790438358,3.289427834692313,0.46,57.396,57.47,17.05237515225335,6.960153123368714,13.493996867931092,0.632,3.1320689055159217,6.262397772751001,0.5,3.829824256133634,7.233339133460936,0.529,0.4611101444231773,0.5776927092396033,0.798,1.510353227771011,2.4360535931790497,0.62,1.8566208456586044,4.217852792761441,0.44,2.3,0.1,2.4,1.6,1.1,2.7,8.2,1.2,9.4,0.636,0.415,0.262,5.7,19.4,12.8,6.9,2.6,0.8,8.8,16.9,5.1,1.6,6.7
Harrison Robinson,SF,766,1,0.563,223158,2045,SF SG ,RS SO,76.0,225,84.0,31.0,10,13,13,7,6,3,5,7,5,8,7,6,17,10,123,11,2,223158,2045,College,0,36,0.0,4.081,13.333,0.0,0.0,17.446,8.943,8.03566731548214,19.29086222315745,0.517,3.8771108422326255,10.813298963648798,0.359,4.158556473249513,8.472302593508338,0.491,3.5825135462149507,4.024409490241465,0.89,1.8307117681098424,5.13064133016627,6.9613530982761125,1.533484139092009,1.5386645552916336,0.1477962523093164,2.046399074122784,2.8582739509105304,2.64,12.903,4.679362407280761,2.780261981166815,2.7750013151665,0.6602135830396128,0.9469198800568152,0.697,1.6781524541006891,3.5851438792151087,0.468,1.8280814351096848,3.942869167236572,0.464,38.018,37.89,21.332805489575087,8.725257323832146,18.105040907891265,0.589,3.88756927949327,9.530219055159671,0.408,4.837688044338876,8.580100290314066,0.564,0.4381103193454737,0.6598046978094484,0.664,1.8342570599102663,2.7817366059646345,0.659,2.565320665083135,5.133280548957508,0.5,0.9,-1.9,-1.0,1.2,0.5,1.7,1.8,-5.6,-3.8,0.558,0.561,0.209,4.1,11.8,7.9,4.8,1.5,0.3,8.9,21.3,1.0,-2.0,-1.0
Rogelio Isales,SF,766,1,0.563,205933,2045,SF pg sg ,RS SO,75.5,205,79.0,32.0,12,13,4,11,7,7,15,7,14,8,8,9,11,7,136,11,2,205933,2045,College,38,41,0.024,0.0,24.78,0.195,0.0,24.975,8.999,5.79595442749075,12.926321989287882,0.533,2.199480959305001,5.88062064015019,0.374,3.5891111888240594,7.049382488818538,0.509,2.7829415987189634,3.679299111004767,0.756,1.076733356647218,4.998523876300834,6.0752572329480525,1.7982367340928749,2.6994612148498045,0.223263709498856,1.8829029467523144,2.832312347774744,-1.072,13.556,4.040050799727595,2.516058971857687,2.871288951059248,0.358911118882406,0.4509396109035357,0.796,1.6178608897314608,3.320387992122361,0.487,1.571846643720896,3.2762143159522186,0.48,54.331,54.196,14.715108126060963,6.212635618864861,14.084065244667505,0.523,2.295372352203114,6.572440770536571,0.349,3.917263266661747,7.515314783378849,0.521,0.7657391689423574,0.9447191674662336,0.811,1.4871946269097354,2.164366373902133,0.687,1.6624843161856966,4.409919551258396,0.377,0.2,-0.3,-0.1,1.0,0.9,1.9,5.1,3.8,8.9,0.569,0.455,0.285,2.4,11.5,6.9,5.3,2.7,0.4,11.5,15.1,2.3,0.9,3.2
Adam Halstead,SF,38,1,0.588,201572,2045,SF pf c ,SR,81.0,235,81.0,35.5,18,16,16,10,10,9,12,9,12,12,14,14,9,8,172,13,4,201572,2045,College,25,34,0.0,0.854,20.999,2.353,0.294,24.53,10.764,8.124796880077998,16.84676633084173,0.569,2.926958076048099,7.409814754631134,0.395,5.19377640558986,9.441013974650634,0.55,2.6852453688657785,3.0488300292492685,0.881,1.6737081572960677,5.976824557836959,7.650532715133027,1.4929314267143323,1.1953649115673917,0.1179101443382801,1.612772180695483,3.704004879040456,-0.911,12.139,6.688739031524213,1.6148033799155022,2.807117322066948,0.4753006174845629,0.6581085472863178,0.722,2.870084497887553,5.4354891127721805,0.528,1.852453688657784,3.343353916152096,0.554,49.232,49.19,17.101036796096768,7.355153486480992,14.649318967269773,0.584,2.3907298231347838,5.858914413498679,0.408,4.9623907298231344,8.790404553771092,0.565,0.4167513722301281,0.5326285830453346,0.782,2.4537507623500714,3.7101036796096767,0.661,2.089855661719862,4.5436064240699325,0.46,1.4,-0.8,0.6,1.7,1.1,2.8,2.4,-3.0,-0.6,0.601,0.44,0.181,3.8,13.4,8.6,4.7,1.2,0.2,8.1,18.4,3.2,-3.8,-0.6
Gerardo Olivarez,SF,347,1,0.565,204845,2045,SF pg sg ,RS JR,76.5,200,83.25,35.0,5,14,17,19,7,6,15,13,14,8,16,11,15,8,170,12,3,204845,2045,College,37,38,0.0,0.0,29.5,0.0,0.0,29.5,12.974,8.055733504163998,18.21837853227988,0.545,3.7475976937860342,9.877927254608869,0.379,4.309915296462382,8.335112819417754,0.517,3.233326215388996,3.8881770944551217,0.832,1.6869528080290412,5.27099886492622,6.957951672955261,2.8044700690440605,2.5237656072644725,0.3724460839954597,2.341803687095167,2.614216799091941,-0.265,14.925,4.587515125631717,1.6406861698341522,3.557192682753221,0.6566303651505445,0.7972097658196312,0.824,1.6389066837497333,3.0909673286354904,0.53,2.012598761477685,4.446935724962631,0.453,56.196,56.384,15.491983541430193,6.34399829738933,13.580093643586832,0.57,2.796892735527809,6.6277667423382525,0.422,3.54533200908059,6.952326901248582,0.51,0.5125567536889897,0.6987797956867197,0.734,1.2131101021566404,1.8214387060158908,0.666,1.8196651532349604,4.432108399545971,0.411,1.4,-0.7,0.7,1.3,0.8,2.1,4.0,1.1,5.1,0.579,0.542,0.213,3.7,12.1,7.9,9.2,2.5,0.7,10.5,20.2,1.6,0.7,2.3
Corbin Russell,SF,723,1,0.553,210865,2045,SF pf ,RS FR,77.0,225,79.25,26.5,7,11,11,11,4,8,11,17,6,7,12,8,5,6,125,12,3,210865,2045,College,10,41,0.0,0.123,14.414,2.926,0.0,17.464,4.34,4.969124826226116,12.857650900391192,0.475,2.282499757524813,5.444376192169668,0.419,2.683392066211891,7.410041705732112,0.362,1.816947399049497,2.521741941741295,0.721,0.7856196049270958,4.60304054054054,5.388660145467636,1.8848404513271475,1.3481029106029103,0.0779625779625779,3.000226310174259,3.9630977130977127,-2.66,13.06,3.630661795609583,1.1056868513788756,2.444149881995409,0.0711260547670621,0.0711260547670621,1.0,1.7425883417930232,3.860204972357829,0.451,0.8664446671623938,3.4722446736283987,0.25,30.931,30.784,16.47933991683992,7.130327442827443,15.693217255717256,0.525,2.208939708939709,6.496881496881497,0.34,4.908393970893971,9.19633575883576,0.534,0.5554833679833681,0.7893711018711018,0.704,2.3713617463617465,3.4141112266112263,0.695,1.9847972972972976,4.99285343035343,0.398,-1.8,-0.9,-2.6,0.3,0.6,0.9,-3.4,-3.7,-7.1,0.502,0.423,0.196,1.7,9.9,5.9,5.6,1.3,0.1,17.7,15.2,-1.9,-3.5,-5.4
Al Buckley,SF,723,1,0.553,205943,2045,SF PF sg ,RS SO,79.0,230,86.25,33.0,5,10,11,6,8,9,8,14,6,9,9,9,15,11,131,12,3,205943,2045,College,34,36,0.0,0.834,23.389,5.14,0.0,29.359,5.667,3.972301149728093,9.35588882825584,0.475,0.9427394012381688,2.8771428033795607,0.328,3.037088609976855,6.48062774024801,0.469,1.7763393109158303,2.512090021263384,0.707,1.3585984983911332,5.959729017689122,7.318327516080256,1.7763393109158303,2.143394806172375,0.4666917576213775,3.086013209641909,3.1388784343244254,-4.667,11.871,2.5158534520068496,1.3077921833543458,2.662627251002013,0.1543006604820954,0.2596767212991363,0.594,1.0951583463485313,2.508326590519918,0.437,1.7801027416592965,3.7107427130572233,0.48,53.143,53.14,16.72563041023711,7.002258185923975,15.36695521264584,0.544,2.7192322167858487,7.058712834023334,0.385,4.28678961234475,8.312006021829129,0.516,0.3631915694392171,0.4685735792246894,0.775,1.6729394053443734,3.084305607828378,0.542,2.2487768159578474,4.755363191569439,0.473,-2.1,-0.4,-2.4,0.3,0.7,1.0,-0.8,-1.4,-2.1,0.51,0.308,0.269,3.1,13.2,8.2,5.2,2.2,0.9,22.8,12.4,-1.1,-0.4,-1.5
