name,Primary_Position,team_id,conference_id,SOS,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,player_id.1,season_id.1,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P,OPM+,DPM+,EPM+
Drew Brewer,SG,689,1,0.592,212009,2045,SG SF pf ,SO,75.5,195,76.25,25.0,7,16,14,6,8,8,10,17,9,8,11,9,13,7,147,13,4,212009,2045,College,40,40,0.051,27.475,0.0,0.0,0.0,27.525,15.149,9.3579309097486,22.881172002170374,0.527,5.3789111955145605,14.603002351238922,0.368,3.977211068909386,8.2763610056068,0.481,3.2989690721649487,4.971965997467897,0.664,0.8120817507686742,2.789109533650822,3.601191284419496,4.43298969072165,1.4394824332824152,0.0,3.1217218303490686,3.4162997573906004,0.725,16.347,4.161692892023875,2.7581841200940493,4.20690902514017,1.4035087719298245,2.079942123349611,0.675,0.6782419967444384,1.7634291915355398,0.385,1.8990775908844275,4.429372400072346,0.429,55.29,55.645,19.27576601671309,7.686225177464283,16.889208374517025,0.571,3.908706981759367,9.885883727199207,0.395,3.7739239823883546,7.006918860634379,0.539,0.5822625572827748,0.7206397699703477,0.808,0.7170455566537874,1.0297421151945367,0.696,2.472818761793512,5.254739868811213,0.471,1.4,-1.0,0.5,1.7,1.1,2.8,2.7,-2.2,0.5,0.546,0.638,0.217,1.8,6.3,4.1,15.4,1.4,0.0,11.1,25.6,0.8,-1.3,-0.5
Jeffery Rainey,SG,30,1,0.569,205354,2045,SG pg ,SR,77.0,205,80.0,29.0,11,17,14,16,12,9,12,17,17,12,10,10,14,19,196,13,5,205354,2045,College,48,48,1.417,30.23,1.751,1.043,0.021,34.457,24.52,11.224215690432768,24.94945639111564,0.564,5.716022677468155,15.0528057004708,0.38,5.505365398481572,9.89806449788636,0.556,6.509168539961261,7.036518641048481,0.925,0.9698717676831942,4.089318964058004,5.0591907317411975,8.09970168667204,2.969305422332562,0.1763245500197483,3.179652486180035,2.8508153247192918,16.855,14.569,6.541686106516238,4.978015297394354,5.1561550098259605,2.000537246751778,2.532128769563558,0.79,1.2653574811610186,2.594336288190468,0.488,2.240884477810296,4.7715994401323325,0.47,70.731,70.892,15.869209501777352,6.34768380071094,15.310613327314789,0.518,3.17384190035547,8.756982452180782,0.362,3.17384190035547,6.552220278733849,0.484,0.5585961744625628,0.7038876036788355,0.794,0.9380466061050612,1.4402189245613044,0.651,1.6743779269875307,4.406703154093552,0.38,5.5,0.7,6.1,2.4,1.2,3.6,10.0,5.1,15.0,0.618,0.603,0.282,2.4,9.3,6.0,25.0,3.0,0.3,10.2,28.4,5.8,3.4,9.2
Stefan Shepard,SG,766,1,0.563,213540,2045,SG PG ,RS FR,70.5,175,74.25,28.0,9,13,12,8,9,5,10,9,12,8,9,7,14,7,138,11,3,213540,2045,College,7,37,1.134,14.838,1.622,0.0,0.0,17.622,6.648,5.682260449910485,11.91717910796295,0.594,2.804805272307413,6.945849874159986,0.404,2.877455177603072,4.981707791702343,0.578,3.08502633559067,3.5780078358112144,0.862,0.4877922212708544,2.889270654380759,3.377062875651613,3.9282841649152855,1.2624290697069085,0.0676766099224321,4.909057886406684,2.8111822583164146,-0.648,13.144,3.9282841649152855,4.278560494019357,3.435302664694741,1.2661840637243456,1.6138657533535716,0.785,0.6979580187332971,1.1935341584286865,0.585,0.9107184556705844,2.174307879920085,0.419,38.541,38.418,18.080066635431308,7.527721380602842,16.812431672653442,0.538,3.0246238742256235,8.298193555104378,0.364,4.500494559841741,8.514238117549064,0.529,0.8485605705658806,1.0567962934041335,0.803,1.0541933468686555,1.4758706856161172,0.714,2.602946535478161,5.981571138528815,0.435,-1.3,-0.4,-1.7,0.6,0.8,1.4,-3.5,-4.6,-8.1,0.639,0.583,0.3,1.1,6.7,3.8,11.6,1.3,0.1,26.7,17.0,0.1,-1.5,-1.4
Luis Carrillo,SG,38,1,0.588,212491,2045,SG SF ,RS FR,76.5,205,77.0,30.5,10,10,13,12,9,7,6,15,9,8,12,9,12,9,141,13,3,212491,2045,College,16,40,0.25,18.025,0.0,0.0,0.0,18.275,6.101,5.988190730837789,13.087678253119428,0.551,2.4426247771836005,6.2639260249554365,0.39,3.556706773618538,6.823752228163993,0.521,2.581885026737968,3.3422459893048124,0.773,0.9107620320855616,2.625966039721892,3.536728071807453,5.289104278074866,0.9695022298551286,0.1385003185507327,3.133355614973262,4.082989390875599,-1.499,11.686,4.8713235294117645,2.6487299465240635,3.4146613190730832,1.0416666666666663,1.2505570409982174,0.833,1.3981729055258467,2.019273618538324,0.692,1.1168672014260248,3.548351158645276,0.315,35.904,36.101,21.608819700285316,8.58424974377441,18.35129220797208,0.588,4.429240187252431,10.318273732029583,0.429,4.1522395501509655,8.035788482313508,0.517,1.3185230326029749,1.5207334976870448,0.867,0.6925015927536633,1.102462535663832,0.628,2.1467549375363566,5.404282429849589,0.397,0.3,-1.6,-1.3,1.4,0.9,2.3,2.2,-5.3,-3.1,0.584,0.479,0.255,2.0,5.8,3.9,15.2,1.0,0.2,17.7,16.1,2.1,-3.6,-1.5
Tony Wooten,SG,723,1,0.553,205247,2045,SG SF pf ,RS JR,77.5,185,83.0,28.0,4,16,9,11,12,8,14,10,7,8,14,12,11,8,148,12,3,205247,2045,College,31,41,0.0,23.928,3.56,0.0,0.0,27.537,12.366,9.167269512097098,21.6140181657423,0.511,3.773812394502049,10.33879913190258,0.365,5.391447632826943,11.273209549071618,0.478,2.746965678000161,3.677357125632988,0.747,1.5673981191222568,5.092573998955782,6.659972118078039,2.4515714170886582,1.1747459737338848,0.4879714044740752,3.3337352302869543,2.594481706092614,-4.537,14.697,4.41081906599148,1.814564745599228,3.3819628647214857,0.785708544329234,1.1293304396752673,0.696,1.422715215818664,2.6947190740294187,0.528,3.183023872679045,7.447150550598826,0.427,49.764,49.798,16.30989196353267,6.614723482870797,15.382143861199244,0.53,3.0864693361179163,8.231254267239649,0.375,3.526246033977268,7.148881481183983,0.493,0.8815615084943169,1.0803646732800516,0.816,0.5341579983131852,1.2771597252901723,0.418,2.1085184143941524,4.797381420940599,0.44,-0.6,0.9,0.3,0.6,1.0,1.6,-0.9,-1.6,-2.5,0.535,0.478,0.17,3.6,11.2,7.4,8.5,1.2,0.9,12.5,24.2,-1.5,-0.2,-1.7
Jon Jones,SG,409,1,0.568,216381,2045,SG PG sf ,FR,76.5,215,79.25,27.5,6,15,9,13,10,6,13,19,13,13,14,8,14,7,164,13,5,216381,2045,College,32,50,3.458,19.082,0.0,0.0,0.0,22.561,8.54,6.603346901854365,14.436906377204886,0.536,2.261420171867933,6.103573043871551,0.371,4.339665309814563,8.322026232473995,0.521,3.8376300316598826,5.563093622795115,0.69,0.8163726820443239,2.7097269933104324,3.5260996753547564,6.420171867933062,2.531187850298319,0.0474597721930934,4.929895974672094,3.975320918459592,5.88,12.458,4.339665309814563,3.1659882406151065,4.156490275893261,1.6304839439167798,2.263681592039801,0.72,0.5427408412483039,1.223428312980552,0.444,2.16644052464948,4.8394391677973765,0.448,44.22,44.248,16.50244078828422,6.870367022238294,16.136322545651783,0.511,2.7571867655035254,7.909962032182245,0.349,4.113180256734768,8.226360513469535,0.5,0.7254565178087146,0.8610558669318388,0.843,1.0847947929849937,1.8983908877237392,0.571,2.3074489242451635,5.464653769661906,0.422,0.7,0.0,0.7,1.2,1.0,2.2,0.5,0.9,1.4,0.572,0.423,0.385,1.9,6.2,4.1,19.2,2.5,0.1,22.6,19.9,0.3,0.2,0.5
Alfred Luter,SG,409,1,0.568,206623,2045,SG pg sf ,RS SO,74.5,205,82.0,31.0,8,11,11,14,4,8,14,7,10,12,15,5,15,16,153,13,3,206623,2045,College,18,50,0.0,20.318,0.0,0.0,0.0,20.318,7.441,5.87328042986144,12.98291002263738,0.529,1.995074504340904,5.174258066121048,0.386,3.885668797731287,7.811139580586582,0.497,4.773750590810717,6.119555212816239,0.78,0.7985273265504118,1.9924193307066984,2.79094665725711,5.671782880171148,2.84275098498828,0.2493641214902,4.181696062091097,3.144481571991422,4.499,11.551,4.878230801761238,2.9851488843006044,4.7787258389512175,1.6468071345058335,2.584641408990273,0.637,0.7935520784099108,1.243812035125252,0.638,1.4453095848155426,3.980198512400807,0.363,40.199,40.102,14.368360680265324,5.782753977357738,14.465612687646503,0.496,2.795371801905142,8.67787142785896,0.322,2.9948630990973024,5.787741259787542,0.517,0.593486609146676,0.800458829983542,0.741,0.9974564859608002,1.3939454391302182,0.716,1.39643908034512,3.585856067029076,0.389,0.5,0.2,0.8,1.1,1.1,2.2,4.0,5.0,8.9,0.59,0.399,0.471,1.9,4.6,3.2,16.8,2.9,0.5,21.1,18.3,2.0,3.1,5.1
Arnold Davis,SG,720,1,0.572,205677,2045,SG SF ,RS JR,75.5,215,79.0,32.5,7,18,18,14,11,8,17,15,7,17,17,10,11,16,192,13,4,205677,2045,College,41,41,0.195,35.461,1.707,0.0,0.0,37.367,23.146,11.599654571800764,25.38165424979143,0.574,5.96302747325127,15.279343100949928,0.39,5.64101813498046,10.10377482765182,0.558,4.713045769236399,5.9981557646989945,0.786,0.9660280148124296,4.470877161836285,5.436905176648715,3.179110376019087,2.19993194561567,0.3239980471350583,3.356215512068032,2.994392910508485,0.463,15.537,5.999619443509316,2.069641837795114,4.821358001200217,1.570527363475359,2.139898420690564,0.734,1.4270868400638164,2.501427086840064,0.571,2.640476573820641,5.462449320121193,0.483,68.321,67.593,17.606852780613373,7.181216989924992,16.81535070199577,0.524,3.247377687038598,8.441702543162753,0.385,3.933839302886393,8.369209829420205,0.47,0.7915020786176082,1.2649238826505702,0.626,0.6139689021052475,0.8284881570576835,0.741,2.5224505496131258,6.278756675987157,0.402,1.8,0.4,2.3,1.5,1.2,2.7,2.0,1.1,3.1,0.605,0.602,0.236,2.1,9.7,5.8,11.7,2.2,0.5,10.7,28.8,2.1,0.9,3.0
Kurt Zimmerman,SG,310,1,0.572,198595,2045,SF SG pf ,RS SR,76.0,210,77.0,25.5,12,17,10,8,9,11,5,18,18,7,16,6,17,7,171,11,3,198595,2045,College,26,32,0.0,21.656,2.0,0.938,0.0,24.656,14.906,10.05350549862781,22.51969436711485,0.534,3.950719658828407,11.224308475981756,0.352,6.110683330371774,11.291437145846908,0.541,5.370293589212028,6.292325613536298,0.853,1.2359572745760037,4.010589536905326,5.24654681148133,5.247882485340282,1.4837205626679313,0.061245455982298,2.8371734881241486,2.7777777777777777,-4.375,13.082,7.0327153546960455,3.5183320499911157,4.319927343086735,1.4827538549625856,2.2863235207012966,0.649,2.033603822385437,3.7651286303776974,0.54,2.592351280380659,5.243933740054098,0.494,50.649,50.616,20.18729255571361,8.212818081239135,16.913624150466255,0.597,3.76758337284653,9.076181444602495,0.415,4.4452347083926025,7.839418365734155,0.567,0.9878299351983564,1.112296507033349,0.888,0.9246088193456616,1.4777935830567408,0.626,2.5288446341077924,5.249328275644065,0.482,2.6,-0.8,1.8,1.7,0.9,2.6,5.5,-3.1,2.3,0.582,0.498,0.279,2.8,9.0,5.9,19.7,1.5,0.1,10.1,26.2,3.2,-1.7,1.5
Travis Moody,SG,829,1,0.561,202865,2045,SG PF ,RS JR,80.0,230,82.0,34.0,10,16,15,13,13,12,7,17,11,8,5,7,17,7,167,12,3,202865,2045,College,40,42,0.0,20.785,0.0,4.478,0.0,25.191,16.833,11.275747770499567,23.11380317259885,0.624,6.295872464683135,14.235261621024389,0.442,4.975929287349064,8.880514560808146,0.56,4.368242443374635,5.400126272590956,0.809,1.8309525688580224,5.267314222538103,7.098266791396126,4.508326098966144,2.1598357419252943,0.3731343283582089,2.5353168652829297,2.9653320698096817,8.928,14.972,6.763475653066056,3.8019887933075527,4.226185778549444,1.3653223897087838,1.548812248441323,0.882,2.0183884460579278,3.3343856049246314,0.605,1.5941914608160368,3.993370688974825,0.399,50.684,50.652,19.22530206112296,7.758824923004028,17.11284845613204,0.562,3.713574982231699,9.071704967227356,0.409,4.047224196477927,8.039169233199084,0.503,0.4718471136381584,0.7956250493563928,0.593,1.2674721629945511,2.728421385137803,0.465,2.301982152728421,4.511174287293691,0.51,3.1,0.2,3.3,1.7,1.0,2.7,5.3,0.4,5.7,0.651,0.616,0.234,4.1,12.3,8.1,14.7,2.2,0.7,9.0,25.1,5.5,0.3,5.8
